字段名称	id	min_level	max_level	active	reward
说明	编号id	等级下限	等级上限	活跃度值	奖励
格式	数值				
	1	20	40	20	item_bless_06#2
	2	20	40	40	item_ticket_02#1
	3	20	40	60	item_bless_09#2
	4	20	40	80	item_ticket_02#1
	5	20	40	100	item_bless_15#2
	6	20	40	120	item_mutate#1
	7	41	60	20	item_bless_06#4
	8	41	60	40	item_ticket_02#1
	9	41	60	60	item_bless_09#4
	10	41	60	80	item_ticket_02#1
	11	41	60	100	item_bless_15#4
	12	41	60	120	item_mutate#1
	13	61	80	20	item_bless_05#4
	14	61	80	40	item_ticket_02#1
	15	61	80	60	item_bless_08#4
	16	61	80	80	item_ticket_02#1
	17	61	80	100	item_bless_14#4
	18	61	80	120	item_mutate#1
