n_id	n_activityId	n_roundId	n_sortId	s_giftName	n_initPrice	n_finalPrice	s_percent	n_limitCounts	s_giftContent
礼包ID	所属的活动ID	所属的轮数	排序ID	礼包名称多语言	原价	实际价格	显示折扣比	限购次数	对应奖励列表 #隔开
			从小到大						对应limited_time_gift_item的awardId
70001101	70001	1	1		30	0	100%	1	70011
70001102	70001	1	2		300	120	60%	1	70012
70001103	70001	1	3		300	120	60%	3	70013
70001104	70001	1	4		500	200	60%	3	70014
70001105	70001	1	5		500	200	60%	3	70015
70001106	70001	1	6		150	60	60%	3	70016
70001107	70001	1	7		150	60	60%	3	70017
70001108	70001	1	8		1500	450	70%	1	70018
70001201	70001	2	1		50	0	100%	1	70021
70001202	70001	2	2		150	50	67%	3	70022
70001203	70001	2	3		300	120	60%	3	70023
70001204	70001	2	4		500	250	50%	3	70024
70001205	70001	2	5		300	150	50%	1	70025
70001206	70001	2	6		500	200	60%	3	70026
70001207	70001	2	7		300	120	60%	1	70027
70001208	70001	2	8		900	270	70%	1	70028
70001301	70001	3	1		30	0	100%	1	70031
70001302	70001	3	2		300	120	60%	1	70032
70001303	70001	3	3		300	120	60%	3	70033
70001304	70001	3	4		500	250	50%	3	70034
70001305	70001	3	5		500	200	60%	3	70035
70001306	70001	3	6		300	120	60%	1	70036
70001307	70001	3	7		330	100	70%	3	70037
70001308	70001	3	8		1500	450	70%	1	70038
70001401	70001	4	1		45	0	100%	1	70041
70001402	70001	4	2		150	50	67%	3	70042
70001403	70001	4	3		300	120	60%	3	70043
70001404	70001	4	4		500	250	50%	3	70044
70001405	70001	4	5		300	150	50%	1	70045
70001406	70001	4	6		500	200	60%	3	70046
70001407	70001	4	7		300	120	60%	1	70047
70001408	70001	4	8		900	270	70%	1	70048
70001501	70001	5	1		30	0	100%	1	70051
70001502	70001	5	2		300	120	60%	1	70052
70001503	70001	5	3		300	120	60%	3	70053
70001504	70001	5	4		500	200	60%	3	70054
70001505	70001	5	5		500	200	60%	3	70055
70001506	70001	5	6		500	250	50%	3	70056
70001507	70001	5	7		500	250	50%	3	70057
70001508	70001	5	8		1500	450	70%	1	70058
70001601	70001	6	1		45	0	100%	1	70061
70001602	70001	6	2		150	50	67%	3	70062
70001603	70001	6	3		150	60	60%	3	70063
70001604	70001	6	4		150	60	60%	3	70064
70001605	70001	6	5		150	60	60%	3	70065
70001606	70001	6	6		300	150	50%	1	70066
70001607	70001	6	7		300	120	60%	1	70067
70001608	70001	6	8		900	270	70%	1	70068
70001701	70001	7	1		30	0	100%	1	70071
70001702	70001	7	2		300	120	60%	1	70072
70001703	70001	7	3		150	60	60%	3	70073
70001704	70001	7	4		150	60	60%	3	70074
70001705	70001	7	5		150	60	60%	3	70075
70001706	70001	7	6		500	200	60%	3	70076
70001707	70001	7	7		330	100	70%	3	70077
70001708	70001	7	8		1500	450	70%	1	70078
