n_awardId	name	n_awardType	n_itemId	s_itemName	n_itemCount	n_quality	s_itemIcon	s_showName	s_showDesc	s_extraParams
奖励物品ID	备注	物品类型 1物品 2金币 3宠物	相关货物全名	相关货物全名	奖励物品数	品质	图标	物品名多语言	物品描述多语言	游戏的额外参数
		各游戏自己定义	物品数据是根据ID读表的	物品数据是根据路径的			是否使用配置图标			
1		1		myplugin/item_revive_03	10					
2		3	10300501		1					
3		1		myplugin/item_ticket_02	12					
4		1		myplugin/pokeball_04	1					
5		3	10400601		5					
6		1		myplugin/item_revive_03	1					
7		1		myplugin/item_ticket_02	8					
8		1		myplugin/pokeball_04	9					
9		1		myplugin/pokeball_04	2					
10		1		myplugin/pokeball_08	2					
11		1		myplugin/item_ticket_02	10					
12		1		myplugin/potion_hp_005	2					
13		1		myplugin/item_ether_04	2					
14		1		myplugin/potion_hp_004	5					
15		1		myplugin/item_ether_03	5					
16		1		myplugin/item_levelup_01	1					
17		1		myplugin/item_ticket_03	10					
18		1		myplugin/potion_all	20					
19		2			10000		set:pokemonRechargeAward.json image:goldIcon			
20		2			5000		set:pokemonRechargeAward.json image:goldIcon			
21		1		myplugin/item_bless_07	1					
22		1		myplugin/item_bless_13	1					
23		1		myplugin/item_bless_04	1					
10001	大师球*1	1		myplugin/pokeball_04	1		set:g2038_pokemon_ball.json image:ball_04			
10002	超能球*1	1		myplugin/pokeball_08	1		set:g2038_pokemon_ball.json image:ball_psy			
10003	高级物攻糖果*50	1		myplugin/item_bless_07	50					
10004	高级法攻糖果*50	1		myplugin/item_bless_13	50					
10005	高级速度糖果*50	1		myplugin/item_bless_04	50					
10006	高级物防糖果*50	1		myplugin/item_bless_10	50					
10007	高级法防糖果*50	1		myplugin/item_bless_16	50					
10008	高级生命糖果*50	1		myplugin/item_bless_01	50					
10009	中级物攻糖果*10	1		myplugin/item_bless_08	10					
10010	中级法攻糖果*10	1		myplugin/item_bless_14	10					
10011	中级速度糖果*10	1		myplugin/item_bless_05	10					
10012	中级物防糖果*10	1		myplugin/item_bless_11	10					
10013	中级法防糖果*10	1		myplugin/item_bless_17	10					
10014	中级生命糖果*10	1		myplugin/item_bless_02	10					
10015	雷可犬(3星)	3	10401101		1					
10016	霹雳熊(3星)	3	10100101		1					
10017	旋风隼(3星)	3	10100201		1					
10018	罗比兔(3星)	3	10200101		1					
10019	小咬鲨(3星)	3	10200201		1					
10020	凯希(3星)	3	10200501		1					
10021	小火羊(3星)	3	10300101		1					
10022	火苗熊(3星)	3	10300201		1					
10023	格斗小子(2星)	3	10100301		1					2
10024	拉肯(2星)	3	10200301		1					2
10025	小居蟹(2星)	3	10200401		1					2
10026	小娜拉(2星)	3	10300401		1					2
10027	小紫驹(2星)	3	10300501		1					2
10028	月芽鼠(2星)	3	10400301		1					2
10029	小荷蛙(2星)	3	10400501		1					2
10030	阿波菲斯(4星)	3	10500501		1					
10031	瓦尔基里(4星)	3	10301301		1					
10032	卡纳尔(4星)	3	10301401		1					
10033	伯鲁斯(4星)	3	10500401		1					
20001	人鱼公主	3	10200602		1					
20002	贝尔	3	10200601		1					
20003	神奇抽奖券*10	1		myplugin/item_ticket_02	10					
20004	升级蛋糕*10	1		myplugin/item_levelup_01	10					
20005	普通抽奖券*20	1		myplugin/item_ticket_03	20					
20006	暴嗜鲨	3	10200203		1					
20007	超级生命药水*5	1		myplugin/potion_hp_004	5					
20008	升级蛋糕*5	1		myplugin/item_levelup_01	5					
20009	普通抽奖券**10	1		myplugin/item_ticket_03	10					
20010	神奇抽奖券*2	1		myplugin/item_ticket_02	2					
20011	长尾蟹	3	10200402		1					
