n_id	n_sortId	n_pondId	s_giftContent	n_weight	s_tag
id	排序 用来当下标 必须填	奖池id	内容对应 reward_item.csv id	权重	标签信息
1000001	6	100001001	100001	30	
1000002	5	100001001	100002	20	200%
1000003	4	100001001	100003	15	300%
1000004	3	100001001	100004	15	400%
1000005	2	100001001	100005	10	500%
1000006	1	100001001	100006	10	600%
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
100042		10001002	10026	760	
100043		10001002	10027	760	
100044		10001002	10028	760	
100045		10001002	10029	760	
100046		10001002	10012	760	
100047		10001002	10013	760	
100048		10001002	10014	760	
100049		10001003	10032	50	
100050		10001003	10001	150	
100051		10001003	10002	150	
100052		10001003	10003	200	
100053		10001003	10004	200	
100054		10001003	10005	200	
100055		10001003	10015	300	
100056		10001003	10016	300	
100057		10001003	10017	300	
100058		10001003	10018	300	
100059		10001003	10019	300	
100060		10001003	10020	300	
100061		10001003	10021	300	
100062		10001003	10022	300	
100063		10001003	10023	760	
100064		10001003	10024	760	
100065		10001003	10025	760	
100066		10001003	10026	760	
100067		10001003	10027	760	
100068		10001003	10028	760	
100069		10001003	10029	760	
100070		10001003	10009	760	
100071		10001003	10010	760	
100072		10001003	10011	760	
100073		10001004	10033	50	
100074		10001004	10001	150	
100075		10001004	10002	150	
100076		10001004	10006	200	
100077		10001004	10007	200	
100078		10001004	10008	200	
100079		10001004	10015	300	
100080		10001004	10016	300	
100081		10001004	10017	300	
100082		10001004	10018	300	
100083		10001004	10019	300	
100084		10001004	10020	300	
100085		10001004	10021	300	
100086		10001004	10022	300	
100087		10001004	10023	760	
100088		10001004	10024	760	
100089		10001004	10025	760	
100090		10001004	10026	760	
100091		10001004	10027	760	
100092		10001004	10028	760	
100093		10001004	10029	760	
100094		10001004	10012	760	
100095		10001004	10013	760	
100096		10001004	10014	760	
