n_id	n_activityId	n_roundId	n_sortId	s_giftName	n_initPrice	n_finalPrice	s_percent	n_limitCounts	s_giftContent
礼包ID	所属的活动ID	所属的轮数	排序ID	礼包名称多语言	原价	实际价格	显示折扣比	限购次数	对应奖励列表 #隔开（黄#紫#橙）
			从小到大						对应limited_time_gift_item的awardId
5001	50001	1	1	month_gift1	10	0	-50%	1	1#2#3
5002	50001	1	2	month_gift2	11	2	-51%	1	1#2#13
5003	50001	1	3	month_gift3	12	3	-52%	2	1#2#4
5004	50001	1	4	month_gift4	13	4	-53%	3	1#2#5
5005	50001	1	5	month_gift5	14	5	-54%	4	1#2#6
5006	50001	2	6	month_gift6	15	6	-55%	5	1#2#7
5007	50001	2	7	month_gift7	16	7	-56%	1	1#2#8
5008	50001	2	8	month_gift8	17	8	-57%	1	1#2#9
5009	50001	2	9	month_gift9	18	9	-58%	1	1#2#10
5010	50001	2	10	month_gift10	19	10	-59%	1	1#2#11
5011	50001	2	11	month_gift11	20	11	-60%	1	1#2#12
