n_id	n_activityId	n_roundId	n_sortId	s_giftName	n_initPrice	n_finalPrice	s_percent	n_limitCounts	s_giftContent
礼包ID	所属的活动ID	所属的轮数	排序ID	礼包名称多语言	原价	实际价格	显示折扣比	限购次数	对应奖励列表 #隔开（黄#紫#橙）
			从小到大						对应limited_time_gift_item的awardId
6001	60001	1	1	week_gift1	6	0	-50%	1	1
6002	60001	1	2	week_gift2	7	2	-51%	1	1#2
6003	60001	1	3	week_gift3	8	3	-52%	2	1#2#4
6004	60001	1	4	week_gift4	9	4	-53%	3	1#2#5
6005	60001	1	5	week_gift5	10	5	-54%	4	1#2#6
6006	60001	1	6	week_gift6	11	6	-55%	5	1#2#7
6007	60001	2	7	week_gift7	12	7	-56%	1	1#2#8
6008	60001	2	8	week_gift8	13	8	-57%	1	1#2#9
6009	60001	2	9	week_gift9	14	9	-58%	1	1#2#10
6010	60001	2	10	week_gift10	15	10	-59%	1	1#2#11
6011	60001	2	11	week_gift11	16	11	-60%	1	1#2#12
