id	rank	npc_id	type	name	cfg_fullname	score
编号id	对应名次	npc编号	道馆类型	名称 多语言	配置文件	对应分数
1	7	50501	5	npc_50501_name	npc_50501	1000
2	6	50502	5	npc_50502_name	npc_50502	1500
3	5	50503	5	npc_50503_name	npc_50503	2000
4	4	50504	5	npc_50504_name	npc_50504	2500
5	3	50505	5	npc_50505_name	npc_50505	3000
6	2	50506	5	npc_50506_name	npc_50506	3500
7	1	50507	5	npc_50507_name	npc_50507	4000
8	7	60501	6	npc_60501_name	npc_60501	1000
9	6	60502	6	npc_60502_name	npc_60502	1500
10	5	60503	6	npc_60503_name	npc_60503	2000
11	4	60504	6	npc_60504_name	npc_60504	2500
12	3	60505	6	npc_60505_name	npc_60505	3000
13	2	60506	6	npc_60506_name	npc_60506	3500
14	1	60507	6	npc_60507_name	npc_60507	4000
15	7	20501	2	npc_20501_name	npc_20501	1000
16	6	20502	2	npc_20502_name	npc_20502	1500
17	5	20503	2	npc_20503_name	npc_20503	2000
18	4	20504	2	npc_20504_name	npc_20504	2500
19	3	20505	2	npc_20505_name	npc_20505	3000
20	2	20506	2	npc_20506_name	npc_20506	3500
21	1	20507	2	npc_20507_name	npc_20507	4000
22	7	30501	3	npc_30501_name	npc_30501	1000
23	6	30502	3	npc_30502_name	npc_30502	1500
24	5	30503	3	npc_30503_name	npc_30503	2000
25	4	30504	3	npc_30504_name	npc_30504	2500
26	3	30505	3	npc_30505_name	npc_30505	3000
27	2	30506	3	npc_30506_name	npc_30506	3500
28	1	30507	3	npc_30507_name	npc_30507	4000
29	7	40501	4	npc_40501_name	npc_40501	1000
30	6	40502	4	npc_40502_name	npc_40502	1500
31	5	40503	4	npc_40503_name	npc_40503	2000
32	4	40504	4	npc_40504_name	npc_40504	2500
33	3	40505	4	npc_40505_name	npc_40505	3000
34	2	40506	4	npc_40506_name	npc_40506	3500
35	1	40507	4	npc_40507_name	npc_40507	4000
