n_id	n_is_open	s_button_name	s_title_name	s_normal_res	s_effect_name	s_effect_scale	s_call_func	s_button_size	n_show_type	n_line_num	n_priority	click_sound
按钮id	功能是否开放	按钮名	按钮标题	正常图片	特效资源	特效倍数大小	回调函数	按钮大小间距	显示类型	位于第几行	在本行的靠边优先级	点击音效
n_id	0关闭1开放							(width#height#distance)	1右上角，2右下角		越小越靠边	
1	1	PokemonMain-LuckyEgg	gui.btn.luckyEgg		g2038_choudan_logo.effect	1#1	LuckyEggCallFunc	86#81#15	1	1	1	
2	1	PokemonMain-DailyLottery	gui.btn.daily_lottery	set:dailylottery.json image:icon			DailyLotteryCallFunc	86#81#15	1	1	2	
3	1	PokemonMain-RechargeGift	gui.btn.rechargeGift	set:pokemonMain.json image:btn_0_recharge			RechargeGiftCallFunc	84#84#15	1	1	3	
4	1	PokemonMain-RegularGift	gui.btn.regularGift	set:pokemonMain.json image:btn_0_regular			RegularGiftCallFunc	84#84#15	1	2	4	
5	1	PokemonMain-Activity	ui_activity	set:pokemonMain.json image:icon_activity			ActivityCallFunc	84#84#15	1	2	5	
6	1	PokemonMain-Pet	title_pet	set:pokemonMain.json image:btn_pet			PetCallFunc	84#84#15	2	1	6	ui_dakaichongwu
7	1	PokemonMain-Book	title_book	set:pokemonMain.json image:btn_book			BookCallFunc	84#84#15	2	1	7	ui_dakaitujian
8	1	PokemonMain-Bag	title_bag	set:pokemonMain.json image:btn_pack			BagCallFunc	84#84#15	2	1	8	ui_dakaibeibao
9	1	PokemonMain-Team	title_team	set:pokemonMain.json image:btn_0_team			TeamCallFunc	84#84#15	2	1	9	ui_dakaiduiwu
10	1	PokemonMain-Leaderboard	title_leaderboard	set:pokemonMain.json image:btn_0_rank			LeaderboardCallFunc	84#84#15	2	2	10	
11	1	PokemonMain-Refine	title_refine	set:pokemonMain.json image:btn_0_refine			RefineCallFunc	84#84#15	2	2	11	
12	0	PokemonMain-Syn	title_comb	set:pokemonMain.json image:btn_0_synthesis			SynthesisCallFunc	84#84#15	2	2	12	
13	1	PokemonMain-GloryHall	main_glory_hall_title	set:pokemonMain.json image:btn_0_gloryhall			GloryHallCallFunc	84#84#15	1	2	13	ui_click
14	1	PokemonMain-RotaryTable	gui_main_rotary_btn_title	set:dailylottery.json image:icon			RotaryTableCallFunc	86#81#15	1	1	2	
15	1	PokemonMain-LimitTimeCombined	gui.limit.time.combined.title	set:general_limited_time.json image:btn_0_gift_bag3	limited_giftpack_entrance_1.effect	3.6#3.6	LimitTimeCombinedFunc	84#84#15	1	2	15	
16	1	PokemonMain-LimitTimeSignal	gui.limit.time.combined.title	set:general_limited_time.json image:btn_0_gift_bag3	limited_giftpack_entrance_1.effect	3.6#3.6	LimitTimeSignalFunc	84#84#15	1	2	15	
17	1	PokemonMain-LimitTimeActivity	gui.limit.time.activity.title	set:limited_time_activity_entry.json image:icon_0_fisherman01			LimitTimeActivityFunc	84#84#15	1	1	14	
