n_pkm_id	n_pkm_exp	n_pkm_coins	items
宠物类型的唯一标识	基础经验值	基础货币	奖励道具list逗号分隔，id#数量
10200101	9	5	
10200102	9	5	
10200103	9	5	
10300101	9	5	
10300102	9	5	
10300103	9	5	
10400101	9	5	
10400102	9	5	
10400103	9	5	
10200201	9	5	
10200202	9	5	
10200203	9	5	
10300201	9	5	
10300202	9	5	
10300203	9	5	
10400201	9	5	
10400202	9	5	
10400203	9	5	
10100101	9	5	
10100102	9	5	
10300301	9	5	
10300302	9	5	
10200301	9	5	
10200302	9	5	
10300401	9	5	
10300402	9	5	
10100201	9	5	
10100202	9	5	
10100301	9	5	
10100302	9	5	
10300501	9	5	
10300502	9	5	
10400301	9	5	
10400302	9	5	
10400401	9	5	
10400402	9	5	
10300601	9	5	
10300602	9	5	
10200401	9	5	
10200402	9	5	
10400501	9	5	
10400502	9	5	
10200501	9	5	
10200502	9	5	
10200601	9	5	
10200602	9	5	
10400601	9	5	
10400602	9	5	
10200701	9	5	
10300701	9	5	
10400701	9	5	
10200801	9	5	
10300801	9	5	
10400801	9	5	
10500101	9	5	
10500201	9	5	
10500301	9	5	
10201001	9	5	
10301001	9	5	
10401101	9	5	
10100501	9	5	
10201201	9	5	
10301201	9	5	
10401001	9	5	
10100601	9	5	
10600101	9	5	
10600301	9	5	
10500401	9	5	
10301301	9	5	
10500501	9	5	
10301401	9	5	
10100801	9	5	
10100802	9	5	
10100901	9	5	
10100902	9	5	
10200901	9	5	
10501501	9	5	
10501502	9	5	
