id	gym_id	is_pvp	region	serialnum	free_challenge_per_day	props_to_challenge	pokemon_list	pokemon_per_round	dynamic_strength	trigger	gym_progress	gym_index	is_gym_boss	action_id	trans_gyms	medal_id	map	team_id	challenge_race	min_challenge_power	is_honor	cfg	host_cfg	host_pokemon_list
npc唯一标识	道馆id	是否是pvp的npc	所属地图区域	序列号	每天挑战次数(0代表挑战过了就不可以再次挑战了)	使用道具挑战上限	出战宠物列表	单次召唤宠物数量	动态强度	触发区域	NPC分组	道馆npc的站位编号对应排行榜中的名次	是否是道馆boss,战胜以后完成道馆	对话结束后默认行为	传送npc对应传送道馆列表,0代表传送出来	战胜后徽章id	战斗场景的地图	组队用的标识 不填写则为单人npc	挑战npc需要满足宠物的属性(0:none, 1:normal 2:water 3:fire 4:grass 5:super 6:special)	挑战npc需要的最少战力	是否为爬塔NPC	NPC自身组队配置	助战AI配置	助战AI宠物列表
10101			1	1	0		0	1		force_obstacle_region_10101				3										
10102			1	2	3	2,3	0104,0105,0106	2						3										
10103			1	3	0		0							1										
10104			1	4	0		0101,0102,0103	1	0,0,0					3										
10105			1	5	0		0	1		force_battle_newer_suppressed				3			map002							
10106			1	6	0		0	1		force_battle_newer_suppressed				3										
10107			1	7	0		0	1		force_battle_newer_suppressed				3										
10108			1	8	0		101004	1		force_battle_newer_normal				3			map002							
10109			1	9	0		10200101			pet_show_1				4										
10110			1	10	0		10300101			pet_show_2				4										
10111			1	11	0		10400101			pet_show_3				4										
10112			1	12	0		0							2										
10113			1	13	0		0							2										
20101			2	1	0		201011	1		force_obstacle_region_20101				3			map002							
20102			2	2	0		201021,201022	1		force_obstacle_region_20102				3			map002							
20103			2	3	0		201031	1		force_obstacle_region_20103				3			map002							
20104			2	4	0		201041,201042	1		force_obstacle_region_20104				3			map002							
20105			2	5	0		201051	1		force_obstacle_region_20105				3			map002							
20106			2	6	0		201061	1		force_obstacle_region_20106				3			map002							
20107			2	7	0		201071,201072	1		force_obstacle_region_20107				3			map002							
20108			2	8	0		201081	1		force_obstacle_region_20108				3			map002							
20109			2	9	0		201091,201092	1		force_obstacle_region_20109				3			map002							
20201			2	10	0		202011	1						3			map002							
20202			2	11	0		202021,202022	1						3			map002							
20203			2	12	0		202031	1						3			map002							
20204			2	13	0		202041	1						3			map002							
20205			2	14	0		202051,202052	1						3			map002							
20206			2	15	0		202061,202062	1						3			map002							
20301	1		2	16	0		203011	1			1			3			map004							
20302	1		2	17	0		203021,203022	1			2			3			map004							
20303	1		2	18	0		203031,203032	1			3			3			map004							
20304	1		2	19	0		203041,203042	1			4			3			map004							
20305	1		2	20	0		203051	1			5			3			map004							
20306	1		2	21	0		203061,203062	1			6			3			map004							
20307	1		2	22	0		203071,203072,203073	1			7		1	3			map004							
20401			2	23	0		0			force_talk_area1_transin_gym1				5	1,6									
20402			2	24	0		0			force_talk_area1_transout_gym1				5										
20403			2	25	0		0			force_talk_area1_transout_gym1_pvp				5										
20501	6	1	2	1	1		205011,205012	1			1	1		3			map004		2	1500				
20502	6	1	2	2	1		205021,205022	1			1	2		3			map004		2	1500				
20503	6	1	2	3	1		205031,205032	1			1	3		3			map004		2	1500				
20504	6	1	2	4	1		205041,205042	1			1	4		3			map004		2	1500				
20505	6	1	2	5	1		205051,205052,205053	1			2	5		3			map004		2	1500				
20506	6	1	2	6	1		205061,205062,205063	1			2	6		3			map004		2	1500				
20507	6	1	2	7	1		205071,205072,205073,205074	1			3	7	1	3			map004		2	1500				
30101			3	1	0		301011,301012	1		force_battle_area1_30101				3			map002							
30102			3	2	0		301021,301022	1		force_battle_area1_30102				3			map005							
30103			3	3	0		301031	1		force_battle_area1_30103				3			map005							
30104			3	4	0		301041,301042	1		force_battle_area1_30104				3			map005							
30105			3	5	0		301051,301052	1		force_battle_area1_30105				3			map005							
30106			3	6	0		301061,301062,301063	1		force_battle_area1_30106				3			map005							
30107			3	7	0		301071,301072	1		force_battle_area1_30107				3			map005							
30108			3	8	0		301081	1		force_battle_area1_30108				3			map005							
30109			3	9	0		301091,301092,301093	1		force_battle_area1_30109				3			map005							
30201			3	10	0		302011,302012	1						3			map005							
30202			3	11	0		302021,302022,302023	1						3			map005							
30301	2		3	12	0		303011,303012	1			1			3			map007							
30302	2		3	13	0		303021,303022	1			2			3			map007							
30303	2		3	14	0		303031,303032,303033	1			3			3			map007							
30304	2		3	15	0		303041,303042	1			4			3			map007							
30305	2		3	16	0		303051,303052,303053	1			5			3			map007							
30306	2		3	17	0		303061,303062	1			6			3			map007							
30307	2		3	18	0		303071,303072,303073,303074	1			7		1	3			map007							
30401			3	19	0		0			force_talk_area1_transin_gym2				5	2,7									
30402			3	20	0		0			force_talk_area1_transout_gym2				5										
30403			3	21	0		0			force_talk_area1_transout_gym2_pvp				5										
30501	7	1	3	1	1		305011,305012,305013	1			1	1		3			map007		3	1500				
30502	7	1	3	2	1		305021,305022,305023	1			1	2		3			map007		3	1500				
30503	7	1	3	3	1		305031,305032,305033	1			1	3		3			map007		3	1500				
30504	7	1	3	4	1		305041,305042,305043	1			1	4		3			map007		3	1500				
30505	7	1	3	5	1		305051,305052,305053,305054	1			2	5		3			map007		3	1500				
30506	7	1	3	6	1		305061,305062,305063,305064	1			2	6		3			map007		3	1500				
30507	7	1	3	7	1		305071,305072,305073,305074	1			3	7	1	3			map007		3	1500				
40101			4	1	0		401011,401012	1		force_battle_area1_40101				3			map008							
40102			4	2	0		401021,401022,401023	1		force_battle_area1_40102				3			map008							
40103			4	3	0		401031,401032	1		force_battle_area1_40103				3			map008							
40104			4	4	0		401041	1		force_battle_area1_40104				3			map008							
40105			4	5	0		401051,401052	1		force_battle_area1_40105				3			map008							
40106			4	6	0		401061,401062,401063	1		force_battle_area1_40106				3			map008							
40107			4	7	0		401071	1		force_battle_area1_40107				3			map008							
40108			4	8	0		401081,401082	1		force_battle_area1_40108				3			map008							
40109			4	9	0		401091,401092,401093,401094	1		force_battle_area1_40109				3			map008							
40201			4	10	0		402011,402012,402013	1						3			map008							
40202			4	11	0		402021,402022,402023,402024	1						3			map008							
40301	3		4	12	0		403011,403012,403013	1			1			3			map010							
40302	3		4	13	0		403021,403022,403023	1			2			3			map010							
40303	3		4	14	0		403031,403032,403033,403034	1			3			3			map010							
40304	3		4	15	0		403041,403042,403043,403044	1			4			3			map010							
40305	3		4	16	0		403051,403052	1			5			3			map010	1				npc_40305	npc_40351	403511,403512,403513
40306	3		4	17	0		403061,403062	1						2			map010	1				npc_40306		
40307	3		4	18	0		403071,403072,403073	1			6			3			map010	2				npc_40307	npc_40352	403521,403522,403523
40308	3		4	19	0		403081,403082,403083	1						2			map010	2				npc_40308		
40309	3		4	20	0		403091,403092,403093,403094	1			7		1	3			map010	3				npc_40309	npc_40353	403531,403532,403533
40310	3		4	21	0		403101,403102,403103,403104	1						2			map010	3				npc_40310		
40401			4	22	0		0			force_talk_area1_transin_gym3				5	3,8									
40402			4	23	0		0			force_talk_area1_transout_gym3				5										
40403			4	24	0		0			force_talk_area1_transout_gym3_pvp				5										
40501	8	1	4	11	1		405011,405012,405013	1			1	1		3			map010		4	1500				
40502	8	1	4	11	1		405021,405022,405023	1			1	2		3			map010		4	1500				
40503	8	1	4	11	1		405031,405032,405033	1			1	3		3			map010		4	1500				
40504	8	1	4	11	1		405041,405042,405043	1			1	4		3			map010		4	1500				
40505	8	1	4	11	1		405051,405052,405053,405054	1			2	5		3			map010		4	1500				
40506	8	1	4	11	1		405061,405062,405063,405064	1			2	6		3			map010		4	1500				
40507	8	1	4	11	1		405071,405072,405073,405074	1			3	7	1	3			map010		4	1500				
50101			5	1	0		501011,501012	1		force_battle_area1_50101				3			map011							
50102			5	2	0		501021,501022,501023	1		force_battle_area1_50102				3			map011							
50103			5	3	0		501031,501032	1		force_battle_area1_50103				3			map011							
50104			5	4	0		501041,501042	1		force_battle_area1_50104				3			map011							
50105			5	5	0		501051,501052,501053	1		force_battle_area1_50105				3			map011							
50106			5	6	0		501061,501062,501063,501064	1		force_battle_area1_50106				3			map011							
50107			5	7	0		501071,501072	1		force_battle_area1_50107				3			map011							
50108			5	8	0		501081,501082	1		force_battle_area1_50108				3			map011							
50109			5	9	0		501091,501092,501093,501094	1		force_battle_area1_50109				3			map011							
50201			5	10	0		502011,502012,502013	1						3			map011							
50202			5	11	0		502021,502022,502023,502024	1						3			map011							
50301	4		5	12	0		503011,503012,503013,503014	1			1			3			map013							
50302	4		5	13	0		503021,503022,503023,503024	1			2			3			map013							
50303	4		5	14	0		503031,503032,503033,503034	1			3			3			map013							
50304	4		5	15	0		503041,503042,503043,503044	1			4			3			map013							
50305	4		5	16	0		503051,503052,503053,503054	1			5			3			map013	4				npc_50305	npc_50351	503511,503512,503513
50306	4		5	17	0		503061,503062,503063,503064	1						2			map013	4				npc_50306		
50307	4		5	18	0		503071,503072,503073,503074	1			6			3			map013	5				npc_50307	npc_50352	503521,503522,503523
50308	4		5	19	0		503081,503082,503083,503084	1						2			map013	5				npc_50308		
50309	4		5	20	0		503091,503092,503093,503094	1			7		1	3			map013	6				npc_50309	npc_50353	503531,503532,503533
50310	4		5	21	0		503101,503102,503103,503104	1						2			map013	6				npc_50310		
50401			5	22	0		0			force_talk_area1_transin_gym4				5	4,9									
50402			5	23	0		0			force_talk_area1_transout_gym4				5										
50403			5	23	0		0			force_talk_area1_transout_gym4_pvp				5										
50501	9	1	5	1	1		505011,505012,505013	1			1	1		3			map013		5	1500				
50502	9	1	5	2	1		505021,505022,505023	1			1	2		3			map013		5	1500				
50503	9	1	5	3	1		505031,505032,505033	1			1	3		3			map013		5	1500				
50504	9	1	5	4	1		505041,505042,505043	1			1	4		3			map013		5	1500				
50505	9	1	5	5	1		505051,505052,505053,505054	1			2	5		3			map013		5	1500				
50506	9	1	5	6	1		505061,505062,505063,505064	1			2	6		3			map013		5	1500				
50507	9	1	5	7	1		505071,505072,505073,505074	1			3	7	1	3			map013		5	1500				
60101			6	1	0		601011,601012,601013,601014	1		force_battle_area1_60101				3			map014							
60102			6	2	0		601021,601022,601023,601024	1		force_battle_area1_60102				3			map014							
60103			6	3	0		601031,601032,601033,601034	1		force_battle_area1_60103				3			map014							
60104			6	4	0		601041,601042,601043,601044	1		force_battle_area1_60104				3			map014							
60105			6	5	0		601051,601052,601053,601054	1		force_battle_area1_60105				3			map014							
60106			6	6	0		601061,601062,601063,601064	1		force_battle_area1_60106				3			map014							
60107			6	7	0		601071,601072,601073,601074	1		force_battle_area1_60107				3			map014							
60108			6	8	0		601081,601082,601083,601084	1		force_battle_area1_60108				3			map014							
60109			6	9	0		601091,601092,601093,601094	1		force_battle_area1_60109				3			map014							
60201			6	10	0		602011,602012,602013,602014	1						3			map014							
60202			6	11	0		602021,602022,602023,602024	1						3			map014							
60203			6	12	0		602031,602032,602033,602034	1						3			map014							
60301	5		6	13	0		603011,603012,603013,603014	1			1			3			map016							
60302	5		6	14	0		603021,603022,603023,603024	1			2			3			map016							
60303	5		6	15	0		603031,603032,603033,603034	1			3			3			map016							
60304	5		6	16	0		603041,603042,603043,603044	1			4			3			map016							
60305	5		6	17	0		603051,603052,603053,603054	1			5			3			map016	7				npc_60305	npc_60351	603511,603512,603513
60306	5		6	18	0		603061,603062,603063,603064	1						2			map016	7				npc_60306		
60307	5		6	19	0		603071,603072,603073,603074	1			6			3			map016	8				npc_60307	npc_60352	603521,603522,603523
60308	5		6	20	0		603081,603082,603083,603084	1						2			map016	8				npc_60308		
60309	5		6	21	0		603091,603092,603093,603094	1			7		1	3			map016	9				npc_60309	npc_60353	603531,603532,603533
60310	5		6	22	0		603101,603102,603103,603104	1						2			map016	9				npc_60310		
60401			6	23	0		0			force_talk_area1_transin_gym5				5	5,10									
60402			6	24	0		0			force_talk_area1_transout_gym5				5										
60403			6	24	0		0			force_talk_area1_transout_gym5_pvp				5										
60501	10	1	6	12	0		605011,605012,605013	1			1	1		3			map016		5	1500				
60502	10	1	6	12	0		605021,605022,605023	1			1	2		3			map016		5	1500				
60503	10	1	6	12	0		605031,605032,605033	1			1	3		3			map016		5	1500				
60504	10	1	6	12	0		605041,605042,605043	1			1	4		3			map016		5	1500				
60505	10	1	6	12	0		605051,605052,605053,605054	1			2	5		3			map016		5	1500				
60506	10	1	6	12	0		605061,605062,605063,605064	1			2	6		3			map016		5	1500				
60507	10	1	6	12	0		605071,605072,605073,605074	1			3	7	1	3			map016		5	1500				
90104			2	1	0		0							2										
90105			1	14	0		202001	1		force_battle_area1_90105				3			map002							
90106			1	15	0		202001	1						3			map002							
90107			1	16	0		0	1						2										
90108		1	1	16	3		202011,202015	1						3			map016		3	1000				
90109		1	1	16	3		202011,202015	1						3			map016		3	1000				
90110		1	1	16	3		202011,202015	1						3			map016		3	1000				
70101	11		7	1	1		701011,701012,701013,701014	1			1			3			map018				1			
70102	11		7	2	1		701021,701022,701023,701024	1			2			3			map018				1			
70103	11		7	3	1		701031,701032,701033,701034	1			3			3			map018				1			
70104	11		7	4	1		701041,701042,701043,701044	1			4			3			map018				1			
70105	11		7	5	1		701051,701052,701053,701054	1			5			3			map018				1			
70106	11		7	6	1		701061,701062,701063,701064	1			6			3			map018				1			
70107	11		7	7	1		701071,701072,701073,701074	1			7			3			map018				1			
70108	11		7	8	1		701081,701082,701083,701084	1			8			3			map018				1			
70109	11		7	9	1		701091,701092,701093,701094	1			9			3			map018				1			
70110	11		7	10	1		701101,701102,701103,701104	1			10			3			map018				1			
70111	11		7	11	1		701111,701112,701113,701114	1			11			3			map018				1			
70112	11		7	12	1		701121,701122,701123,701124	1			12			3			map018				1			
70201	12		7	1	1		702011,702012,702013,702014	1			1			3			map019				1			
70202	12		7	2	1		702021,702022,702023,702024	1			2			3			map019				1			
70203	12		7	3	1		702031,702032,702033,702034	1			3			3			map019				1			
70204	12		7	4	1		702041,702042,702043,702044	1			4			3			map019				1			
70205	12		7	5	1		702051,702052,702053,702054	1			5			3			map019				1			
70206	12		7	6	1		702061,702062,702063,702064	1			6			3			map019				1			
70207	12		7	7	1		702071,702072,702073,702074	1			7			3			map019				1			
70208	12		7	8	1		702081,702082,702083,702084	1			8			3			map019				1			
70209	12		7	9	1		702091,702092,702093,702094	1			9			3			map019				1			
70210	12		7	10	1		702101,702102,702103,702104	1			10			3			map019				1			
70211	12		7	11	1		702111,702112,702113,702114	1			11			3			map019				1			
70212	12		7	12	1		702121,702122,702123,702124	1			12			3			map019				1			
70301	13		7	1	1		703011,703012,703013,703014	1			1			3			map020				1			
70302	13		7	2	1		703021,703022,703023,703024	1			2			3			map020				1			
70303	13		7	3	1		703031,703032,703033,703034	1			3			3			map020				1			
70304	13		7	4	1		703041,703042,703043,703044	1			4			3			map020				1			
70305	13		7	5	1		703051,703052,703053,703054	1			5			3			map020				1			
70306	13		7	6	1		703061,703062,703063,703064	1			6			3			map020				1			
