id	name	content
对话内容id	说话人名称(多语言key,不填代表玩家自己)	对话内容(多语言key)
1	npc_doctor_name	doctor_conversation_1
2		doctor_conversation_2
3	npc_doctor_name	doctor_conversation_3
4	npc_doctor_name	doctor_conversation_4
5	npc_test_1_name	npc_test_1_conversation_1
6	npc_test_1_name	npc_test_1_conversation_2
7	npc_test_2_name	npc_force_battle_dialogue_1
8		npc_force_battle_dialogue_2
9	npc_test_2_name	npc_force_battle_dialogue_1
10	npc_test_1_name	npc_giveup_test_1
11	npc_test_2_name	npc_giveup_test_2
12	npc_test_4_name	npc_giveup_test_3
501	npc_10101_name	npc_10101_dialogue_3_1
502	npc_10101_name	npc_10101_dialogue_2_4
503	npc_10106_name	npc_force_battle_dialogue_1
504	npc_10106_name	npc_force_battle_dialogue_3
505	npc_10107_name	npc_force_battle_dialogue_1
506	npc_10107_name	npc_force_battle_dialogue_3
507	npc_10108_name	npc_10108_dialogue_3_1
508	npc_10108_name	npc_10108_dialogue_2_4
509	npc_10101_name	npc_10101_dialogue_2_4
1011221		npc_10112_dialogue_2_1
1011321		npc_10113_dialogue_2_1
2010131	npc_20101_name	npc_20101_dialogue_3_1
2010123	npc_20101_name	npc_noteam_dialogue
2010124	npc_20101_name	npc_20101_dialogue_2_4
2010231	npc_20102_name	npc_20102_dialogue_3_1
2010223	npc_20102_name	npc_noteam_dialogue
2010224	npc_20102_name	npc_20102_dialogue_2_4
2010331	npc_20103_name	npc_20103_dialogue_3_1
2010323	npc_20103_name	npc_noteam_dialogue
2010324	npc_20103_name	npc_20103_dialogue_2_4
2010431	npc_20104_name	npc_20104_dialogue_3_1
2010423	npc_20104_name	npc_noteam_dialogue
2010424	npc_20104_name	npc_20104_dialogue_2_4
2010531	npc_20105_name	npc_20105_dialogue_3_1
2010523	npc_20105_name	npc_noteam_dialogue
2010524	npc_20105_name	npc_20105_dialogue_2_4
2010631	npc_20106_name	npc_20106_dialogue_3_1
2010623	npc_20106_name	npc_noteam_dialogue
2010624	npc_20106_name	npc_20106_dialogue_2_4
2010731	npc_20107_name	npc_20107_dialogue_3_1
2010723	npc_20107_name	npc_noteam_dialogue
2010724	npc_20107_name	npc_20107_dialogue_2_4
2010831	npc_20108_name	npc_20108_dialogue_3_1
2010823	npc_20108_name	npc_noteam_dialogue
2010824	npc_20108_name	npc_20108_dialogue_2_4
2010931	npc_20109_name	npc_20109_dialogue_3_1
2010923	npc_20109_name	npc_noteam_dialogue
2010924	npc_20109_name	npc_20109_dialogue_2_4
2020131	npc_20201_name	npc_20201_dialogue_3_1
2020123	npc_20201_name	npc_noteam_dialogue
2020124	npc_20201_name	npc_20201_dialogue_2_4
2020231	npc_20202_name	npc_20202_dialogue_3_1
2020223	npc_20202_name	npc_noteam_dialogue
2020224	npc_20202_name	npc_20202_dialogue_2_4
2020331	npc_20203_name	npc_20203_dialogue_3_1
2020323	npc_20203_name	npc_noteam_dialogue
2020324	npc_20203_name	npc_20203_dialogue_2_4
2020431	npc_20204_name	npc_20204_dialogue_3_1
2020423	npc_20204_name	npc_noteam_dialogue
2020424	npc_20204_name	npc_20204_dialogue_2_4
2020531	npc_20205_name	npc_20205_dialogue_3_1
2020523	npc_20205_name	npc_noteam_dialogue
2020524	npc_20205_name	npc_20205_dialogue_2_4
