dialogue_id	npc_name	dialogue_list	npc_id	action_id	reason_id
对话id	触发对话npc(给策划提示用)	对话内容列表	npc的id	行为id	行为失败成功的理由
100	Npc_10103	1	10103	1	
101	Npc_10101	501	10101	3	1
102	Npc_10101	502	10101	2	4
103	Npc_10101	509	10101	2	3
105	Npc_10101	10	10101	2	
106	Npc_10102	11	10102	2	
107	Npc_10104	12	10104	2	
108	Npc_10105	501	10105	3	
109	Npc_10105	502	10105	2	
110	Npc_10106	503	10106	3	
111	Npc_10106	504	10106	2	
112	Npc_10107	505	10107	3	
113	Npc_10107	506	10107	2	
114	Npc_10108	507	10108	3	
115	Npc_10108	508	10108	2	
116	Npc_10103	1	10109	1	
117	Npc_10103	1	10110	1	
118	Npc_10103	1	10111	1	
119	npc_10112	1011221	10112	2	1
120	npc_10113	1011321	10113	2	1
201	npc_20101	2010123	20101	2	3
202	npc_20101	2010124	20101	2	4
203	npc_20101	2010131	20101	3	1
204	npc_20102	2010223	20102	2	3
205	npc_20102	2010224	20102	2	4
206	npc_20102	2010231	20102	3	1
207	npc_20103	2010323	20103	2	3
208	npc_20103	2010324	20103	2	4
209	npc_20103	2010331	20103	3	1
210	npc_20104	2010423	20104	2	3
211	npc_20104	2010424	20104	2	4
212	npc_20104	2010431	20104	3	1
213	npc_20105	2010523	20105	2	3
214	npc_20105	2010524	20105	2	4
215	npc_20105	2010531	20105	3	1
216	npc_20106	2010623	20106	2	3
217	npc_20106	2010624	20106	2	4
218	npc_20106	2010631	20106	3	1
219	npc_20107	2010723	20107	2	3
220	npc_20107	2010724	20107	2	4
221	npc_20107	2010731	20107	3	1
222	npc_20108	2010823	20108	2	3
223	npc_20108	2010824	20108	2	4
224	npc_20108	2010831	20108	3	1
225	npc_20109	2010923	20109	2	3
226	npc_20109	2010924	20109	2	4
227	npc_20109	2010931	20109	3	1
228	npc_20201	2020123	20201	2	3
229	npc_20201	2020124	20201	2	4
230	npc_20201	2020131	20201	3	1
231	npc_20202	2020223	20202	2	3
232	npc_20202	2020224	20202	2	4
233	npc_20202	2020231	20202	3	1
234	npc_20203	2020323	20203	2	3
235	npc_20203	2020324	20203	2	4
236	npc_20203	2020331	20203	3	1
237	npc_20204	2020423	20204	2	3
238	npc_20204	2020424	20204	2	4
239	npc_20204	2020431	20204	3	1
240	npc_20205	2020523	20205	2	3
241	npc_20205	2020524	20205	2	4
242	npc_20205	2020531	20205	3	1
243	npc_20206	2020623	20206	2	3
244	npc_20206	2020624	20206	2	4
245	npc_20206	2020631	20206	3	1
246	npc_20301	2030123	20301	2	3
247	npc_20301	2030124	20301	2	4
248	npc_20301	2030131	20301	3	1
249	npc_20302	2030222	20302	2	2
250	npc_20302	2030223	20302	2	3
251	npc_20302	2030224	20302	2	4
252	npc_20302	2030231	20302	3	1
253	npc_20303	2030322	20303	2	2
254	npc_20303	2030323	20303	2	3
255	npc_20303	2030324	20303	2	4
256	npc_20303	2030331	20303	3	1
257	npc_20304	2030422	20304	2	2
258	npc_20304	2030423	20304	2	3
259	npc_20304	2030424	20304	2	4
260	npc_20304	2030431	20304	3	1
261	npc_20305	2030522	20305	2	2
262	npc_20305	2030523	20305	2	3
263	npc_20305	2030524	20305	2	4
264	npc_20305	2030531	20305	3	1
265	npc_20306	2030622	20306	2	2
266	npc_20306	2030623	20306	2	3
267	npc_20306	2030624	20306	2	4
268	npc_20306	2030631	20306	3	1
269	npc_20307	2030722	20307	2	2
270	npc_20307	2030723	20307	2	3
271	npc_20307	2030724	20307	2	4
272	npc_20307	2030731	20307	3	1
273	npc_20401	2040151	20401	5	1
274	npc_20402	2040251	20402	5	1
275	npc_20403	2040351	20403	5	1
301	npc_30101	3010123	30101	2	3
302	npc_30101	3010124	30101	2	4
303	npc_30101	3010131	30101	3	1
304	npc_30102	3010223	30102	2	3
305	npc_30102	3010224	30102	2	4
306	npc_30102	3010231	30102	3	1
307	npc_30103	3010323	30103	2	3
308	npc_30103	3010324	30103	2	4
309	npc_30103	3010331	30103	3	1
310	npc_30104	3010423	30104	2	3
311	npc_30104	3010424	30104	2	4
312	npc_30104	3010431	30104	3	1
313	npc_30105	3010523	30105	2	3
314	npc_30105	3010524	30105	2	4
315	npc_30105	3010531	30105	3	1
316	npc_30106	3010623	30106	2	3
317	npc_30106	3010624	30106	2	4
318	npc_30106	3010631	30106	3	1
319	npc_30107	3010723	30107	2	3
320	npc_30107	3010724	30107	2	4
321	npc_30107	3010731	30107	3	1
322	npc_30108	3010823	30108	2	3
323	npc_30108	3010824	30108	2	4
324	npc_30108	3010831	30108	3	1
325	npc_30109	3010923	30109	2	3
326	npc_30109	3010924	30109	2	4
327	npc_30109	3010931	30109	3	1
328	npc_30201	3020123	30201	2	3
329	npc_30201	3020124	30201	2	4
330	npc_30201	3020131	30201	3	1
331	npc_30202	3020223	30202	2	3
