id	region	serialnum	pokemon_id	level	is_random_skill	active_skill_list	passive_skill_list	npc_hp	npc_speed	npc_pAtk	npc_pDef	npc_sAtk	npc_sDef	npc_star	npc_wake
npc出战宠物id	所属地图区域	序列号	宠物id	等级	属性全随机	主动技能列表	被动技能列表	生命倍数	速度倍数	物攻倍数	物防倍数	魔攻倍数	魔防倍数	星级	觉醒
101	1	1	10400101	0	1			1	1	1	1	1	1		
102	1	2	10400102	0	1										
103	1	3	10400103	0	1			2	1	1	1	1	1		
104	1	4	10200201	3	1										
105	1	5	10200202	2	1			2	2	1	1	1	1		
106	1	6	10400201	1	1			1	1	1	1	1	1		
101001	1	1	10200201	2	1			80	50	65	0	65	0	3	0
101002	1	2	10300201	2	1			80	50	65	0	65	0	3	0
101003	1	3	10400201	2	1			80	50	65	0	65	0	3	0
201011	2	101	10100301	6	1			71	99	29	12	29	12	2	0
201021	2	102	10400301	9	1			68	99	38	11	38	11	1	0
201022	2	103	10401101	9	1			92	99	47	15	47	15	2	0
201031	2	104	10401101	13	1			128	99	52	16	52	16	2	0
201041	2	105	10300401	18	1			142	99	62	15	62	15	2	0
201042	2	106	10401101	18	1			199	99	80	22	80	22	3	0
201051	2	107	10401101	20	1			263	99	110	31	110	31	4	0
201061	2	108	10100501	22	1			294	99	119	32	119	32	4	0
201071	2	109	10200301	24	1			356	99	145	53	145	53	4	0
201072	2	110	10100501	24	1			431	99	179	64	179	64	4	0
201081	2	111	10500301	26	1			538	99	193	64	193	64	5	0
201091	2	112	10200401	28	1			453	99	192	79	192	79	4	0
201092	2	113	10100501	28	1			512	99	211	87	211	87	4	0
301011	3	114	10200301	30	1			461	99	195	85	195	85	4	0
301012	3	115	10201001	30	1			518	99	213	92	213	92	4	0
301021	3	116	10100301	32	1			506	99	213	96	213	96	4	0
301022	3	117	10201001	32	1			566	99	232	104	232	104	4	0
301031	3	118	10300801	34	1			741	99	270	122	270	122	5	0
301041	3	119	10100101	36	1			682	99	267	120	267	120	5	0
301042	3	120	10201001	36	1			739	99	289	130	289	130	5	0
301051	3	121	10301001	38	1			721	99	282	129	282	129	5	0
301052	3	122	10300301	38	1			825	99	301	141	301	141	5	0
301061	3	123	10200501	40	1			759	99	297	138	297	138	5	0
301062	3	124	10200201	40	1			822	99	322	150	322	150	5	0
301063	3	125	10301001	40	1			886	99	347	161	347	161	5	0
301071	3	126	10100301	42	1			848	99	345	162	345	162	5	0
301072	3	127	10200301	42	1			969	99	394	185	394	185	5	0
301081	3	128	10200801	44	1			1131	99	414	201	414	201	5	0
301091	3	129	10301001	46	1			1048	99	411	196	411	196	5	0
301092	3	130	10200501	46	1			1048	99	411	196	411	196	5	0
301093	3	131	10200601	46	1			1192	99	436	213	436	213	5	0
401011	4	132	10100101	48	1			1305	99	531	247	531	247	5	0
401012	4	133	10100201	48	1			1305	99	531	247	531	247	5	0
401021	4	134	10400501	50	1			1050	99	449	221	449	221	4	0
401022	4	135	10400101	50	1			1164	99	487	236	487	236	4	0
401023	4	136	10301201	50	1			1560	99	597	284	597	284	5	0
401031	4	137	10400301	52	1			1297	99	541	257	541	257	5	0
401032	4	138	10400201	52	1			1440	99	584	275	584	275	5	0
401041	4	139	10301201	54	1			1723	99	657	314	657	314	5	0
401051	4	140	10301201	56	1			1804	99	686	330	686	330	5	0
401052	4	141	10500101	56	1			1804	99	686	330	686	330	5	0
401061	4	142	10300601	58	1			1659	99	670	318	670	318	5	0
401062	4	143	10100101	58	1			1659	99	670	318	670	318	5	0
401063	4	144	10100601	58	1			1659	99	670	318	670	318	5	0
401071	4	145	10100601	60	1			1968	99	746	360	746	360	5	0
401081	4	146	10100301	62	1			1932	99	788	362	788	362	6	0
