n_id	n_tabId	n_subTabId	s_sort_id	s_name	s_icon	n_rarity	s_itemName	n_itemCount	s_desc	n_currencyType	n_originalPrice	n_discount	n_buyCount	s_levelLimit	n_showRedDot	n_showEffect	s_weight
商品id	主标签页	子标签页	序号id	商品名称	商品图标	商品品质	相关货物全名	物品数	货物详细名称	货币类型0金魔方3金币	正常价格	折扣0.1表示一折	限购次数0不限购	对应等级3#30	是否显示红点1显示	是否有边框特效	是否随机-1不随机，1#30是组和权重
n_id	n_tabId	n_subTabId	s_sort_id	s_name	s_icon	n_rarity	s_itemName	n_itemCount	s_desc	n_currencyType	n_originalPrice	n_discount	n_buyCount	s_levelLimit	n_showRedDot	n_showEffect	s_weight
11001	1	1	1	item_exp_03_name	set:g2038_pokemon_item.json image:g2038_item_exp_003	3	myplugin/item_exp_03	1	item_exp_03_desc	3	100	0	1		1	1	1#100
11002	1	1	2	item_exp_01_name	set:g2038_pokemon_item.json image:g2038_item_exp_001	1	myplugin/item_exp_01	1	item_exp_01_desc	3	10	0.2	20				2#60
11003	1	1	3	item_exp_02_name	set:g2038_pokemon_item.json image:g2038_item_exp_002	2	myplugin/item_exp_02	1	item_exp_02_desc	3	50	0.2	20				2#30
11004	1	1	4	item_exp_03_name	set:g2038_pokemon_item.json image:g2038_item_exp_003	3	myplugin/item_exp_03	1	item_exp_03_desc	3	100	0.2	20				2#10
11005	1	1	5	pokeball_01_name	set:g2038_pokemon_ball.json image:ball_01	2	myplugin/pokeball_01	1	pokeball_01_desc	3	500	0.1	1				3#60
11006	1	1	6	pokeball_02_name	set:g2038_pokemon_ball.json image:ball_02	3	myplugin/pokeball_02	1	pokeball_02_desc	3	5000	0.3	1				3#30
11007	1	1	7	pokeball_03_name	set:g2038_pokemon_ball.json image:ball_03	4	myplugin/pokeball_03	1	pokeball_03_desc	3	10000	0.5	1				3#10
11008	1	1	8	pokeball_water_name	set:g2038_pokemon_ball.json image:ball_water	4	myplugin/pokeball_05	1	pokeball_water_desc	3	10000	0.6	1				4#10
11009	1	1	9	pokeball_fire_name	set:g2038_pokemon_ball.json image:ball_fire	4	myplugin/pokeball_06	1	pokeball_fire_desc	3	10000	0.6	1				4#10
11010	1	1	10	pokeball_grass_name	set:g2038_pokemon_ball.json image:ball_grass	4	myplugin/pokeball_07	1	pokeball_grass_desc	3	10000	0.6	1				4#10
11011	1	1	11	potion_hp_001_name	set:g2038_pokemon_potion.json image:g2038_potion_hp_001	1	myplugin/potion_hp_001	1	potion_hp_001_desc	3	100	0.2	10				5#20
11012	1	1	12	potion_hp_002_name	set:g2038_pokemon_potion.json image:g2038_potion_hp_002	2	myplugin/potion_hp_002	1	potion_hp_002_desc	3	500	0.2	10				5#30
11013	1	1	13	potion_hp_003_name	set:g2038_pokemon_potion.json image:g2038_potion_hp_003	3	myplugin/potion_hp_003	1	potion_hp_003_desc	3	1000	0.4	10				5#30
11014	1	1	14	potion_hp_004_name	set:g2038_pokemon_potion.json image:g2038_potion_hp_004	4	myplugin/potion_hp_004	1	potion_hp_004_desc	3	5000	0.6	3				5#15
11015	1	1	15	potion_hp_005_name	set:g2038_pokemon_potion.json image:g2038_potion_hp_005	5	myplugin/potion_hp_005	1	potion_hp_005_desc	3	10000	0.6	3				5#5
11016	1	1	16	potion_all_name	set:g2038_pokemon_potion.json image:g2038_potion_all	3	myplugin/potion_all	1	potion_all_desc	3	1000	0.7	3				6#10
11017	1	1	17	potion_antidote_name	set:g2038_pokemon_potion.json image:g2038_potion_antidote	2	myplugin/potion_antidote	1	potion_antidote_desc	3	500	0.5	5				6#15
11018	1	1	18	potion_burn_name	set:g2038_pokemon_potion.json image:g2038_potion_burn	2	myplugin/potion_burn	1	potion_burn_desc	3	500	0.5	5				6#15
11019	1	1	19	potion_confuse_name	set:g2038_pokemon_potion.json image:g2038_potion_confuse	2	myplugin/potion_confuse	1	potion_confuse_desc	3	500	0.5	5				6#15
11020	1	1	20	potion_paralyze_name	set:g2038_pokemon_potion.json image:g2038_potion_paralyze	2	myplugin/potion_paralyze	1	potion_paralyze_desc	3	500	0.5	5				6#15
11021	1	1	21	potion_sleep_name	set:g2038_pokemon_potion.json image:g2038_potion_sleep	2	myplugin/potion_sleep	1	potion_sleep_desc	3	500	0.5	5				6#15
11022	1	1	22	potion_wet_name	set:g2038_pokemon_potion.json image:g2038_potion_wet	2	myplugin/potion_wet	1	potion_wet_desc	3	500	0.5	5				6#15
11023	1	1	23	item_ticket_03_name	set:g2038_pokemon_ticket.json image:item_ticket_03	4	myplugin/item_ticket_03	1	item_ticket_03_desc	3	3000	0.4	10				7#100
21001	2	1	1	item_levelup_01_name	set:g2038_pokemon_item.json image:g2038_item_level_001	4	myplugin/item_levelup_01	1	item_levelup_01_desc	0	50						
21002	2	1	2	item_exp_03_name	set:g2038_pokemon_item.json image:g2038_item_exp_003	3	myplugin/item_exp_03	1	item_exp_03_desc	3	100						
21003	2	1	3	item_exp_02_name	set:g2038_pokemon_item.json image:g2038_item_exp_002	2	myplugin/item_exp_02	1	item_exp_02_desc	3	50						
21004	2	1	4	item_exp_01_name	set:g2038_pokemon_item.json image:g2038_item_exp_001	1	myplugin/item_exp_01	1	item_exp_01_desc	3	10						
21005	2	1	5	item_spray_03_name	set:g2038_pokemon_item.json image:g2038_item_repel_003	4	myplugin/item_spray_03	1	item_spray_03_desc	3	3000						
21006	2	1	6	item_spray_02_name	set:g2038_pokemon_item.json image:g2038_item_repel_002	3	myplugin/item_spray_02	1	item_spray_02_desc	3	2000						
21007	2	1	7	item_spray_01_name	set:g2038_pokemon_item.json image:g2038_item_repel_001	2	myplugin/item_spray_01	1	item_spray_01_desc	3	1000						
21008	2	1	8	item_ticket_02_name	set:g2038_pokemon_ticket.json image:item_ticket_02	5	myplugin/item_ticket_02	1	item_ticket_02_desc	0	150						
21009	2	1	9	item_ticket_03_name	set:g2038_pokemon_ticket.json image:item_ticket_03	4	myplugin/item_ticket_03	1	item_ticket_03_desc	3	3000						
31001	3	1	1	pokeball_04_name	set:g2038_pokemon_ball.json image:ball_04	5	myplugin/pokeball_04	1	pokeball_04_desc	0	500						
31002	3	1	2	pokeball_03_name	set:g2038_pokemon_ball.json image:ball_03	4	myplugin/pokeball_03	1	pokeball_03_desc	3	10000						
31003	3	1	3	pokeball_02_name	set:g2038_pokemon_ball.json image:ball_02	3	myplugin/pokeball_02	1	pokeball_02_desc	3	5000						
31004	3	1	4	pokeball_01_name	set:g2038_pokemon_ball.json image:ball_01	2	myplugin/pokeball_01	1	pokeball_01_desc	3	500						
31005	3	1	5	pokeball_water_name	set:g2038_pokemon_ball.json image:ball_water	4	myplugin/pokeball_05	1	pokeball_water_desc	3	10000						
31006	3	1	6	pokeball_fire_name	set:g2038_pokemon_ball.json image:ball_fire	4	myplugin/pokeball_06	1	pokeball_fire_desc	3	10000						
31007	3	1	7	pokeball_grass_name	set:g2038_pokemon_ball.json image:ball_grass	4	myplugin/pokeball_07	1	pokeball_grass_desc	3	10000						
31008	3	1	8	pokeball_psy_name	set:g2038_pokemon_ball.json image:ball_psy	5	myplugin/pokeball_08	1	pokeball_psy_desc	0	500						
41001	4	1	1	potion_hp_005_name	set:g2038_pokemon_potion.json image:g2038_potion_hp_005	5	myplugin/potion_hp_005	1	potion_hp_005_desc	3	10000						
41002	4	1	2	potion_hp_004_name	set:g2038_pokemon_potion.json image:g2038_potion_hp_004	4	myplugin/potion_hp_004	1	potion_hp_004_desc	3	5000						
41003	4	1	3	potion_hp_003_name	set:g2038_pokemon_potion.json image:g2038_potion_hp_003	3	myplugin/potion_hp_003	1	potion_hp_003_desc	3	1000						
41004	4	1	4	potion_hp_002_name	set:g2038_pokemon_potion.json image:g2038_potion_hp_002	2	myplugin/potion_hp_002	1	potion_hp_002_desc	3	500						
41005	4	1	5	potion_hp_001_name	set:g2038_pokemon_potion.json image:g2038_potion_hp_001	1	myplugin/potion_hp_001	1	potion_hp_001_desc	3	100						
41006	4	1	6	item_revive_03_name	set:g2038_pokemon_item.json image:g2038_item_revive_003	4	myplugin/item_revive_03	1	item_revive_03_desc	3	10000						
