n_level	n_exp	s_unlock
1	5	
2	5	
3	10	1#2#3#4
4	15	
5	25	
6	30	6#7
7	35	
8	40	
9	45	
10	50	8#9#12#18#27
11	55	
12	60	10
13	65	19#23#20#26#5#28
14	70	24
15	75	15#16
16	90	
17	105	22
18	120	
19	135	
20	150	14#21
21	165	
22	180	
23	195	
24	210	
25	225	
26	240	
27	255	
28	270	
29	285	
30	300	17
31	325	
32	350	
33	375	
34	400	
35	425	
36	450	
37	475	
38	500	
39	525	
40	550	25
41	575	
42	600	
43	625	
44	650	
45	675	
46	700	
47	725	
48	750	
49	775	
50	800	
51	825	
52	850	
53	875	
54	900	
55	925	
56	950	
57	975	
58	1000	
59	1025	
60	1050	
61	1075	
62	1100	
63	1125	
64	1150	
65	1175	
66	1200	
67	1225	
68	1250	
69	1275	
70	1300	
71	1325	
72	1350	
73	1375	
74	1400	
75	1425	
76	1450	
77	1475	
78	1500	
79	1525	
80	9999999	
