字段名称	id		name	bookId	fullName	mutateFullName	icon	uiScale	uiOffsetZ	uiOffsetY	levelRange	expMultiple	sexWeight	race	evolutionRule	maxWake	catchProbability	runawayProbability	intro	price	mutateHp	mutateSpeed	mutatepAtk	mutatepDef	mutatesAtk	mutatesDef	mutateCost	level_hpMultiple	level_speedMultiple	level_pAtkMultiple	level_pDefMultiple	level_sAtkMultiple	level_sDefMultiple	star_hpMultiple	star_speedMultiple	star_pAtkMultiple	star_pDefMultiple	star_sAtkMultiple	star_sDefMultiple	wake_hpMultiple	wake_speedMultiple	wake_pAtkMultiple	wake_pDefMultiple	wake_sAtkMultiple	wake_sDefMultiple	quality	starLevel
说明	宠物ID	备注	宠物的名称	图鉴id	路径	变异后路径	路径	UI上大小缩放	UI上深度偏移(负数拉近正数拉远)	UI上高度偏移	闭区间	可支持小数	性别：1-男性；2-女性	根据种族表填写，1-普通，2-水系，3-火系，4-草系，5-超能系，6 -特殊	进化路径（填0表示没有下一个进化）	觉醒次数	计算捕捉成功率时使用的值	被捕捉时触发逃跑的概率	介绍文字	出售价格	变异额外血量	变异额外速度	变异额外物攻	变异额外物防	变异额外法攻	变异额外法防	变异消耗道具	升级血量倍率，可支持小数	升级速度倍率，可支持小数	升级物攻倍率，可支持小数	升级物防倍率，可支持小数	升级法攻倍率，可支持小数	升级法防倍率，可支持小数	星级血量倍率，可支持小数	星级速度倍率，可支持小数	星级物攻倍率，可支持小数	星级物防倍率，可支持小数	星级法攻倍率，可支持小数	星级法防倍率，可支持小数	觉醒血量倍率，可支持小数	觉醒速度倍率，可支持小数	觉醒物攻倍率，可支持小数	觉醒物防倍率，可支持小数	觉醒法攻倍率，可支持小数	觉醒法防倍率，可支持小数	宠物品质：3-橙；2-紫；1-蓝	根据稀有度表填写
格式	数值			数值							[最小等级，最大等级]	数值	[{性别1，权重1},{性别2，权重2}]	数值	进化宠物id#觉醒次数	数值	数值			数值	数值	数值	数值	数值	数值	数值	道具id#数量	数值	数值	数值	数值	数值	数值	数值	数值	数值	数值	数值	数值	数值	数值	数值	数值	数值	数值	数值	数值
01_1	10200101	罗比兔	10200101_name	30	myplugin/pet_10200101	myplugin/pet_20200101	set:g2038_pokemon_icon.json image:pet_01_1	0.7	0	-0.02	1#17	1	1,50#2,50	2	10200102#2	4	0.5	0.1	intro_10200101	10	212.5	0	95	85	95	85	214#30	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
01_2	10200102	水月兔	10200102_name	31	myplugin/pet_10200102	myplugin/pet_20200102	set:g2038_pokemon_icon.json image:pet_01_2	0.62	0	0	18#31	1	1,50#2,50	2	10200103#4	4	0.5	0.1		10	212.5	0	95	85	95	85	214#30	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
01_3	10200103	月神兔	10200103_name	32	myplugin/pet_10200103	myplugin/pet_20200103	set:g2038_pokemon_icon.json image:pet_01_3	0.57	0	0	32#60	1	1,50#2,50	2	0	4	0.5	0.1		10	212.5	0	95	85	95	85	214#30	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
02_1	10300101	小火羊	10300101_name	33	myplugin/pet_10300101	myplugin/pet_20300101	set:g2038_pokemon_icon.json image:pet_02_1	0.75	0	0	1#17	1	1,50#2,50	3	10300102#2	4	0.5	0.1	intro_10300101	10	212.5	0	95	85	95	85	214#30	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
02_2	10300102	烈烈羊	10300102_name	34	myplugin/pet_10300102	myplugin/pet_20300102	set:g2038_pokemon_icon.json image:pet_02_2	0.63	0	0	18#31	1	1,50#2,50	3	10300103#4	4	0.5	0.1		10	212.5	0	95	85	95	85	214#30	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
02_3	10300103	费尔羊	10300103_name	35	myplugin/pet_10300103	myplugin/pet_20300103	set:g2038_pokemon_icon.json image:pet_02_3	0.67	0	0.05	32#60	1	1,50#2,50	3	0	4	0.5	0.1		10	212.5	0	95	85	95	85	214#30	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
03_1	10400101	小草狼	10400101_name	36	myplugin/pet_10400101	myplugin/pet_20400101	set:g2038_pokemon_icon.json image:pet_03_1	0.72	0	-0.06	1#17	1	1,50#2,50	4	10400102#2	4	0.5	0.1	intro_10400101	10	212.5	0	95	85	95	85	214#30	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
03_2	10400102	丛林狼	10400102_name	37	myplugin/pet_10400102	myplugin/pet_20400102	set:g2038_pokemon_icon.json image:pet_03_2	0.66	0	-0.05	18#31	1	1,50#2,50	4	10400103#4	4	0.5	0.1		10	212.5	0	95	85	95	85	214#30	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
