字段名称	id	hp_bless_count	speed_bless_count	pAtk_bless_count	pDef_bless_count	sAtk_bless_count	sDef_bless_count
说明	宠物类型的唯一标识	等级，上限#等级，上限	等级，上限#等级，上限	等级，上限#等级，上限	等级，上限#等级，上限	等级，上限#等级，上限	等级，上限#等级，上限
格式	数值						
小水兔	10200101	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
中水兔	10200102	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
大水兔	10200103	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
小火牛	10300101	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
中火牛	10300102	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
大火牛	10300103	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
小草狼	10400101	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
中草狼	10400102	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
大草狼	10400103	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
小水鲨	10200201	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
中水鲨	10200202	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
大水鲨	10200203	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
小火熊	10300201	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
中火熊	10300202	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
