字段名称	level	exp	hp	speed	pAtk	pDef	sAtk	sDef
说明		每一级的经验，不是累加经验值,经验为0时视为最大等级	每一级的血量，不是累加血量	每一级的速度，不是累加速度	每一级的物攻，不是累加物攻	每一级的物防，不是累加物防	每一级的法攻，不是累加法攻	每一级的法防，不是累加法防
格式	数值	数值	数值	数值	数值	数值	数值	数值
	1	5	88	100	30.8	8.8	30.8	8.8
	2	5	8	0	2.8	0.8	2.8	0.8
	3	5	8	0	2.8	0.8	2.8	0.8
	4	5	8	0	2.8	0.8	2.8	0.8
	5	10	8	0	2.8	0.8	2.8	0.8
	6	10	8	0	2.8	0.8	2.8	0.8
	7	15	8	0	2.8	0.8	2.8	0.8
	8	20	8	0	2.8	0.8	2.8	0.8
	9	25	8	0	2.8	0.8	2.8	0.8
	10	30	8	0	2.8	0.8	2.8	0.8
	11	35	8	0	2.8	0.8	2.8	0.8
	12	40	8	0	2.8	0.8	2.8	0.8
	13	50	8	0	2.8	0.8	2.8	0.8
	14	60	8	0	2.8	0.8	2.8	0.8
	15	70	8	0	2.8	0.8	2.8	0.8
	16	80	8	0	2.8	0.8	2.8	0.8
	17	100	8	0	2.8	0.8	2.8	0.8
	18	120	8	0	2.8	0.8	2.8	0.8
	19	140	8	0	2.8	0.8	2.8	0.8
	20	180	8	0	2.8	0.8	2.8	0.8
	21	220	12	0	4.2	1.2	4.2	1.2
	22	260	12	0	4.2	1.2	4.2	1.2
	23	300	12	0	4.2	1.2	4.2	1.2
	24	340	12	0	4.2	1.2	4.2	1.2
	25	380	12	0	4.2	1.2	4.2	1.2
	26	420	12	0	4.2	1.2	4.2	1.2
	27	460	12	0	4.2	1.2	4.2	1.2
	28	500	12	0	4.2	1.2	4.2	1.2
	29	540	12	0	4.2	1.2	4.2	1.2
	30	580	12	0	4.2	1.2	4.2	1.2
	31	660	20	0	7	2	7	2
	32	740	20	0	7	2	7	2
	33	820	20	0	7	2	7	2
	34	900	20	0	7	2	7	2
	35	980	20	0	7	2	7	2
	36	1060	20	0	7	2	7	2
	37	1140	20	0	7	2	7	2
	38	1220	20	0	7	2	7	2
	39	1300	20	0	7	2	7	2
	40	1420	20	0	7	2	7	2
	41	1540	28	0	9.8	2.8	9.8	2.8
	42	1660	28	0	9.8	2.8	9.8	2.8
	43	1780	28	0	9.8	2.8	9.8	2.8
	44	1900	28	0	9.8	2.8	9.8	2.8
	45	2020	28	0	9.8	2.8	9.8	2.8
	46	2140	28	0	9.8	2.8	9.8	2.8
	47	2260	28	0	9.8	2.8	9.8	2.8
	48	2380	28	0	9.8	2.8	9.8	2.8
	49	2500	28	0	9.8	2.8	9.8	2.8
	50	2620	28	0	9.8	2.8	9.8	2.8
	51	2780	36	0	12.6	3.6	12.6	3.6
	52	2940	36	0	12.6	3.6	12.6	3.6
	53	3100	36	0	12.6	3.6	12.6	3.6
	54	3260	36	0	12.6	3.6	12.6	3.6
	55	3420	36	0	12.6	3.6	12.6	3.6
	56	3580	36	0	12.6	3.6	12.6	3.6
	57	3740	36	0	12.6	3.6	12.6	3.6
	58	3900	36	0	12.6	3.6	12.6	3.6
	59	4060	36	0	12.6	3.6	12.6	3.6
	60	4220	36	0	12.6	3.6	12.6	3.6
	61	4460	40	0	14	4	14	4
	62	4700	40	0	14	4	14	4
	63	4940	40	0	14	4	14	4
	64	5180	40	0	14	4	14	4
	65	5420	40	0	14	4	14	4
	66	5660	40	0	14	4	14	4
	67	5900	40	0	14	4	14	4
	68	6140	40	0	14	4	14	4
	69	6380	40	0	14	4	14	4
	70	6620	40	0	14	4	14	4
	71	7100	40	0	14	4	14	4
	72	7260	40	0	14	4	14	4
	73	7580	40	0	14	4	14	4
	74	7900	40	0	14	4	14	4
	75	8220	40	0	14	4	14	4
	76	8540	40	0	14	4	14	4
	77	8860	40	0	14	4	14	4
	78	9180	40	0	14	4	14	4
	79	9500	40	0	14	4	14	4
	80	9820	40	0	14	4	14	4
	81	999999	0	0	0	0	0	0
