n_id	n_pool_id	n_rare_id	n_pkm_id	n_weight_num	n_star		
数据id	卡池	稀有度	宝可梦id	权重	星级		
	1限时2精英3标准						
1	2	4	10501501	10	4		小艾达丝
2	2	4	10200901	10	4		库洛斯
3	2	3	10100801	10	4		暗牙
4	2	3	10100901	10	4		小阿狸
5	2	3	10200801	10	4		欧塞顿
6	2	3	10200701	10	4		海魅魔蛇
7	2	3	10200601	10	4		贝尔
8	2	3	10300801	10	4		赫斯托斯
9	2	3	10300701	10	4		埃文德
10	2	3	10300301	10	4		皮皮鸟
11	2	3	10400801	10	4		艾德米特
12	2	3	10400701	10	4		巫森精灵
13	2	3	10400601	10	4		艾芙
14	2	4	10500101	10	4		怠倦哥特
15	2	4	10500201	10	4		霍克
16	2	4	10500301	10	4		派勒瑟斯
17	2	2	10100101	10	3		霹雳熊
18	2	2	10100201	10	3		旋风隼
19	2	2	10200101	10	3		罗比兔
20	2	2	10200201	10	3		小咬鲨
21	2	2	10200501	10	3		凯希
22	2	2	10300101	10	3		小火羊
23	2	2	10300201	10	3		火苗熊
24	2	2	10300601	10	3		橘蝶蛹
25	2	2	10400101	10	3		小草狼
26	2	2	10400201	10	3		芽芽鹿
27	2	2	10400401	10	3		含羞花
28	2	1	10100301	10	2		格斗小子
29	2	1	10200301	10	2		拉肯
30	2	1	10200401	10	2		小居蟹
31	2	1	10300401	10	2		小娜拉
32	2	1	10300501	10	2		小紫驹
33	2	1	10400301	10	2		月芽鼠
34	2	1	10400501	10	2		小荷蛙
35	2	2	10201001	4	3		托特
36	2	2	10301001	4	3		贝拉
37	2	2	10401101	4	3		雷可犬
38	2	2	10100501	4	3		枫叶熊
39	2	3	10201201	4	4		布拉泽
40	2	3	10301201	4	4		奇达
41	2	3	10401001	4	4		芙蕾尔
42	2	3	10100601	4	4		糖果猫
43	2	4	10600101	5	4		暴噬蜂
44	2	4	10600301	5	4		雷卓
45	3	4	10200801	10	4		欧塞顿
46	3	4	10200701	10	4		海魅魔蛇
47	3	4	10200601	10	4		贝尔
48	3	4	10300801	10	4		赫斯托斯
49	3	4	10300701	10	4		埃文德
50	3	4	10300301	10	4		皮皮鸟
51	3	4	10400801	10	4		艾德米特
52	3	4	10400701	10	4		巫森精灵
53	3	4	10400601	10	4		艾芙
54	3	3	10100101	10	3		霹雳熊
55	3	3	10100201	10	3		旋风隼
56	3	3	10200101	10	3		罗比兔
57	3	3	10200201	10	3		小咬鲨
58	3	3	10200501	10	3		凯希
59	3	3	10300101	10	3		小火羊
60	3	3	10300201	10	3		火苗熊
61	3	3	10300601	10	3		橘蝶蛹
62	3	3	10400101	10	3		小草狼
63	3	3	10400201	10	3		芽芽鹿
64	3	3	10400401	10	3		含羞花
65	3	2	10100301	10	2		格斗小子
66	3	2	10200301	10	2		拉肯
67	3	2	10200401	10	2		小居蟹
68	3	2	10300401	10	2		小娜拉
69	3	2	10300501	10	2		小紫驹
70	3	2	10400301	10	2		月芽鼠
71	3	2	10400501	10	2		小荷蛙
72	3	1	10100301	10	1		格斗小子
73	3	1	10200301	10	1		拉肯
74	3	1	10200401	10	1		小居蟹
75	3	1	10300401	10	1		小娜拉
76	3	1	10300501	10	1		小紫驹
77	3	1	10400301	10	1		月芽鼠
78	3	1	10400501	10	1		小荷蛙
79	1	4	10301301	10	4		瓦尔基里
80	1	4	10500501	10	4		阿波菲斯
81	1	3	10500401	10	4		伯鲁斯
82	1	3	10301401	10	4		卡纳尔
81	1	2	10100101	10	3		霹雳熊
82	1	2	10100201	10	3		旋风隼
83	1	2	10200101	10	3		罗比兔
84	1	2	10200201	10	3		小咬鲨
85	1	2	10200501	10	3		凯希
86	1	2	10300101	10	3		小火羊
87	1	2	10300201	10	3		火苗熊
88	1	2	10300601	10	3		橘蝶蛹
89	1	2	10400101	10	3		小草狼
90	1	2	10400201	10	3		芽芽鹿
91	1	2	10400401	10	3		含羞花
92	1	2	10201001	10	3		托特
93	1	2	10301001	10	3		贝拉
94	1	2	10401101	10	3		雷可犬
95	1	2	10100501	10	3		枫叶熊
96	1	1	10100301	10	2		格斗小子
97	1	1	10200301	10	2		拉肯
98	1	1	10200401	10	2		小居蟹
99	1	1	10300401	10	2		小娜拉
100	1	1	10300501	10	2		小紫驹
101	1	1	10400301	10	2		月芽鼠
102	1	1	10400501	10	2		小荷蛙
103	1	1	10100301	10	1		格斗小子
104	1	1	10200301	10	1		拉肯
105	1	1	10200401	10	1		小居蟹
106	1	1	10300401	10	1		小娜拉
107	1	1	10300501	10	1		小紫驹
108	1	1	10400301	10	1		月芽鼠
109	1	1	10400501	10	1		小荷蛙
