n_id	n_rotary_type	s_fullName	s_goldIcon	n_pkm_id	n_award_num	n_award_pos	n_ratio_num	n_ratio_pos	n_first_weight	n_normal_weight	n_currencyType	n_price_num
奖励id	转盘类型	道具奖励（三种奖励只能填一个）	金币奖励	宝可梦奖励	奖励数量数量	物品奖励位置	倍率	倍率奖励位置	第一次转权重	普通权重	消耗货币类型0金魔方3金币	价格
	1金币2糖果	填物品路径	填金币图标	填宝可梦id							n_currencyType	n_price_num
10001	1		set:pokemonRechargeAward.json image:goldIcon		1000	1	2	1	0	50	0	30
10002	1		set:pokemonRechargeAward.json image:goldIcon		1000	1	3	2	0	50	0	30
10003	1		set:pokemonRechargeAward.json image:goldIcon		1000	1	5	3	0	50	0	30
10004	1		set:pokemonRechargeAward.json image:goldIcon		1000	1	8	4	0	50	0	30
10005	1		set:pokemonRechargeAward.json image:goldIcon		1000	1	10	5	0	500	0	30
10006	1		set:pokemonRechargeAward.json image:goldIcon		1000	1	12	6	0	500	0	30
10007	1		set:pokemonRechargeAward.json image:goldIcon		2000	2	2	1	0	50	0	30
10008	1		set:pokemonRechargeAward.json image:goldIcon		2000	2	3	2	0	50	0	30
10009	1		set:pokemonRechargeAward.json image:goldIcon		2000	2	5	3	0	500	0	30
10010	1		set:pokemonRechargeAward.json image:goldIcon		2000	2	8	4	0	500	0	30
10011	1		set:pokemonRechargeAward.json image:goldIcon		2000	2	10	5	800	500	0	30
10012	1		set:pokemonRechargeAward.json image:goldIcon		2000	2	12	6	800	500	0	30
10013	1		set:pokemonRechargeAward.json image:goldIcon		3000	3	2	1	0	50	0	30
10014	1		set:pokemonRechargeAward.json image:goldIcon		3000	3	3	2	0	50	0	30
10015	1		set:pokemonRechargeAward.json image:goldIcon		3000	3	5	3	0	500	0	30
10016	1		set:pokemonRechargeAward.json image:goldIcon		3000	3	8	4	800	500	0	30
10017	1		set:pokemonRechargeAward.json image:goldIcon		3000	3	10	5	800	500	0	30
10018	1		set:pokemonRechargeAward.json image:goldIcon		3000	3	12	6	800	500	0	30
10019	1		set:pokemonRechargeAward.json image:goldIcon		5000	4	2	1	0	500	0	30
10020	1		set:pokemonRechargeAward.json image:goldIcon		5000	4	3	2	0	500	0	30
10021	1		set:pokemonRechargeAward.json image:goldIcon		5000	4	5	3	800	500	0	30
10022	1		set:pokemonRechargeAward.json image:goldIcon		5000	4	8	4	800	150	0	30
10023	1		set:pokemonRechargeAward.json image:goldIcon		5000	4	10	5	150	150	0	30
10024	1		set:pokemonRechargeAward.json image:goldIcon		5000	4	12	6	150	150	0	30
10025	1		set:pokemonRechargeAward.json image:goldIcon		8000	5	2	1	0	500	0	30
10026	1		set:pokemonRechargeAward.json image:goldIcon		8000	5	3	2	800	500	0	30
10027	1		set:pokemonRechargeAward.json image:goldIcon		8000	5	5	3	800	150	0	30
10028	1		set:pokemonRechargeAward.json image:goldIcon		8000	5	8	4	150	150	0	30
10029	1		set:pokemonRechargeAward.json image:goldIcon		8000	5	10	5	150	40	0	30
10030	1		set:pokemonRechargeAward.json image:goldIcon		8000	5	12	6	100	40	0	30
10031	1		set:pokemonRechargeAward.json image:goldIcon		10000	6	2	1	800	500	0	30
10032	1		set:pokemonRechargeAward.json image:goldIcon		10000	6	3	2	800	500	0	30
10033	1		set:pokemonRechargeAward.json image:goldIcon		10000	6	5	3	150	150	0	30
10034	1		set:pokemonRechargeAward.json image:goldIcon		10000	6	8	4	150	40	0	30
10035	1		set:pokemonRechargeAward.json image:goldIcon		10000	6	10	5	100	40	0	30
10036	1		set:pokemonRechargeAward.json image:goldIcon		10000	6	12	6	100	40	0	30
20001	2	myplugin/item_bless_01			1	1	3	1	0	500	0	30
20002	2	myplugin/item_bless_01			1	1	6	2	0	500	0	30
20003	2	myplugin/item_bless_01			1	1	9	3	1000	500	0	30
20004	2	myplugin/item_bless_01			1	1	12	4	600	71	0	30
20005	2	myplugin/item_bless_01			1	1	15	5	60	71	0	30
20006	2	myplugin/item_bless_01			1	1	20	6	7	25	0	30
20007	2	myplugin/item_bless_04			1	2	3	1	0	500	0	30
20008	2	myplugin/item_bless_04			1	2	6	2	0	500	0	30
20009	2	myplugin/item_bless_04			1	2	9	3	1000	500	0	30
20010	2	myplugin/item_bless_04			1	2	12	4	600	71	0	30
20011	2	myplugin/item_bless_04			1	2	15	5	60	71	0	30
20012	2	myplugin/item_bless_04			1	2	20	6	7	25	0	30
20013	2	myplugin/item_bless_07			1	3	3	1	0	500	0	30
20014	2	myplugin/item_bless_07			1	3	6	2	0	500	0	30
20015	2	myplugin/item_bless_07			1	3	9	3	1000	500	0	30
20016	2	myplugin/item_bless_07			1	3	12	4	600	71	0	30
20017	2	myplugin/item_bless_07			1	3	15	5	60	71	0	30
20018	2	myplugin/item_bless_07			1	3	20	6	7	25	0	30
20019	2	myplugin/item_bless_10			1	4	3	1	0	500	0	30
20020	2	myplugin/item_bless_10			1	4	6	2	0	500	0	30
20021	2	myplugin/item_bless_10			1	4	9	3	1000	500	0	30
20022	2	myplugin/item_bless_10			1	4	12	4	600	71	0	30
20023	2	myplugin/item_bless_10			1	4	15	5	60	71	0	30
20024	2	myplugin/item_bless_10			1	4	20	6	7	25	0	30
20025	2	myplugin/item_bless_13			1	5	3	1	0	500	0	30
20026	2	myplugin/item_bless_13			1	5	6	2	0	500	0	30
20027	2	myplugin/item_bless_13			1	5	9	3	1000	500	0	30
20028	2	myplugin/item_bless_13			1	5	12	4	600	71	0	30
20029	2	myplugin/item_bless_13			1	5	15	5	60	71	0	30
20030	2	myplugin/item_bless_13			1	5	20	6	7	25	0	30
20031	2	myplugin/item_bless_16			1	6	3	1	0	500	0	30
20032	2	myplugin/item_bless_16			1	6	6	2	0	500	0	30
20033	2	myplugin/item_bless_16			1	6	9	3	1000	500	0	30
20034	2	myplugin/item_bless_16			1	6	12	4	600	71	0	30
20035	2	myplugin/item_bless_16			1	6	15	5	60	71	0	30
20036	2	myplugin/item_bless_16			1	6	20	6	7	25	0	30
