字段名称	id	studyActiveRule	activeRule	passiveRule	featuresRule
说明	宠物类型的唯一标识	特定等级触发可学习的技能列表	可通过使用对应技能道具学习的技能	觉醒次数填0代表初始获得的被动	在列表里根据权重随机一个
格式	数值	等级1,技能id1#等级2,技能id2	技能1，技能2，技能3	技能1,觉醒次数,#技能2,觉醒次数	特性1,权重1,#特性2,权重2
罗比兔	10200101	1,1101001#1,1102001#6,1102009#12,1102003#18,1101013#24,1102007#30,1101012#42,1102004#54,1102010	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102010	1202010,0#1202007,0#1202005,1#1202017,2#1202002,3#1202012,4	1301015#1302015
水月兔	10200102	1,1101001#1,1102001#6,1102009#12,1102003#18,1101013#24,1102007#30,1101012#42,1102004#54,1102010	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102010	1202010,0#1202007,0#1202005,1#1202017,2#1202002,3#1202012,4	1301015#1302015
月神兔	10200103	1,1101001#1,1102001#6,1102009#12,1102003#18,1101013#24,1102007#30,1101012#42,1102004#54,1102010	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102010	1202010,0#1202007,0#1202005,1#1202017,2#1202002,3#1202012,4	1301015#1302015
小火羊	10300101	1,1101001#1,1103001#6,1103003#12,1103007#18,1103009#24,1101012#30,1101013#42,1103004#54,1103008	1101001#1103001#1103003#1103007#1103009#1101012#1101013#1103004#1103008	1202019,0#1202011,0#1202020,1#1202003,2#1202021,3#1202013,4	1301018#1302018
烈烈羊	10300102	1,1101001#1,1103001#6,1103003#12,1103007#18,1103009#24,1101012#30,1101013#42,1103004#54,1103008	1101001#1103001#1103003#1103007#1103009#1101012#1101013#1103004#1103008	1202019,0#1202011,0#1202020,1#1202003,2#1202021,3#1202013,4	1301018#1302018
费尔羊	10300103	1,1101001#1,1103001#6,1103003#12,1103007#18,1103009#24,1101012#30,1101013#42,1103004#54,1103008	1101001#1103001#1103003#1103007#1103009#1101012#1101013#1103004#1103008	1202019,0#1202011,0#1202020,1#1202003,2#1202021,3#1202013,4	1301018#1302018
小草狼	10400101	1,1101001#1,1104001#6,1104003#12,1104005#18,1101007#24,1104006#30,1104004#42,1101015#54,1101016	1101001#1104001#1104003#1104005#1101007#1104006#1106004#1101015#1101016	1202025,0#1202009,0#1202002,1#1202005,2#1202026,3#1202014,4	1301021#1302021
丛林狼	10400102	1,1101001#1,1104001#6,1104003#12,1104005#18,1101007#24,1104006#30,1104004#42,1101015#54,1101016	1101001#1104001#1104003#1104005#1101007#1104006#1106004#1101015#1101016	1202025,0#1202009,0#1202002,1#1202005,2#1202026,3#1202014,4	1301021#1302021
森猎狼	10400103	1,1101001#1,1104001#6,1104003#12,1104005#18,1101007#24,1104006#30,1104004#42,1101015#54,1101016	1101001#1104001#1104003#1104005#1101007#1104006#1106004#1101015#1101016	1202025,0#1202009,0#1202002,1#1202005,2#1202026,3#1202014,4	1301021#1302021
小咬鲨	10200201	1,1102001#6,1102009#12,1102003#18,1101007#24,1102005#30,1102004#42,1101015#54,1102010	1102001#1102009#1102003#1101007#1102005#1102004#1101015#1102010	1202010,0#1202006,0#1202004,1#1202018,2#1202001,3#1202013,4	1301016#1302016
尼尔鲨	10200202	1,1102001#6,1102009#12,1102003#18,1101007#24,1102005#30,1102004#42,1101015#54,1102010	1102001#1102009#1102003#1101007#1102005#1102004#1101015#1102010	1202010,0#1202006,0#1202004,1#1202018,2#1202001,3#1202013,4	1301016#1302016
暴噬鲨	10200203	1,1102001#6,1102009#12,1102003#18,1101007#24,1102005#30,1102004#42,1101015#54,1102010	1102001#1102009#1102003#1101007#1102005#1102004#1101015#1102010	1202010,0#1202006,0#1202004,1#1202018,2#1202001,3#1202013,4	1301016#1302016
火苗熊	10300201	1,1103001#6,1103003#12,1103007#18,1103011#24,1101011#30,1101013#42,1103004#54,1103008	1103001#1103003#1103007#1103011#1101011#1101013#1103004#1103008	1202022,0#1202011,0#1202001,1#1202023,2#1202001,3#1202012,4	1301019#1302019
烈火熊	10300202	1,1103001#6,1103003#12,1103007#18,1103011#24,1101011#30,1101013#42,1103004#54,1103008	1103001#1103003#1103007#1103011#1101011#1101013#1103004#1103008	1202022,0#1202011,0#1202001,1#1202023,2#1202001,3#1202012,4	1301019#1302019
酋长熊	10300203	1,1103001#6,1103003#12,1103007#18,1103011#24,1101011#30,1101013#42,1103004#54,1103008	1103001#1103003#1103007#1103011#1101011#1101013#1103004#1103008	1202022,0#1202011,0#1202001,1#1202023,2#1202001,3#1202012,4	1301019#1302019
芽芽鹿	10400201	1,1104001#6,1104003#12,1104009#18,1104007#24,1101007#30,1101011#42,1104004#54,1104010	1104001#1104003#1104009#1104007#1101007#1101011#1104004#1104010	1202001,0#1202009,0#1202005,1#1202006,2#1202007,3#1202013,4	1301022#1302022
