	n_id	n_target	n_race	n_isLongRoundEffect	n_round	n_abnormal_type	n_isVulnerability	s_immune	n_effectSkillType	n_effectSkill	n_timing	n_timingDelay	n_trigger	n_pr	n_dcm	n_intger	s_effect_desc	s_effect_trigger_desc	s_effect_tip_dec	s_icon	s_effect_fullname	s_add_effect	s_add_sound	s_trigger_effect	s_trigger_sound	iconEffectName	n_effect_type
	效果id	作用目标	目标数量	能否携带到下场战斗，1-是，0-否	持续回合数	异常类型：0-非异常效果，1-中毒，2-灼烧，3-潮湿，4-麻痹，5-睡眠，6-混乱	是否是易伤效果	免疫的效果列表，以逗号隔开	被动触发的技能类型：0-没有，1-混乱，2-反击，3-反弹，4-连击	效果触发的技能ID（ps：混乱、反击、连击主动需要配置）	添加类型：1-技能释放时，2-出场时，3-受击时，4-技能释放完成时，5-被对方技能命中时，6-复活时，7-受到任何伤害时	延迟添加处理，单位帧	触发时机：1-添加时触发，2-技能释放前触发，3-回合结算前触发，4-技能打中后触发，5-技能释放完成，6-死亡时	添加概率	小数值	整数值	施加时弹窗描述表现	触发时弹窗描述表现	tip描述	效果图标	效果buff的fullName	效果添加时的特效		效果触发时特效		buff图标特效	(无用)效果类型id
	数值	1-己方；2-敌方	1-单体；2；群体		数值		1-是，0-否		1		数值	数值	数值	数值	数值	数值	s_effect_desc_数值	s_effect_trigger_desc_数值	lang=@dcm@属性,@intger@属性,持续@round@回合	效果图标图名字							
对单体目标造成伤害，有30%的概率造成混乱，持续1-3回合	11010031	2	1	1	1#3	6	0		1	9101002	3		2	0.3	0.5		s_effect_desc_11010031	s_effect_trigger_desc_11010031	s_effect_tip_dec_chaos	set:skillbuff.json image:icon_debuff_chaos	myplugin/skill_effect_chaos_buff	g2038_status_chaos.effect	/sound/g2038_status_chaos.mp3	g2038_status_chaos.effect	/sound/g2038_status_chaos.mp3		
对单体目标造成伤害，有60%的概率造成混乱，持续2-5回合	11010041	2	1	1	2#5	6	0		1	9101002	3		2	0.6	0.5		s_effect_desc_11010041	s_effect_trigger_desc_11010041	s_effect_tip_dec_chaos	set:skillbuff.json image:icon_debuff_chaos	myplugin/skill_effect_chaos_buff	g2038_status_chaos.effect	/sound/g2038_status_chaos.mp3	g2038_status_chaos.effect	/sound/g2038_status_chaos.mp3		
对单体目标造成伤害，有30%的概率造成麻痹，持续1-3回合	11010051	2	1	1	1#3	4	0		0		3		2	0.3	0.5	-20	s_effect_desc_11010051	s_effect_trigger_desc_11010051	s_effect_tip_dec_palsy	set:skillbuff.json image:icon_debuff_palsy	myplugin/skill_effect_palsy_buff	g2038_status_paralysis.effect	/sound/g2038_status_paralysis.mp3	g2038_status_paralysis.effect	/sound/g2038_status_paralysis.mp3		
对单体目标造成伤害，有60%的概率造成麻痹，持续2-5回合	11010061	2	1	1	2#5	4	0		0		3		2	0.6	0.5	-20	s_effect_desc_11010061	s_effect_trigger_desc_11010061	s_effect_tip_dec_palsy	set:skillbuff.json image:icon_debuff_palsy	myplugin/skill_effect_palsy_buff	g2038_status_paralysis.effect	/sound/g2038_status_paralysis.mp3	g2038_status_paralysis.effect	/sound/g2038_status_paralysis.mp3		
先发技能，提高自身30%的物防和法防，持续3回合	11010071	1	1	0	3#3	0	0		0		4		1	1	0.3		s_effect_desc_11010071		s_effect_tip_dec_pDefUp	set:skillbuff.json image:icon_buff_physical_def	myplugin/skill_physical_def_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
	11010072	1	1	0	3#3	0	0		0		4		1	1	0.3				s_effect_tip_dec_sDefUp	set:skillbuff.json image:icon_buff_spell_def	myplugin/skill_spell_def_buff						
先发技能，对单体目标造成伤害，并提高自身30%的物防和法防，持续5回合	11010081	1	1	0	5#5	0	0		0		4		1	1	0.3		s_effect_desc_11010081		s_effect_tip_dec_pDefUp	set:skillbuff.json image:icon_buff_physical_def	myplugin/skill_physical_def_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
	11010082	1	1	0	5#5	0	0		0		4		1	1	0.3				s_effect_tip_dec_sDefUp	set:skillbuff.json image:icon_buff_spell_def	myplugin/skill_spell_def_buff						
