1	n_id	s_startEffect	s_startSound	s_startEffectOwner	s_skillEffect	s_skillSound	s_skillEffectOwner	s_hitEffect	s_hitSound	s_hitEffectOwner
近战攻击法术	100001			myplugin/skill_melee_timeline			myplugin/skill_melee_attack	g2038_skill_hit.effect		myplugin/buff_melee_hit
多体隔空法术	100002			myplugin/skill_spell_timeline			myplugin/buff_spell_attack	g2038_skill_hit.effect		myplugin/buff_spell_hit
AOE法术	100003			myplugin/skill_aoe_timeline			myplugin/skill_aoe_attack	g2038_skill_hit.effect		myplugin/buff_aoe_hit
单体隔空法术	100004			myplugin/skill_singleSpell_timeline			myplugin/buff_singleSpell_attack	g2038_skill_hit.effect		myplugin/buff_singleSpell_hit
子弹法术	100005			myplugin/skill_bullet_timeline			myplugin/skill_bullet_missile	g2038_skill_hit.effect		myplugin/buff_bullet_hit
撞击	1101001	g2038_skill_none.effect	/sound/skill_1101001.mp3	myplugin/skill_melee_timeline	g2038_skill_none.effect		myplugin/skill_melee_attack	g2038_skill_a_101.effect		myplugin/buff_melee_hit
抓击	1101002	g2038_skill_none.effect	/sound/skill_1101002.mp3	myplugin/skill_melee_timeline	g2038_skill_none.effect		myplugin/skill_melee_attack	g2038_skill_a_102.effect		myplugin/buff_melee_hit
碎岩拳	1101003	g2038_skill_none.effect	/sound/skill_1101003.mp3	myplugin/skill_melee_timeline	g2038_skill_a_105.effect		myplugin/skill_melee_attack	g2038_skill_hit.effect		myplugin/buff_melee_hit
尖石攻击	1101004	g2038_skill_none.effect	/sound/skill_1101004.mp3	myplugin/skill_bullet_timeline	g2038_skill_a_201.effect		myplugin/skill_bullet_missile	g2038_skill_hit.effect		myplugin/buff_bullet_hit
麻痹连击	1101005	g2038_skill_none.effect	/sound/skill_1101005.mp3	myplugin/skill_melee_timeline	g2038_skill_none.effect		myplugin/skill_melee_attack	g2038_skill_a_103.effect		myplugin/buff_melee_hit
麻痹花粉	1101006	g2038_skill_d_305_1.effect	/sound/skill_1101006.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_d_305_2.effect		myplugin/buff_singleSpell_attack	g2038_skill_hit_grass.effect		myplugin/buff_singleSpell_hit
钢铁皮肤	1101007	g2038_skill_a_305_1.effect	/sound/skill_1101007.mp3	myplugin/skill_status_timeline						
猛咬	1101008	g2038_skill_none.effect	/sound/skill_1101008.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_a_302.effect		myplugin/buff_singleSpell_attack	g2038_skill_hit.effect		myplugin/buff_singleSpell_hit
血怒一击	1101009	g2038_skill_none.effect	/sound/skill_1101009.mp3	myplugin/skill_melee_timeline	g2038_skill_none.effect		myplugin/skill_melee_attack	g2038_skill_a_102.effect		myplugin/buff_melee_hit
奋力突击	1101010	g2038_skill_none.effect	/sound/skill_1101010.mp3	myplugin/skill_melee_timeline	g2038_skill_none.effect		myplugin/skill_melee_attack	g2038_skill_a_102.effect		myplugin/buff_melee_hit
高速气流	1101011	g2038_skill_a_306_1.effect	/sound/skill_1101011.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_none.effect		myplugin/buff_singleSpell_attack	g2038_skill_a_306_3.effect		myplugin/buff_singleSpell_hit
低语吟唱	1101012	g2038_skill_a_307_1.effect	/sound/skill_1101012.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_none.effect		myplugin/buff_singleSpell_attack	g2038_skill_a_307_2.effect		myplugin/buff_singleSpell_hit
超声波	1101013	g2038_skill_a_303.effect	/sound/skill_1101013.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_none.effect		myplugin/buff_singleSpell_attack	g2038_skill_hit.effect		myplugin/buff_singleSpell_hit
多重猛击	1101014	g2038_skill_a_104_1.effect	/sound/skill_1101014.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_none.effect		myplugin/buff_singleSpell_attack	g2038_skill_a_104.effect		myplugin/buff_singleSpell_hit
岩崩	1101015	g2038_skill_none.effect	/sound/skill_1101015.mp3	myplugin/skill_aoe_timeline	g2038_skill_a_401.effect		myplugin/skill_aoe_attack	g2038_skill_hit.effect		myplugin/buff_aoe_hit
魔术旋风	1101016	g2038_skill_none.effect	/sound/skill_1101016.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_a_304_1.effect		myplugin/buff_singleSpell_attack	g2038_skill_none.effect		myplugin/buff_singleSpell_hit
黑雾弹	1101017	g2038_skill_a_301_1.effect	/sound/skill_1101017.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_a_301_2.effect		myplugin/buff_singleSpell_attack	g2038_skill_hit.effect		myplugin/buff_singleSpell_hit
普通群攻	1101018	g2038_skill_none.effect	/sound/skill_1101018.mp3	myplugin/skill_spellAoe_timeline	g2038_skill_a_404.effect		myplugin/skill_aoe_attack	g2038_skill_hit.effect		myplugin/buff_aoe_hit
高级普通群攻	1101019	g2038_skill_a_405_3.effect	/sound/skill_1101019.mp3	myplugin/skill_spell_timeline	g2038_skill_a_405_2.effect		myplugin/buff_spell_attack	g2038_skill_hit.effect		myplugin/buff_spell_hit
水枪弹	1102001	g2038_skill_b_201_1.effect	/sound/skill_1102001.mp3	myplugin/skill_bullet_timeline	g2038_skill_b_201_2.effect		myplugin/skill_bullet_missile	g2038_skill_hit_water.effect		myplugin/buff_bullet_hit
水炮	1102002	g2038_skill_none.effect	/sound/skill_1102002.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_b_303.effect		myplugin/buff_singleSpell_attack	g2038_skill_hit_water.effect		myplugin/buff_singleSpell_hit
泡泡攻击	1102003	g2038_skill_b_203.effect	/sound/skill_1102003.mp3	myplugin/skill_bullet_timeline	g2038_skill_b_203_2.effect		myplugin/skill_bullet_missile	g2038_skill_hit_water.effect		myplugin/buff_bullet_hit
水柱涡动	1102004	g2038_skill_b_202_1.effect	/sound/skill_1102004.mp3	myplugin/skill_bullet_timeline	g2038_skill_b_202_2.effect		myplugin/skill_bullet_missile	g2038_skill_hit_water.effect		myplugin/buff_bullet_hit
水流旋涡	1102005	g2038_skill_none.effect	/sound/skill_1102005.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_b_302.effect		myplugin/buff_singleSpell_attack	g2038_skill_hit_water.effect		myplugin/buff_singleSpell_hit
冰雾	1102006	g2038_skill_b_301_1.effect	/sound/skill_1102006.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_b_301_2.effect		myplugin/buff_singleSpell_attack	g2038_skill_hit_water.effect		myplugin/buff_singleSpell_hit
雪崩	1102007	g2038_skill_none.effect	/sound/skill_1102008.mp3	myplugin/skill_aoe_timeline	g2038_skill_b_401.effect		myplugin/skill_aoe_attack	g2038_skill_hit_water.effect		myplugin/buff_aoe_hit
大雪崩	1102008	g2038_skill_none.effect	/sound/skill_1102008.mp3	myplugin/skill_aoe_timeline	g2038_skill_b_401_2.effect		myplugin/skill_aoe_attack	g2038_skill_hit_water.effect		myplugin/buff_aoe_hit
水面斩击	1102009	g2038_skill_none.effect	/sound/skill_1102009.mp3	myplugin/skill_melee_timeline	g2038_skill_none.effect		myplugin/skill_melee_attack	g2038_skill_b_101.effect		myplugin/buff_melee_hit
冰霜利刃	1102010	g2038_skill_b_306_1.effect	/sound/skill_1102010.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_none.effect		myplugin/buff_singleSpell_attack	g2038_skill_b_306_2.effect		myplugin/buff_singleSpell_hit
水苦无	1102011	g2038_skill_b_204_1.effect	/sound/skill_1102011.mp3	myplugin/skill_bullet_timeline	g2038_skill_b_204_2.effect		myplugin/skill_bullet_missile	g2038_skill_hit_water.effect		myplugin/buff_bullet_hit
冰岩坠击	1102012	g2038_skill_none.effect	/sound/skill_1102012.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_b_304.effect		myplugin/buff_singleSpell_attack	g2038_skill_hit_water.effect		myplugin/buff_singleSpell_hit
寒潮	1102013	g2038_skill_b_402.effect	/sound/skill_1102013.mp3	myplugin/skill_aoe_timeline	g2038_skill_none.effect		myplugin/skill_aoe_attack	g2038_skill_hit_water.effect		myplugin/buff_aoe_hit
冰雪世界	1102014	g2038_skill_b_403_1.effect	/sound/skill_1102014.mp3	myplugin/skill_aoe_timeline	g2038_skill_b_403_2.effect		myplugin/skill_aoe_attack	g2038_skill_none.effect		myplugin/buff_aoe_hit
水系群攻	1102015	g2038_skill_b_301_1.effect	/sound/skill_1102006.mp3	myplugin/skill_spell_timeline	g2038_skill_b_301_2.effect		myplugin/buff_spell_attack	g2038_skill_hit_water.effect		myplugin/buff_aoe_hit
高级水系群攻	1102016	g2038_skill_b_403_1.effect	/sound/skill_1102016.mp3	myplugin/skill_spellAoe_timeline	g2038_skill_e_401_5.effect		myplugin/skill_aoe_attack	g2038_skill_hit_water.effect		myplugin/buff_aoe_hit
群潮湿	1102017	g2038_skill_b_203.effect	/sound/skill_1102017.mp3	myplugin/skill_spell_timeline	g2038_skill_b_303.effect		myplugin/buff_spell_attack	g2038_skill_hit_water.effect		myplugin/buff_spell_hit
高级群潮湿	1102018	g2038_skill_a_306_7.effect	/sound/skill_1102018.mp3	myplugin/skill_spell_timeline	g2038_skill_b_203_5.effect		myplugin/buff_spell_attack	g2038_skill_hit_water.effect		myplugin/buff_spell_hit
小火球	1103001	g2038_skill_c_201_1.effect	/sound/skill_1103001.mp3	myplugin/skill_bullet_timeline	g2038_skill_c_201_2.effect		myplugin/skill_bullet_missile	g2038_skill_hit_fire.effect		myplugin/buff_bullet_hit
