id	remark	key	sound	loop	volume
id	备注	对应Key值	音频文件 (放在myplugin/sound/文件夹啊内)	是否循环播放（0为否，1为是）	音量大小（1,2,3,4,5音量递增）
1	治疗恢复时的音效	cure_sound	/sound/cure.mp3	0	1
2	战斗中己方宝可梦血量低	hp_low	/sound/hp_low.mp3	0	1
3	宝可梦升级	pkm_level_up	/sound/pkm_level_up.mp3	0	1
4	非战斗中使用恢复类道具	use_cure_item	/sound/use_cure_item.mp3	0	1
5	头顶提示通用音效	tips	/sound/tips.mp3	0	1
6	捕获宠物音效	pkm_catch	/sound/pkm_catch.mp3	0	1
7	宠物进化	evolution	/sound/evolution.mp3	0	1
8	任务完成	mission_complete	/sound/mission_complete.mp3	0	1
9	经验上升动画音效	upgrade_bar	/sound/ui_jingyanshangsheng.mp3	0	1
10	点击UI通用	ui_click	/sound/ui_click.mp3	0	1
11	商店购买成功音效	buy_success	/sound/ui_shangcheng.mp3	0	1
12	出售宠物音效	sell_success	/sound/ui_jingbi.mp3	0	1
13	每日任务完成音效	task_complete	/sound/ui_click.mp3	0	1
14	打开商城的音效	open_shop	/sound/ui_dakaishangcheng.mp3	0	1
15	标签页音效	tab_click	/sound/ui_biaoqian.mp3	0	1
16	宠物界面通用按钮音效	pet_click	/sound/ui_click.mp3	0	1
17	相机快门	photo_click	/sound/ui_xiangji.mp3	0	1
18	魔方兑换金币成功音效	exchange_gold	/sound/ui_jingbi.mp3	0	1
19	技能学习成功音效	learn_skill	/sound/ui_jineng.mp3	0	1
20	小地图内场景点击音效更换	change_scene	/sound/ui_changjingdianjii.mp3	0	1
21	升星成功音效	starUp_success	/sound/ui_shengxing.mp3	0	1
22	觉醒成功音效	wake_success	/sound/ui_shengxing.mp3	0	1
23	抽蛋蛋破音响	lucky_taking	/sound/lucky_egg_taking.mp3	0	1
24	抽蛋成功展示模型音响	lucky_show_one	/sound/lucky_egg_showing.mp3	0	1
25	抽蛋成功展示十连抽音响	lucky_show_ten	/sound/lucky_egg_showing.mp3	0	1
26	幸运转盘奖励展示	lottery_show	/sound/lucky_egg_showing.mp3	0	1
27	主界面背包打开时触发	ui_dakaibeibao	/sound/ui_dakaibeibao.mp3	0	1
28	主界面队伍打开时触发	ui_dakaiduiwu	/sound/ui_dakaiduiwu.mp3	0	1
29	主界面宠物打开时触发	ui_dakaichongwu	/sound/ui_dakaichongwu.mp3	0	1
30	主界面图鉴打开时触发	ui_dakaitujian	/sound/ui_dakaitujian.mp3	0	1
31	糖果转盘点击开始转动按钮	ui_rotary_table_btn	/sound/ui_dakaitujian.mp3	0	1
32	糖果转盘加速到减速停止	ui_rotary_table_speed	/sound/ui_dakaitujian.mp3	0	1
33	糖果转盘获得奖励	ui_rotary_table_award	/sound/ui_dakaitujian.mp3	0	1
