n_id	n_type	s_title	n_quality	n_original	n_discount	s_items	s_itemsType	s_itemsCount	s_petStarLevel	s_highlight	n_duration	s_trigger	s_sameTypeGift	n_battleShow	s_sp_icon	n_auto_weight
礼包id	礼包类型 等级1 限时2	标题	品质	原价	折扣 0-1	礼包内容 petid#itemid#goldid	物品类型  1#2#3 1pet 2gold 3item	对应 items 1#1#1	对应 items 3#0#0	高亮	持续时间单位 h	起因  8时间单位m	互斥礼包id  2222#12121	战斗时显示	三选一特殊图标	自动弹出窗口的权重
n_id	n_type	s_title	n_quality	n_original	n_discount	s_items	s_itemsType	s_itemsCount	s_petStarLevel	s_highlight	n_duration	s_trigger	s_sameTypeGift	n_battleShow	s_sp_icon	n_auto_weight
30011	1	level_gift_pack_01	1	210	0.285714	10200101,10300101,10400101#34#2#3	1#3#3#2	1#10#1#1000		1	48				set:g2038_pokemon_pack.json image:img_0_3choose1gift	10
30012	1	level_gift_pack_02	1	210	0.285714	10200101,10300101,10400101#34#2#3	1#3#3#2	1#10#1#1000		1	48				set:g2038_pokemon_pack.json image:img_0_3choose1gift	10
30013	1	level_gift_pack_03	1	196	0.306122	73#14#34#3	3#3#3#2	3#1#10#1000		1	48					10
30014	1	level_gift_pack_04	1	196	0.306122	76#14#34#3	3#3#3#2	3#1#10#1000		1	48					10
30015	1	level_gift_pack_05	2	355	0.338028	79#14#34#3	3#3#3#2	3#1#20#3000		1	48					10
30016	1	level_gift_pack_06	1	196	0.306122	82#14#34#3	3#3#3#2	3#1#10#1000		1	48					10
30017	1	level_gift_pack_07	2	355	0.338028	85#14#34#3	3#3#3#2	3#1#20#3000		1	48					10
30018	1	level_gift_pack_08	1	196	0.306122	88#14#34#3	3#3#3#2	3#1#10#1000		1	48					10
30019	1	level_gift_pack_09	2	492	0.243902	73#212#17#3	3#3#3#2	6#2#2#2000		1	48					10
30020	1	level_gift_pack_10	2	492	0.243902	76#212#17#3	3#3#3#2	6#2#2#2000		1	48					10
30021	1	level_gift_pack_11	3	850	0.294117	79#212#17#3	3#3#3#2	6#3#4#5000		1	48					10
30022	1	level_gift_pack_12	2	492	0.243902	82#212#17#3	3#3#3#2	6#2#2#2000		1	48					10
30023	1	level_gift_pack_13	3	850	0.294117	85#212#17#3	3#3#3#2	6#3#4#5000		1	48					10
30024	1	level_gift_pack_14	2	492	0.243902	88#212#17#3	3#3#3#2	6#2#2#2000		1	48					10
30025	2	level_gift_pack_15	1	530	0.22641	10200101,10300101,10400101#34#2#3	1#3#3#2	1#25#3#3000		1	48				set:g2038_pokemon_pack.json image:img_0_3choose1gift	10
30026	2	level_gift_pack_16	1	530	0.22641	10200101,10300101,10400101#34#2#3	1#3#3#2	1#25#3#3000		1	48				set:g2038_pokemon_pack.json image:img_0_3choose1gift	10
30027	2	level_gift_pack_17	1	502	0.23904	73#14#34#3	3#3#3#2	6#3#25#3000		1	48					10
30028	2	level_gift_pack_18	1	502	0.23904	76#14#34#3	3#3#3#2	6#3#25#3000		1	48					10
30029	2	level_gift_pack_19	2	860	0.2790697	79#14#34#3	3#3#3#2	6#3#50#6000		1	48					10
30030	2	level_gift_pack_20	1	502	0.23904	82#14#34#3	3#3#3#2	6#3#25#3000		1	48					10
30031	2	level_gift_pack_21	2	860	0.279069767	85#14#34#3	3#3#3#2	6#3#50#6000		1	48					10
30032	2	level_gift_pack_22	1	502	0.23904	88#14#34#3	3#3#3#2	6#3#25#3000		1	48					10
30033	2	level_gift_pack_23	2	1044	0.22988	73#212#17#3	3#3#3#2	12#4#5#5000		1	48					10
30034	2	level_gift_pack_24	2	1044	0.22988	76#212#17#3	3#3#3#2	12#4#5#5000		1	48					10
30035	2	level_gift_pack_25	3	1800	0.27777	79#212#17#3	3#3#3#2	12#6#10#10000		1	48					10
30036	2	level_gift_pack_26	2	1044	0.22988	82#212#17#3	3#3#3#2	12#4#5#5000		1	48					10
30037	2	level_gift_pack_27	3	1800	0.27777	85#212#17#3	3#3#3#2	12#6#10#10000		1	48					10
30038	2	level_gift_pack_28	2	1044	0.22988	88#212#17#3	3#3#3#2	12#4#5#5000		1	48					10
30039	1	level_gift_pack_29	3	2350	0.319	212#35#3#3	3#3#3#2	10#3#5#20000		1	48					10
30040	1	level_gift_pack_30	3	2350	0.319	212#35#3#3	3#3#3#2	10#3#5#20000		1	48					10
30041	1	level_gift_pack_31	3	2350	0.319	212#35#3#3	3#3#3#2	10#3#5#20000		1	48					10
30042	1	level_gift_pack_32	3	2350	0.319	212#35#3#3	3#3#3#2	10#3#5#20000		1	48					10
30043	1	level_gift_pack_33	3	2350	0.319	212#35#3#3	3#3#3#2	10#3#5#20000		1	48					10
30044	2	level_gift_pack_34	3	2350	0.319	212#35#3#3	3#3#3#2	20#6#10#50000		1	48					10
30045	2	level_gift_pack_35	3	2350	0.319	212#35#3#3	3#3#3#2	20#6#10#50000		1	48					10
30046	2	level_gift_pack_36	3	2350	0.319	212#35#3#3	3#3#3#2	20#6#10#50000		1	48					10
30047	2	level_gift_pack_37	3	2350	0.319	212#35#3#3	3#3#3#2	20#6#10#50000		1	48					10
30048	2	level_gift_pack_38	3	2350	0.319	212#35#3#3	3#3#3#2	20#6#10#50000		1	48					10
30201	2	level_gift_pack_39	1	260	0.23	212#34#2#3	3#3#3#2	1#5#1#1000		1	1					10
30202	2	level_gift_pack_40	2	900	0.333	212#34#2#3	3#3#3#2	4#10#3#5000		1	1					10
30203	2	level_gift_pack_41	3	2350	0.3191	212#35#3#3	3#3#3#2	10#3#5#20000		1	2					10
30204	2	level_gift_pack_42	1	950	0.31578	4#3#33#3	3#3#3#2	1#3#20#5000		1	1					10
30205	2	level_gift_pack_43	3	2350	0.3191	212#35#3#3	3#3#3#2	10#3#5#20000		1	1					10
30206	2	level_gift_pack_44	3	2350	0.3191	212#35#3#3	3#3#3#2	10#3#5#20000		1	1					10
30207	2	level_gift_pack_45	3	2350	0.3191	212#35#3#3	3#3#3#2	10#3#5#20000		1	1					10
30208	2	level_gift_pack_46	3	2350	0.3191	212#35#3#3	3#3#3#2	10#3#5#20000		1	1					10
30209	2	level_gift_pack_47	3	2350	0.3191	212#35#3#3	3#3#3#2	10#3#5#20000		1	1					10
40101	1	level_gift_pack_02	1	200	0.3	10200101,10300101,10400101#33#3	1#3#2	1#50#2500	5#0#0	1	24				set:g2038_pokemon_pack.json image:img_0_3choose1gift	10
40102	1	level_gift_pack_04	2	1500	0.2	10500101#34#33#3	1#3#3#2	1#25#50#10000		1	48					10
40103	1	level_gift_pack_06	2	1500	0.2	10500101#34#33#3	1#3#3#2	1#25#50#10000		1	48					10
40104	1	level_gift_pack_08	2	1500	0.2	10500101#34#33#3	1#3#3#2	1#25#50#10000		1	48					10
40105	1	level_gift_pack_09	2	2000	0.45	10200801,10300801,10400801#35#34#3	1#3#3#2	1#10#100#20000		1	48				set:g2038_pokemon_pack.json image:img_0_3choose1_threecolor_gift	10
40106	1	level_gift_pack_10	2	2000	0.45	10200801,10300801,10400801#35#34#3	1#3#3#2	1#10#100#20000		1	48				set:g2038_pokemon_pack.json image:img_0_3choose1_threecolor_gift	10
40107	1	level_gift_pack_11	2	2000	0.45	10200801,10300801,10400801#35#34#3	1#3#3#2	1#10#100#20000		1	48				set:g2038_pokemon_pack.json image:img_0_3choose1_threecolor_gift	10
40108	1	level_gift_pack_12	3	6000	0.5	10500101,10500201,10500301#35#34#3	1#3#3#2	1#20#200#80000		1	48				set:g2038_pokemon_pack.json image:img_0_3choose1_super_gift	10
40109	1	level_gift_pack_13	3	6000	0.5	10500101,10500201,10500301#35#34#3	1#3#3#2	1#20#200#80000		1	48				set:g2038_pokemon_pack.json image:img_0_3choose1_super_gift	10
40110	1	level_gift_pack_14	3	6000	0.5	10500101,10500201,10500301#35#34#3	1#3#3#2	1#20#200#80000		1	48				set:g2038_pokemon_pack.json image:img_0_3choose1_super_gift	10
40111	1	level_gift_pack_16	2	2000	0.3	212#3	3#2	10#30000		1	24					10
40112	1	level_gift_pack_18	2	2000	0.3	212#3	3#2	10#30000		1	48					10
40113	1	level_gift_pack_20	2	2000	0.3	212#3	3#2	10#30000		1	48					10
40114	1	level_gift_pack_22	2	2000	0.3	212#3	3#2	10#30000		1	48					10
