n_id	n_itemType	n_itemId	n_itemCount	n_weight
奖励id	商店商品类型，1装扮，2宠物，3载具，4房屋	物品id	物品数量	权重
1	1	11013	1	200
2	1	11017	1	200
3	1	11027	1	200
4	1	11032	1	500
5	1	11033	1	100
6	1	14030	1	500
7	1	14031	1	500
8	1	15022	1	500
9	1	15023	1	500
10	1	15024	1	500
11	1	16511	1	500
12	1	21020	1	200
13	1	21026	1	200
14	1	24010	1	200
15	1	24012	1	200
16	1	21028	1	200
17	1	24013	1	200
18	1	24014	1	200
19	2	1011	1	200
20	2	1014	1	200
21	2	12	1	500
22	2	13	1	500
23	2	3001	1	100
24	3	1013	1	200
25	3	2012	1	50
26	3	2013	1	200
27	3	2017	1	50
28	3	2018	1	200
29	3	2019	1	100
30	3	2020	1	100
31	3	2021	1	50
32	3	2022	1	500
33	4	105	1	50
34	4	109	1	50
35	4	111	1	200
36	4	112	1	50
37	4	113	1	50
