n_id	n_itemType	n_itemId	n_itemCount	n_offsetY	n_btnOffsetY	
奖励id	商店商品类型，1装扮，2宠物，3载具	物品id	物品数量	y轴偏移点	按钮y轴偏移点	
1	2	1011	1	0	1.6	
2	2	1014	1	0	1.6	
3	2	12	1	0	2	
4	2	13	1	0	2	
5	2	3001	1	0	2.5	
6	3	1013	1	-1	1.5	
7	3	2012	1	0.6	1.5	
8	3	2013	1	1.1	2	
9	3	2017	1	1.1	2.5	
10	3	2018	1	1.1	2	
11	3	2019	1	1	2	
12	3	2020	1	0	2.2	
13	3	2021	1	0	2.2	
14	3	2022	1	0	2	
15	1	11013	1	0	2.5	荣誉市长
16	1	11017	1	0	2.5	熊玩偶套
17	1	11027	1	0	2.5	赛车手套
18	1	11032	1	0	2.5	球衣2
19	1	11033	1	0	2.5	婚纱套
20	1	14030	1	0	2.5	黑色比基尼
21	1	14031	1	0	2.5	粉色比基尼
22	1	15022	1	0	2.5	黑色比基尼
23	1	15023	1	0	2.5	粉色比基尼
24	1	15024	1	0	2.5	碎花裙
25	1	16511	1	0	2.5	nike拖鞋
26	1	21020	1	0	2.5	皇冠
27	1	21026	1	0	2.5	狗头
28	1	24010	1	0	2.5	翅膀
29	1	24012	1	0	2.5	兔子背包
30	1	21028	1	0	2.5	钻石皇冠
31	1	24013	1	0	2.5	黑翅膀
32	1	24014	1	0	2.5	金翅膀
