n_id	n_itemType	s_point	n_yaw	
序号	商店商品类型，1装扮，2宠物，3载具	坐标，x#y#z	y轴朝向	
1	3	-23.15#0.12#18.24	0	车
2	3	-3.21#0.122#0.06	0	车
3	3	-134.76#0.126#19.01	90	车
4	3	-65.08#9.93#-93.287	180	车
5	3	-16.695#9.942#-97.459	0	车
6	3	-50.53#-0.007#-168.92	0	车
7	3	97#22.223#-224.74	0	车
8	3	141.68#0.217#60.33	0	车
9	3	-76.15#0.093#117.74	0	车
10	3	30.53#-0.01#-30.16	0	车
11	2	-81.19#0.122#1.596	-90	宠物
12	2	68.47#0.122#74.92	0	宠物
13	2	-51.63#0.123#65.77	0	宠物
14	2	48.46#0.123#45.53	0	宠物
15	2	-225.069#10.10#222.899	90	宠物
16	1	11.83#0.4#14.31	0	服装
17	1	-47.19#0.225#6.39	180	服装
18	1	2.91#0.5#-42.31	0	服装
19	1	48.95#0.11#13.97	90	服装
20	1	24.11#0.122#93.80	180	服装
21	1	-39.588#0.752#115.42	-180	服装
22	1	4.26#0.46#158.61	145	服装
23	1	-87.74#0.125#47.596	-90	服装
24	1	-89.95#0.407#8.37	0	服装
25	1	135.54#0.123#14.38	-90	服装
26	1	171.18#0#50.41	90	服装
27	1	128.52#0.11#135.71	0	服装
28	1	97.11#0.097#-145.32	90	服装
29	1	-309.06#0.186#-164.014	-90	服装
30	1	-163.20#0.126#0.706	180	服装
31	1	-228.27#0.125#-21.17	0	服装
32	1	-248.87#10.11#95.60	90	服装
33	1	12.995#8.136#-237.01	-90	服装
