		n_id	n_index	n_priority	n_isWatchAd	n_isNew	n_needBuy	n_lockState	s_lockTips	s_partName	s_icon	s_conflictParts	s_conflictOriginal
	备注	序号	对应的小索引id	排序优先级，数字越小越靠前	是否广告	是否新上架(1为是，否的话不用填)	需要购买解锁，默认0不需要 1 需要	需活动解锁，默认0不需要 1 招标 2 vip	未解锁提示多语言	部件名	装扮图标	套装专用字段，套装里面要屏蔽原来的部件	屏蔽初始装扮里面的部件
套装	广告入口	11999	11	-100	1						set:g2052_shop_new.json image:img_0_advertisement		
套装	警察套	11001	11	1						custom_suits#g2052_suit_1	set:g2052_suit_icon.json image:g2052_clothing_suits_01	custom_shoes#clothes_pants#clothes_tops	
	囚犯套	11002	11	7						custom_suits#g2052_suit_2	set:g2052_suit_icon.json image:g2052_clothing_suits_02	custom_shoes#clothes_pants#clothes_tops	
	绑匪套	11003	11	2						custom_suits#g2052_suit_3	set:g2052_suit_icon.json image:g2052_clothing_suits_03	custom_shoes#clothes_pants#clothes_tops	
	军人套	11004	11	19						custom_suits#g2052_suit_4	set:g2052_suit_icon.json image:g2052_clothing_suits_04	custom_shoes#clothes_pants#clothes_tops	
	上班族套	11005	11	25						custom_suits#g2052_suit_5	set:g2052_suit_icon.json image:g2052_clothing_suits_05	custom_shoes#clothes_pants#clothes_tops	
	服务员套	11006	11	21						custom_suits#g2052_suit_6	set:g2052_suit_icon.json image:g2052_clothing_suits_06	custom_shoes#clothes_pants#clothes_tops	
	粉红套	11007	11	11						custom_suits#g2052_suit_7	set:g2052_suit_icon.json image:g2052_clothing_suits_07	custom_shoes#clothes_pants#clothes_tops	
	休闲套	11008	11	20						custom_suits#g2052_suit_8	set:g2052_suit_icon.json image:g2052_clothing_suits_08	custom_shoes#clothes_pants#clothes_tops	
	消防员套	11009	11	3						custom_suits#g2052_suit_9	set:g2052_suit_icon.json image:g2052_clothing_suits_09	custom_shoes#clothes_pants#clothes_tops	
	厨师套	11010	11	26						custom_suits#g2052_suit_10	set:g2052_suit_icon.json image:g2052_clothing_suits_10	custom_shoes#clothes_pants#clothes_tops	
	医生套	11011	11	12						custom_suits#g2052_suit_11	set:g2052_suit_icon.json image:g2052_clothing_suits_11	custom_shoes#clothes_pants#clothes_tops	
	西装套	11012	11	10						custom_suits#g2052_suit_12	set:g2052_suit_icon.json image:g2052_clothing_suits_12	custom_shoes#clothes_pants#clothes_tops	
	荣誉市长	11013	11	18			1	2		custom_suits#g2052_suit_13	set:g2052_suit_icon.json image:g2052_clothing_suits_13	custom_shoes#clothes_pants#clothes_tops	
	复活节套	11014	11	15						custom_suits#g2052_suit_14	set:g2052_suit_icon.json image:g2052_clothing_suits_14	custom_shoes#clothes_pants#clothes_tops	
	议员套	11015	11	8						custom_suits#g2052_suit_15	set:g2052_suit_icon.json image:g2052_clothing_suits_15	custom_shoes#clothes_pants#clothes_tops	
	橄榄球套	11016	11	24						custom_suits#g2052_suit_16	set:g2052_suit_icon.json image:g2052_clothing_suits_16	custom_shoes#clothes_pants#clothes_tops	
	熊玩偶套	11017	11	4			1	2		custom_suits#g2052_suit_17	set:g2052_suit_icon.json image:g2052_clothing_suits_17	custom_shoes#clothes_pants#clothes_tops	custom_hair
	手术室套	11018	11	16						custom_suits#g2052_suit_18	set:g2052_suit_icon.json image:g2052_clothing_suits_18	custom_shoes#clothes_pants#clothes_tops	
	送货员套	11019	11	23						custom_suits#g2052_suit_19	set:g2052_suit_icon.json image:g2052_clothing_suits_19	custom_shoes#clothes_pants#clothes_tops	
	女仆套	11020	11	14						custom_suits#g2052_suit_22	set:g2052_suit_icon.json image:g2052_clothing_suits_22	custom_shoes#clothes_pants#clothes_tops	
	popcat套	11021	11	0						custom_suits#g2052_suit_23	set:g2052_suit_icon.json image:g2052_clothing_suits_23	custom_shoes#clothes_pants#clothes_tops#custom_face	custom_hair
