n_goodsId	name	n_sortId	n_goodsType	n_itemId	n_price	s_itemIcon	s_actor_name	n_actor_scale	n_actor_rotateY	s_actor_uiOffset	n_actor_rotateX
商品ID	备注	排序ID	商品类型 1装扮 2宠物 3载具 4住宅	相关货物全名	价格(金魔方)	图标	actor名	actor缩放	actor左右角度	actor偏移	actor上下角度
唯一key		从小到大		物品数据是根据ID读表的		是否使用配置图标	装扮、宠物不需要填			x#y 	
1001	荣誉市长套	3	1	11013	199			0.7	0	0#0	0
1002	熊玩偶套	1	1	11017	299			0.7	0	0#0	0
1005	赛车手套	4	1	11027	199			0.7	0	0#0	0
1009	球衣2	13	1	11032	99			0.7	0	0#0	0
1010	婚纱套	2	1	11033	299			0.7	0	0#0	0
1013	黑色比基尼上	9	1	14030	59			0.7	0	0#0	0
1014	粉色比基尼上	10	1	14031	59			0.7	0	0#0	0
1015	黑色比基尼下	12	1	15022	59			0.7	0	0#0	0
1016	粉色比基尼下	12	1	15023	59			0.7	0	0#0	0
1017	碎花裙	8	1	15024	99			0.7	0	0#0	0
1018	nike拖鞋	16	1	16511	99			0.7	0	0#0	0
1019	皇冠	6	1	21020	299			0.7	0	0#10	0
1024	狗头	15	1	21026	199			0.7	0	0#0	0
1028	翅膀	5	1	24010	299			0.7	180	0#0	0
1030	兔子背包	7	1	24012	199			0.7	180	0#0	0
1041	钻石皇冠	6	1	21028	299			0.7	0	0#10	0
1042	黑色翅膀	5	1	24013	299			0.7	180	0#0	0
1043	金色翅膀	5	1	24014	299			0.7	180	0#0	0
2001	捣蛋猫	3	2	1011	199			0.67	0	0#-80	0
2002	狐狸	2	2	1014	299			0.64	20	0#-80	0
2006	马2	4	2	12	99			0.45	-70	0#-70	0
2007	马3	5	2	13	99			0.45	-70	0#-70	0
2008	大猩猩	1	2	3001	399			0.4	-30	0#-70	0
3003	万圣节限定扫把	8	3	1013	299		g2052_car_witch_broom.actor	0.6	-35	0#-180	15
3006	f1赛车	4	3	2012	499		g2052_car_f1.actor	0.21	30	0#-150	20
3007	四轮越野摩托	9	3	2013	199		g2052_car_motoheroz.actor	0.27	30	-5#-140	15
3009	概念车	5	3	2017	499		g2052_car_lambo.actor	0.2	40	0#-150	15
3010	minicooper	6	3	2018	299		g2052_minicooper.actor	0.22	35	-10#-150	15
3011	布加迪	7	3	2019	399		g2052_car_bugatti.actor	0.25	30	0#-150	15
3012	KN300	2	3	2020	399		g2052_car_kw300.actor	0.36	60	0#-110	15
3013	本田HRC	1	3	2021	499		g2052_car_respol.actor	0.36	60	0#-110	15
3014	Hsplensdor	3	3	2022	99		g2052_car_splender.actor	0.36	60	0#-110	15
4001	观星房	4	4	105	499		g2052_house_star.actor	0.33	10	0#-170	15
4003	红砖房	2	4	109	599		g2052_house_redbrick.actor	0.3	-105	0#-99	15
4004	田园房	5	4	111	299		g2052_house_garden.actor	0.3	25	0#-180	15
4005	餐厅房	3	4	112	799		g2052_house_dining.actor	0.32	-10	15#20	10
4006	沙滩房	1	4	113	999		g2052_house_beach.actor	0.3	20	0#-200	15
