n_id	unname1	unname2	s_icon	n_order	n_isNew	n_isWatchAd	n_needBuy	n_needPrivilege	n_lockState	n_carType	s_action_map	s_throwPos	s_throwCfgName	s_engineAcc	s_speedMax	s_brakeDec	s_brakeSpeedMax	s_steerMaxAnglePer	s_needMulPartSize	s_wheelRelPos	s_groundDis	s_suspensionTravel	s_steerVaildStart	s_steerVaildEnd	s_custom_func1	s_custom_func2	s_custom_func3	s_custom_func4	s_custom_func5	s_custom_func6	s_honkSound	s_standby	s_started	n_playRunSoundSpeed	s_flashinglight	n_cameraFollowDis	s_cameraFollowOffset	s_cameraFollowPitch	s_oilGunLocalPos	s_defaultColor
序号	备注	分类	图标	排序	是否新上架，是为1，否则不填	是否广告	是否需要购买 默认0不需 	特权type 0不填为不需要 	 需要解锁 99活动	载具类型（1简单载具，2高级载具）	动作映射	载具位置：dis#x#y#z	载具plugin配置	引擎加速度	速度上限:1档速度#2档速度#...	刹车减速度	倒车速度上限	最大转弯角速度		轮子位置	离地高度	悬挂高度	前进偏移	左右偏移	高级自定义功能1(功能key#零件名字)	高级自定义功能2(功能key#零件名字#音效名)	高级自定义功能3(功能key#零件名字#音效名)	高级自定义功能3(功能key#零件名字#音效名)			按喇叭声音key	车静止引擎声音	行驶声音	播放行驶声音需要达到的速度	双闪声音	跟随镜头距离	跟随镜头偏移	跟随镜头俯仰角	油枪相对车中间点的偏移	默认颜色(r#g#b)
1001	小电驴	载具	set:g2052_car_icon.json image:car_icon_xiaodianlv	9						1		0#0#0#0	myplugin/dianlv_01																											
1002	哈雷	载具	set:g2052_car_icon.json image:car_icon_halei	7						1		0#0#0#0	myplugin/motuo_01																											
1003	自行车1	载具	set:g2052_car_icon.json image:car_icon_bike01	16						1		0#0#0#0	myplugin/bike_01																											
1004	自行车2	载具	set:g2052_car_icon.json image:car_icon_bike02	17						1		0#0#0#0	myplugin/bike_02																											
1005	滑板车	载具	set:g2052_props_icon.json image:g2052_icon_prop_huaban1	13						1		0#0#0#0	myplugin/skateboard_01																											
1006	滑板车2	载具	set:g2052_props_icon.json image:g2052_icon_prop_huaban2	14						1		0#0#0#0	myplugin/skateboard_02																											
1007	滑板车3	载具	set:g2052_props_icon.json image:g2052_icon_prop_huaban3	15						1		0#0#0#0	myplugin/skateboard_03																											
1008	轮椅	载具	set:g2052_car_icon.json image:car_icon_lunyi	18						1		0#0#0#0	myplugin/wheelchair																											
1009	警用摩托	载具	set:g2052_car_icon.json image:car_icon_motuoc	8						1		0#0#0#0	myplugin/car_policemoto																											
1010	豪华摩托	载具	set:g2052_car_icon.json image:car_icon_motomodern	51			1		4	1		0#0#0#0	myplugin/car_modernmoto																											
1011	山地三轮	载具	set:g2052_car_icon.json image:car_icon_motohero	52			1		4	1		0#0#0#0	myplugin/car_motohero																											
1012	儿童滑板车	载具	set:g2052_car_icon.json image:car_icon_dulun	12						1		0#0#0#0	myplugin/car_ekzj																											
1013	万圣节限定扫把	载具	set:g2052_car_icon.json image:car_icon_saoba	202	1		1			1		0#0#0#0	myplugin/car_saoba																											
1014	万圣节限定独轮车	载具	set:g2052_car_icon.json image:car_dulunche	201	1		1		4	1		0#0#0#0	myplugin/car_dulunche																											
1015	超级摩托	载具	set:g2052_new_dress.json image:car_motuo2	998					99	1		0#0#0#0	myplugin/motuo_02																											
1016	卡丁车	载具	set:g2052_new_dress.json image:car_f2	999					99	1		0#0#0#0	myplugin/car_f2																											
2001	警车	载具	set:g2052_car_icon.json image:car_icon_jingche	102						2		5#0#2#0	myplugin/jingche	18	5#10#20#25#30	-30	-10	75	0	x:0.75 y:-0.8 z:1.9	0.5	0.2	0.09	0.996	alarm			shiftGears	headlight		car_horn	car_idle_buff	car_move_buff	10	car_light	10	0.7#0.34#0	15#0#0	1.55#0#-1.2	
2002	特警车	载具	set:g2052_car_icon.json image:car_icon_tejingche	103						2		5#0#3#0	myplugin/tejingche	15	5#10#20#25#30	-25	-8	75	1	x:0.4 y:-0.5 z:0.3	0.4	0.2	0.09	0.996	alarm			shiftGears	headlight	paint	car_horn	car_idle_buff	car_move_buff	10	car_light	15	1#0.7#0.9	15#0#0	1.55#0#-1.2	35#38#3f
2003	囚车	载具	set:g2052_car_icon.json image:car_icon_qiuche	110						2		5#0#3#0	myplugin/qiuche	15	5#10#20#25#30	-25	-8	75	1	x:0.3 y:-0.5 z:0.3	0.4	0.2	0.09	0.996	alarm			shiftGears	headlight	paint	car_horn	car_idle_buff	car_move_buff	10	car_light	12	0.6#0.3#0.9	15#0#0	1.55#0#-1.2	FF#FF#FF
2004	面包车	载具	set:g2052_car_icon.json image:car_icon_mianbaoche01	111						2		5#0#3#0	myplugin/mianbaoche	15	5#10#20#25#30	-25	-8	75	1	x:0.3 y:-0.47 z:0.3	0.4	0.2	0.09	0.996				shiftGears	headlight	paint	car_horn	car_idle_buff	car_move_buff	10	car_light	12	0.7#0.7#1.2	15#0#0	1.55#0#-1.2	FF#FF#FF
2005	面包车涂鸦	载具	set:g2052_car_icon.json image:car_icon_mianbaoche02	112						2		5#0#3#0	myplugin/mianbaoche01	15	5#10#20#25#30	-25	-8	75	1	x:0.3 y:-0.47 z:0.3	0.4	0.2	0.09	0.996				shiftGears	headlight	paint	car_horn	car_idle_buff	car_move_buff	10	car_light	12	0.7#0.7#1.2	15#0#0	1.55#0#-1.2	FF#FF#FF
2006	消防车	载具	set:g2052_car_icon.json image:car_icon_xiaofang	104						2		5#0#5#0	myplugin/xiaofangche	15	5#10#20#25#30	-25	-8	75	1	x:0.3 y:-0.47 z:0.3	0.6	0.2	0.09	0.996	alarm	squirtWater	armTurn	shiftGears	headlight		car_horn	car_idle_buff	car_move_buff	10	car_light	12	0.9#-0.1#3.55	15#0#0	1.55#0#-1.2	
2007	跑车	载具	set:g2052_car_icon.json image:car_icon_paoche	11						2		5#0#3#0	myplugin/paoche	20	10#20#25#30#35	-30	-10	75	1	x:0.3 y:-0.4 z:0.3	0.4	0.2	0.09	0.996				shiftGears	headlight	paint	car_horn	car_idle_buff	car_move_buff	10	car_light	12	0.58#0.34#0.32	15#0#0	1.55#0#-1.2	9e#38#fe
2008	迷你车	载具	set:g2052_car_icon.json image:car_icon_miniche	109						2		5#0#3#0	myplugin/miniche	15	5#10#20#25#30	-25	-10	75	1	x:0.3 y:-0.4 z:0.3	0.5	0.2	0.09	0.996				shiftGears	headlight	paint	car_horn	car_idle_buff	car_move_buff	10	car_light	12	0.6#0.55#0	15#0#0	1.55#-0.2#-1	fc#a2#10
2009	救护车	载具	set:g2052_car_icon.json image:car_icon_jiuhuche	10						2		5#0#3#0	myplugin/jiuhuche	15	5#10#20#25#30	-25	-8	75	1	x:0.3 y:-0.5 z:0.3	0.4	0.3	0.09	0.996	firstAid			shiftGears	headlight		car_horn	car_idle_buff	car_move_buff	10	car_light	12	0.86#0.5#1.62	15#0#0	1.55#0#-1.2	
2010	老爷车	载具	set:g2052_car_icon.json image:car_icon_laoye	205			1		4	2		5#0#3#0	myplugin/vintage	15	5#10#20#25#30	-25	-8	75	1	x:0.3 y:-0.5 z:0.3	0.4	0.3	0.09	0.996				shiftGears	headlight	paint	car_horn	car_idle_buff	car_move_changpeng_buff	10	car_light	12	0.7#0.5#0	15#0#0	1.55#-0.2#-1.2	04#b7#77
2011	出租车	载具	set:g2052_car_icon.json image:car_icon_taxi	106						2		5#0#3#0	myplugin/taxi	15	5#10#20#25#30	-25	-8	75	1	x:0.3 y:-0.5 z:0.3	0.4	0.3	0.09	0.996	alarm			shiftGears	headlight	paint	car_horn	car_idle_buff	car_move_buff	10	car_light	12	0.8#0.5#0.2	15#0#0	1.55#-0.3#-1.2	ed#ff#22
2012	f1赛车	载具	set:g2052_car_icon.json image:car_icon_f1	2			1			2		5#0#3#0	myplugin/f1_racing	15	10#20#25#30#35	-25	-8	75	1	x:0.3 y:-0.4 z:0.3	0.1	0.3	0.09	0.996				shiftGears		paint	car_horn	car_idle_buff	car_move_f1_buff	10	car_light	12	0#0.3#-0.5	15#0#0	0.8#0#-1.3	ff#00#00
2013	四轮越野摩托	载具	set:g2052_car_icon.json image:car_icon_motoheroz	206			1	1		2		5#0#3#0	myplugin/motoheroz	15	5#10#20#25#30	-25	-8	75	1	x:0.3 y:-0.5 z:0.3	0.48	0.3	0.09	0.996				shiftGears	headlight	paint	car_horn	car_idle_buff	car_move_buff	10	car_light	12	0#1.1#-0.5	15#0#0	0.6#0#1	e4#88#3f
2014	巡逻车	载具	set:g2052_car_icon.json image:car_icon_xunluo	50			1		4	2		5#0#3#0	myplugin/cruiser	15	5#10#20#25#30	-25	-8	75	1	x:0.3 y:-0.47 z:0.3	0.45	0.4	0.09	0.996	alarm			shiftGears	headlight	paint	car_horn	car_idle_buff	car_move_buff	10	car_light	12	0.56#0.75#-0.5	15#0#0	1.4#-0.8#-1.2	FF#FF#FF
2015	商店车	载具	set:g2052_car_icon.json image:car_icon_shopcar	107						2		5#0#3#0	myplugin/shopcar	15	5#10#20#25#30	-25	-8	75	1	x:0.3 y:-0.5 z:0.3	0.5	0.3	0.09	0.996				shiftGears	headlight	paint	car_horn	car_idle_buff	car_move_buff	10	car_light	12	0.92#0.1#1.2	15#0#0	1.55#-1.5#-2.8	89#ff#91
2016	校车	载具	set:g2052_car_icon.json image:car_icon_xiaoche	108						2		5#0#3#0	myplugin/schoolbus	15	5#10#20#25#30	-25	-8	75	1	x:0.3 y:-0.5 z:0.3	0.5	0.3	0.09	0.996	alarm	stopSign		shiftGears	headlight	paint	car_horn	car_idle_buff	car_move_xiaoche_buff	10	car_light	12	0.86#0.8#2.1	15#0#0	1.65#-0.2#-3	ff#c2#34
2017	概念车	载具	set:g2052_car_icon.json image:car_icon_lambo	203			1			2		5#0#3#0	myplugin/lambo	15	5#10#20#25#30	-25	-8	75	1	x:0.3 y:-0.5 z:0.3	0.4	0.3	0.09	0.996				shiftGears	headlight	paint	car_horn	car_idle_buff	car_move_buff	10	car_light	12	0.76#0.5#0	15#0#0	1.65#-0.2#-1.5	6c#70#76
2018	minicooper	载具	set:g2052_car_icon.json image:car_icon_minicooper	204			1			2		5#0#3#0	myplugin/minicooper	15	5#10#20#25#30	-25	-8	75	1	x:0.3 y:-0.42 z:0.3	0.45	0.3	0.09	0.996				shiftGears	headlight	paint	car_horn	car_idle_buff	car_move_buff	10	car_light	12	0.66#0.7#-0.1	15#0#0	1.65#-0.2#-1	ff#79#ed
2019	布加迪	载具	set:g2052_car_icon.json image:car_icon_linken	3			1	1		2		5#0#3#0	myplugin/linken	15	5#10#20#25#30	-25	-8	75	1	x:0.3 y:-0.4 z:0.3	0.4	0.3	0.09	0.996				shiftGears	headlight	paint	car_horn	car_idle_buff	car_move_buff	10	car_light	12	0.56#0.6#0.3	15#0#0	1.65#-0.2#-1.5	25#71#e9
2020	KN300	载具	set:g2052_new_dress.json image:02	5	1		1			1		0#0#0#0	myplugin/g2052_car_kw300																											
2021	本田HRC	载具	set:g2052_new_dress.json image:03	4	1		1			1		0#0#0#0	myplugin/g2052_car_repsol																											
2022	Hsplensdor	载具	set:g2052_new_dress.json image:01	6	1		1			1		0#0#0#0	myplugin/g2052_car_splender																											
3001	广告	广告	set:g2052_shop_new.json image:img_0_advertisement	1		1																																		
