n_id	n_sortId	备注	s_triggerType	s_shortTitle	s_shortDesc	s_actionName
唯一id	排序id		可触发方式 1主动2被动	短语标题多语言	短语内容多语言	可触发动作名#隔开
	从小到大		1#2 隔开			可以填多个，随机播放一个
1	1	你好~	1	shortmessage.title1	gui.short.lang1	g2052_face_wave#g2052_face_handshake
2	2	哈哈哈	1	shortmessage.title2	gui.short.lang2	g2052_face_laugh
3	3	一起玩吧	1	shortmessage.title3	gui.short.lang3	g2052_face_playtogether
4	4	要不要来我家玩	1	shortmessage.title4	gui.short.lang4	g2052_face_happy
5	5	去学校吧！	1	shortmessage.title5	gui.short.lang5	
6	6	要玩游戏吗	1	shortmessage.title6	gui.short.lang6	g2052_face_spin
7	7	好啊！	1	shortmessage.title7	gui.short.lang7	g2052_face_yes
8	8	不要	1	shortmessage.title8	gui.short.lang8	g2052_face_no
9	9	谢谢~	1	shortmessage.title9	gui.short.lang9	
10	10	呜哇！	1	shortmessage.title10	gui.short.lang10	g2052_face_cheer
11	11	好漂亮	1	shortmessage.title11	gui.short.lang11	g2052_face_clap
12	12	好帅！	1	shortmessage.title12	gui.short.lang12	g2052_face_clap
13	13	跟我来~	2	shortmessage.title13	gui.short.lang13	g2052_face_child_walk
14	14	等等我！	3	shortmessage.title14	gui.short.lang14	
15	15	等一下~	4	shortmessage.title15	gui.short.lang15	
