n_id	n_pondId	s_infallible	s_giftContent	n_weight	n_quality	n_isBigPrize
id	奖池id	必中次数	内容对应 reward_item.csv id	权重	品质	是大奖 1 每个池子只有一个
101	10001001	40	2	100	5	1
102	10001001		20002	100	5	
103	10001001		20003	100	5	
104	10001001		20004	1000	4	
105	10001001	1	20005	1000	4	
106	10001001	20	20006	1000	4	
107	10001001	20	20007	1000	4	
108	10001001	10	20008	1000	4	
109	10001001	10	20009	1000	4	
110	10001001	10	20010	1000	4	
111	10001002	40	2	100	5	1
112	10001002		20002	100	5	
113	10001002		20003	100	5	
114	10001002		20004	1000	4	
115	10001002	1	20005	1000	4	
116	10001002	20	20006	1000	4	
117	10001002	20	20007	1000	4	
118	10001002	10	20008	1000	4	
119	10001002	10	20009	1000	4	
120	10001002	10	20010	1000	4	
121	10001003	40	2	100	5	1
122	10001003		20002	100	5	
123	10001003		20003	100	5	
124	10001003		20004	1000	4	
125	10001003	1	20005	1000	4	
126	10001003	20	20006	1000	4	
127	10001003	20	20007	1000	4	
128	10001003	10	20008	1000	4	
129	10001003	10	20009	1000	4	
130	10001003	10	20010	1000	4	
131	10001004	40	2	100	5	1
132	10001004		20002	100	5	
133	10001004		20003	100	5	
134	10001004		20004	1000	4	
135	10001004	1	20005	1000	4	
136	10001004	20	20006	1000	4	
137	10001004	20	20007	1000	4	
138	10001004	10	20008	1000	4	
139	10001004	10	20009	1000	4	
140	10001004	10	20010	1000	4	
