n_id	n_activityId	n_sortId	s_giftContent	s_name	s_icon	s_dec	s_weight	n_quality
奖励id	所属的活动ID	排序id 最大只有12	内容对应 limited_time_gift_item.csv id	名称	图标	描述	权重 次数#权重|次数#权重	品质
20001001	20001	1	20001	g2052_gift_20001	set:g2052_architecture_icon.json image:g2052_icon_house7	g2052_gift_20001	1#0|3#0|8#0|10#0|11#1	5
20001002	20001	2	20002	g2052_gift_20002	set:g2052_tops_icon.json image:g2052_tops_209	g2052_gift_20002	1#0|3#0|8#3|10#9999|11#1	5
20001003	20001	3	20003	g2052_gift_20003	set:g2052_car_icon.json image:car_icon_laoye	g2052_gift_20003	1#0|3#1|8#1|10#1|11#1	5
20001004	20001	4	20004	g2052_gift_20004	set:g2052_bag_icon.json image:bag_12	g2052_gift_20004	1#0|3#1|8#1|10#1|11#1	4
20001005	20001	5	20005	g2052_gift_20005	set:g2052_suit_icon.json image:g2052_clothing_suits_20	g2052_gift_20005	1#0|3#1|8#1|10#1|11#1	4
20001006	20001	6	20006	g2052_gift_20006	set:g2052_suit_icon.json image:g2052_clothing_suits_24	g2052_gift_20006	1#0|3#1|8#1|10#1|11#1	4
20001007	20001	7	20007	g2052_gift_20007	set:g2052_head_icon.json image:head_14	g2052_gift_20007	1#0|3#1|8#1|10#1|11#1	4
20001008	20001	8	20008	g2052_gift_20008	set:g2052_hat_icon.json image:hat_12	g2052_gift_20008	1#1|3#1|8#1|10#1|11#1	3
20001009	20001	9	20009	g2052_gift_20009	set:g2052_hat_icon.json image:hat_30	g2052_gift_20009	1#1|3#1|8#1|10#1|11#1	3
20001010	20001	10	20010	g2052_gift_20010	set:g2052_suit_icon.json image:g2052_clothing_suits_27	g2052_gift_20010	1#1|3#1|8#1|10#1|11#1	3
20001011	20001	11	20011	g2052_gift_20011	set:g2052_children_icon.json image:g2052_icon_ma_02	g2052_gift_20011	1#1|3#1|8#1|10#1|11#1	3
20001012	20001	12	20012	g2052_gift_20012	set:g2052_car_icon.json image:car_icon_xunluo	g2052_gift_20012	1#1|3#1|8#1|10#1|11#1	3
20002001	20002	1	20013	g2052_gift_20013	set:g2052_car_icon.json image:car_icon_motomodern	g2052_gift_20013	1#0|3#0|8#0|10#0|11#1	5
20002002	20002	2	20014	g2052_gift_20014	set:g2052_children_icon.json image:g2052_pet_caihongma	g2052_gift_20014	1#0|3#0|8#3|10#9999|11#1	5
20002003	20002	3	20015	g2052_gift_20016	set:g2052_suit_icon.json image:g2052_clothing_suits_25	g2052_gift_20016	1#0|3#1|8#1|10#1|11#1	5
20002004	20002	4	20016	g2052_gift_20015	set:g2052_car_icon.json image:car_icon_motohero	g2052_gift_20015	1#0|3#1|8#1|10#1|11#1	4
20002005	20002	5	20017	g2052_gift_20017	set:g2052_suit_icon.json image:g2052_clothing_suits_40	g2052_gift_20017	1#0|3#1|8#1|10#1|11#1	4
20002006	20002	6	20018	g2052_gift_20018	set:g2052_head_icon.json image:head_12	g2052_gift_20018	1#0|3#1|8#1|10#1|11#1	4
20002007	20002	7	20019	g2052_gift_20019	set:g2052_children_icon.json image:g2052_pet_tunvlang	g2052_gift_20019	1#0|3#1|8#1|10#1|11#1	4
20002008	20002	8	20020	g2052_gift_20020	set:g2052_car_icon.json image:car_dulunche	g2052_gift_20020	1#1|3#1|8#1|10#1|11#1	3
20002009	20002	9	20021	g2052_gift_20021	set:g2052_hat_icon.json image:hat_15	g2052_gift_20021	1#1|3#1|8#1|10#1|11#1	3
20002010	20002	10	20022	g2052_gift_20022	set:g2052_hat_icon.json image:hat_16	g2052_gift_20022	1#1|3#1|8#1|10#1|11#1	3
20002011	20002	11	20023	g2052_gift_20023	set:g2052_head_icon.json image:head_13	g2052_gift_20023	1#1|3#1|8#1|10#1|11#1	3
20002012	20002	12	20024	g2052_gift_20024	set:g2052_pants_icon.json image:g2052_pant_111	g2052_gift_20024	1#1|3#1|8#1|10#1|11#1	3
