n_id	s_disasterName	s_switchPart	n_isFree	n_messageNoticeId	n_selectCD
序号	灾难多语言名	关联零件名 #隔开	是否免费 1免费，默认0	发送事件消息id	点击cd
1	house.event.name1	house_fire1#house_fire2	1	4	5
2	house.event.name2	house_water1#house_water2	0		5
3	house.event.name4	event_longjuan	0		5
4	house.event.name5	event_leibao	0		5
5	house.event.name6	event_feiji	0		5
6	house.event.name7	switch_ghost	0		5
7	house.event.name8	switch_evil	0		5
8	house.event.name9	event_ufo	0		5
9	house.event.name10	event_miwu	0		5
10	house.event.name11	switch_dizhen	0		5
11	house.event.name12	event_yunshi	0		5
