n_id	n_type	s_cfgName	s_pos
编号	类型	Entity名称	坐标#朝向
101	1	myplugin/halloween_ghost_part_01	-92.66,0.13,53.69#0,-91.6,0
102	1	myplugin/halloween_ghost_part_01	-113.09,0.30,4.36#0,-179.4,0
103	1	myplugin/halloween_ghost_part_01	7.64,0.32,50.00#0,180.0,0
104	1	myplugin/halloween_ghost_part_01	-307.50,1.03,-165.54#0,-91.8,0
105	1	myplugin/halloween_ghost_part_01	-100.19,14.14,-35.54#0,-2.4,0
106	1	myplugin/halloween_ghost_part_01	102.19,3.98,-67.2#0,-91.5,0
107	1	myplugin/halloween_ghost_part_01	170.44,3.30,22.28#0,69.5,0
108	1	myplugin/halloween_ghost_part_01	51.30,2.28,-23.80#0,5.4,0
109	1	myplugin/halloween_ghost_part_01	81.19,0.73,14.87#0,174.6,0
110	1	myplugin/halloween_ghost_part_01	76.29,1.73,-20.03#0,3.9,0
111	1	myplugin/halloween_ghost_part_01	121.65,0.08,-32.06#0,179.4,0
112	1	myplugin/halloween_ghost_part_01	89.17,2.96,55.88#0,75.7,0
113	1	myplugin/halloween_ghost_part_01	120.80,1.99,-140.95#0,-88.8,0
114	1	myplugin/halloween_ghost_part_01	180.62,2.09,-20.68#0,80.7,0
115	1	myplugin/halloween_ghost_part_01	145.47,1.61,27.67#0,-97.5,0
116	1	myplugin/halloween_ghost_part_01	-93.99,0.30,61.88#0,-90.6,0
117	1	myplugin/halloween_ghost_part_01	193.75,1.60,55.49#0,26.4,0
118	1	myplugin/halloween_ghost_part_01	25.22,8.00,191.92#0,-121.5,0
119	1	myplugin/halloween_ghost_part_01	-4.70,14.05,147.56#0,167.7,0
120	1	myplugin/halloween_ghost_part_01	66.46,9.55,49.59#0,178.8,0
121	1	myplugin/halloween_ghost_part_01	-60.04,0.96,92.46#0,164.4,0
122	1	myplugin/halloween_ghost_part_01	25.63,2.05,-1.42#0,178.2,0
123	1	myplugin/halloween_ghost_part_01	30.92,0.65,76.67#0,-77.4,0
124	1	myplugin/halloween_ghost_part_01	51.06,5.07,133.10#0,-42.3,0
125	1	myplugin/halloween_ghost_part_01	4.90,0.56,-31.45#0,92.7,0
126	1	myplugin/halloween_ghost_part_01	22.34,2.90,94.10#0,149.8,0
127	1	myplugin/halloween_ghost_part_01	182.88,2.09,137.26#0,-100.8,0
128	1	myplugin/halloween_ghost_part_01	48.68,2.44,9.18#0,101.2,0
129	1	myplugin/halloween_ghost_part_01	-41.44,2.00,138.99#0,-94.8,0
130	1	myplugin/halloween_ghost_part_01	114.50,6.91,22.14#0,171.0,0
131	1	myplugin/halloween_ghost_part_01	215.72,0.00,169.68#0,93.6,0
132	1	myplugin/halloween_ghost_part_01	-91.41,1.10,23.37#0,168.8,0
133	1	myplugin/halloween_ghost_part_01	-93.26,1.16,47.43#0,-69.4,0
134	1	myplugin/halloween_ghost_part_01	-96.00,6.78,50.95#0,85.3,0
135	1	myplugin/halloween_ghost_part_01	-40.89,1.38,-37.46#0,51.5,0
136	1	myplugin/halloween_ghost_part_01	-30.11,0.25,106.00#0,175.9,0
137	1	myplugin/halloween_ghost_part_01	-30.39,1.44,115.24#0,177.6,0
