n_id	n_sortId	s_landName	n_default	s_name	s_icon	s_cfgName	n_isLock	n_isNew	s_price	s_posOffset	s_rotateOffset	s_panelOffset	n_monitorId	s_doorLock	n_haveGarage	s_garageDoorName	n_maxDisasterNum	s_colorChangingPart	s_glassChangingPart	n_needPrivilege	n_isWatchAd	n_needBuy	n_lockState
序号	排序id	地块名	1 为默认 每个地块名只能有一个都填就取第一个 都没有默认则进入选择ui	名称	图标	cfgName	需要解锁  1为需要	1为新上架 否则不填	解锁价格 货币id#价格	位置偏移	旋转偏移	房屋信息Ui相对偏移 	监视器组	门锁零件名	拥有测库	车库门名字	房屋最大灾难数	换色零件 name   #分割	玻璃零件 name	特权type 0不填为不需要	是否广告	特权type 0不填为不需要	解锁类型，4钓鱼 默认0不需要
101	1	land#land_vip	0	住宅1	set:g2052_architecture_icon.json image:g2052_icon_house1	myplugin/house1	0		0#0	0#0.2#0	0#180#0	0#0#0	101	house_suo	1	chekumen_switch	2	color_wall	boli				
102	2	land#land_vip	0	住宅2	set:g2052_architecture_icon.json image:g2052_icon_house2	myplugin/house2	0		0#0	0#-0.1#0	0#180#0	0#0#0	102	house_suo	1	chekumen_switch	2	color_wall	boli				
103	11	land#land_vip	0	车房	set:g2052_architecture_icon.json image:g2052_icon_house3	myplugin/house3	0		0#0	0#0.2#0	0#180#0	0#0#0	103	house_suo	0		2	color_wall	boli				
104	12	land#land_vip	0	树屋	set:g2052_architecture_icon.json image:g2052_icon_house4	myplugin/house4	0		0#0	0#0#0	0#180#0	0#0#0	104	house_suo	0		2	color_wall	boli				
105	4	land#land_vip	0	观星房	set:g2052_architecture_icon.json image:g2052_icon_house5	myplugin/house5	0		0#0	0#0#0	0#180#0	0#0#0	105	house_suo	0		2	color_wall	color_wall	1		1	
106	13	land#land_vip	0	尖顶别墅	set:g2052_architecture_icon.json image:g2052_icon_house6	myplugin/house6	0		0#0	0#-0.7#0	0#180#0	0#0#0	106	house_suo	1	chekumen_switch	2	color_wall	boli				
107	3	land#land_vip	0	花园房	set:g2052_architecture_icon.json image:g2052_icon_house7	myplugin/house7	0		0#0	0#0#0	0#180#0	0#0#0	107	house_suo	0		2	color_wall	boli	1			4
108	14	land#land_vip	0	方格房	set:g2052_architecture_icon.json image:g2052_icon_house8	myplugin/house8	0		0#0	0#0#0	0#180#0	0#0#0	108	house_suo	1	chekumen_switch	2	color_wall	boli				
109	6	land#land_vip	0	红砖房	set:g2052_architecture_icon.json image:g2052_icon_house9	myplugin/house9	0		0#0	0#0#0	0#180#0	0#0#0	109	house_suo	0		2	color_wall	boli	1		1	
110	15	land#land_vip	0	少女房	set:g2052_architecture_icon.json image:g2052_icon_house10	myplugin/house10	0		0#0	0#0#0	0#180#0	0#0#0	110	house_suo	0		2	color_wall	boli				
111	104	land#land_vip	0	田园房	set:g2052_architecture_icon.json image:g2052_icon_house11	myplugin/house11	0		0#0	0#0.2#0	0#180#0	0#0#0	111	house_suo	0		2	color_wall	boli	1		1	
112	105	land#land_vip	0	餐厅房	set:g2052_architecture_icon.json image:g2052_icon_house12	myplugin/house12	0		0#0	0#0#0	0#180#0	0#0#0	112	house_suo	1	chekumen_switch	2	color_wall	boli	1		1	
113	7	land#land_vip	0	沙滩房	set:g2052_architecture_icon.json image:g2052_icon_house13	myplugin/house13	0		0#0	0#0#0	0#180#0	0#0#0	113	house_suo	0		2	color_wall	boli	1		1	
201	5	land_motel	1	旅馆	set:g2052_architecture_icon.json image:g2052_icon_house201	myplugin/motel	0		0#0	0#0#0	0#180#0	0#0#0	201	house_motel_suo	0		0	color_wall	boli				
1001	-1	land#land_vip	0	广告	set:g2052_shop_new.json image:img_0_advertisement																1		
