s_key	uname	s_func	s_sync	n_isNeedCheckObstacle	s_triggers	s_timeTriggerData	s_interactPopIcon	s_interactPopOffset	s_clickTipEffect	s_clickTipOffset	s_precondition	s_bindRelation	s_controlCascade	s_controlBeCascade	s_nextInteract	n_delay	s_triggerSound	s_breakSound	s_p1	s_p2	s_p3	s_p4	s_p5	s_p6	s_p7	s_p8	i_eventReport							s_counterKey	s_counterType	n_counterMax	n_counterMin	s_condition1	s_invalidCallback	s_entityTargets	s_executionCallback
事件id	备注	对应回调方法	同步类型	交互时是否检测障碍物	触发时机:1点击,2碰撞,3结束碰撞,4按钮,7时间,8零件生成时	定时开关时间：time1$1#time2$0 时间$1开或0关	触发4的按钮图标	按钮位置偏移	触发1的提示特效名	提示特效偏移	触发条件（1手持某物 2某种身份 3零件碰撞 4宅主本人 5消耗某物）	零件名#零件名 零件绑定关系，绑定后同时只能一个人交互	控制哪些零件 part1#part2#..	被哪些零件控制 part1#part2#..	触发下个交互事件	延时	触发音效Key	关闭音效Key	参数1	参数2	参数3	参数4	参数5	参数6	参数7	参数8	是否上报事件														
clickPlayerInteraction	entity点击交互事件	showPlayerInteractionUI	client	0																																					
ride_on_index	entity点击交互事件	ride_on	server	1																																					
lift_up_pet	entity点击交互事件	lift_up_pet	server	0															7																						
feed_pet	entity点击交互事件	feed_pet	server	0																																					
ride_pet	entity点击交互事件	ride_pet	server	0																																					
play_with_pet	entity点击交互事件	play_with_pet	server	0															8																						
house_area	房子区域	onHouseAreaMonitoring	server	0	2#3														1																						
box_zhuzhai	房子区域	onHouseAreaMonitoring	server	0	2#3																																				
build01	住宅建造牌	onOpenHouseUI	server	0	1#4		set:g2052_interaction_icon.json image:click			0.5#0.1#0.2																	1														
build02	住宅建造牌	onOpenHouseUI	server	0	1#4		set:g2052_interaction_icon.json image:click			0.5#0.1#0.2																	1														
swimming_area	泳池水	onTouchWater	server	0	2#3																																				
box_sit01	通用-正坐	onFurnitureInteract	server	0	2							box_pc_kaiguan#box_gangqing#box_jjpc_kaiguan#police_dianhua#box_jzpc_kaiguan#box_ty_kaiguan							sit1#0#-0.45#0.0#0#0.4#0.0																						
box_sit02	通用-坐地上	onFurnitureInteract	server	0	2														g2052_boy_sit_floor#0#0#0.0#0#0.2#0.0																						
box_sit03	通用-翘腿坐沙发	onFurnitureInteract	server	0	2														g2052_boy_sit_sofa#0#-0.5#0.0#0#0.2#0.0																						
box_sit04	通用-盘腿坐	onFurnitureInteract	server	0	2														g2052_boy_sit_pantui#0#-0.5#0.0#0#0.4#0.0																						
box_sit05	通用-抱头翘腿坐	onFurnitureInteract	server	0	2														g2052_boy_sit_qiaotui#0#-0.5#0.0#0#0.4#0.0																						
box_sit12	通用-抱头翘腿躺	onFurnitureInteract	server	0	2														g2052_boy_sit12#0#-0.5#0.0#0#0.4#0.0																						
box_shop_shouying	通用-电脑收银	onFurnitureInteract	server	0	4		set:g2052_interaction_icon.json image:click										shouyin		g2052_skill_shouyin#0.0#-0.9#-0.6#0#-0.9#-0.6																						
box_work	通用-打字	onFurnitureInteract	server	0	2												work		g2052_skill_work#0#-0.5#0#0#0.4#0																						
box_sleep01	通用-睡觉	onFurnitureInteract	server	0	2														sleep1#0#-0.55#0.0#0#0.4#0.0																						
box_sleep02	通用-大字躺	onFurnitureInteract	server	0	2								g2052_house_bed_02						g2052_boy_pingtang1#0#-0.55#0.0#0#0.4#0.0																						
box_sleep03	通用-抱手躺	onFurnitureInteract	server	0	2								g2052_house_bed_02						g2052_boy_pingtang2#0#-0.55#0.0#0#0.4#0.0																						
box_sleep05	通用-抱头躺	onFurnitureInteract	server	0	2														g2052_boy_pingtang3#0#0.05#-0.1#0#0.4#0.0																						
box_sleep06	通用-枕头躺	onFurnitureInteract	server	0	2														g2052_boy_pingtang4#0#0.05#-0.1#0#0.4#0.0																						
desk_lamp_test	住宅_小台灯	onUpdateChildEffect	server	0										box_sleep02#box_sleep03			switch	switch	EffectPart																						
box_sleep04	通用-侧躺	onFurnitureInteract	server	0	2								g2052_house_bed_02						g2052_boy_cetang#0#-0.45#0.0#0#0.4#0.0																						
box_climb0	通用-梯子z负	onTouchLadder	server	0	2#3														0	0.15																					
box_climb90	通用-梯子x正	onTouchLadder	server	0	2#3														270	0.15																					
box_climb180	通用-梯子z正	onTouchLadder	server	0	2#3														180	0.15																					
box_climb270	通用-梯子x负	onTouchLadder	server	0	2#3														90	0.15																					
box_climb_house	动态生成梯子	onHouseTouchLadder	server	0	2#3														90	0.15																					
box_work2	通用-被触发打字	onFurnitureInteract	server	0													work		g2052_skill_work#0#-0.5#0#0#0.4#0																						
pc_screen	通用-电脑屏幕	operationEffectTelevision	server	0															g2052_xianshiping07.effect#g2052_pcpingmu01.effect#g2052_pcpingmu02.effect#g2052_pcpingmu03.effect#g2052_pcpingmu04.effect#g2052_pcpingmu05.effect#g2052_pcpingmu06.effect#g2052_pcpingmu07.effect	left_btn#right_btn																					
box_sit11	住宅-坐马桶	onFurnitureInteract	server	0	2												toilet		sit1#0#-0.5#0#0#0.4#0																						
huasa_switch	住宅-花洒-开关	onTriggerAssociated	server	1	4		set:g2052_interaction_icon.json image:cleaning												box_bath1#box_bath2#huasha						1																
box_bath1	住宅-淋浴	onFurnitureInteract	server	0													bath		g2052_boy_bath1#0#0#0#0#0#0																						
yugang_switch	住宅-浴缸-开关	onTriggerAssociated	server	0	1				click.effect	0#0.1#0									yugang_shuimian#shuilongtou#yugang_paopao																						
box_bath2	住宅-泡澡	onFurnitureInteract	server	0													bath		g2052_boy_bath2#0#0#0#0#0#0																						
yugang_shuimian	住宅-浴缸水面-显隐	onUpdatePartShow	server	0																0																					
shuilongtou_switch	住宅-洗手触发	onTriggerAssociated	server	1	4		set:g2052_interaction_icon.json image:cleaning										wash		box_wash#shuilongtou						1																
box_wash	住宅-洗手	onFurnitureInteract	server	0															g2052_boy_wash#0#0#0#0#0#0																						
chekumen_switch	住宅-车库门-按钮	onTriggerAssociated	server	0	1				click.effect	0.1#-0.1#0.2	4						switch	switch	house1_chekumen#house2_langan_l#house2_langan_r#house6_chekumen#house12_chekumen					updateOneselfDoorState																	
house1_chekumen	住宅-车库门	operationPartRotate	server	0															90	1#0#0	0#2#0			20																	
baoxiangui_meijin	住宅-美金	onPickProp	server	0	1				click.effect	0#0.2#0									1622								1														
baoxiangui_jingtiao	住宅-金条	onPickProp	server	0	1				click.effect	0#0.2#0									1623																						
small_fire_point	住宅引火点（小火）	onLightOnFire	server	0															g2052_small_fire.effect	0.8				house_fire.mp3,1																	
house_keranwu	住宅-可着火的物件	onTriggerAssociated	server	0	1						1#1003								small_fire_point																						
house_shu	住宅-书	onPickProp	server	0	1				click.effect	0#0.2#0							book	book	1019																						
house_shugui	住宅-书柜	onPickProp	server	0	1				click.effect	-0.2#0#0.0							book	book	1019																						
bilu_switch	住宅-壁炉-开关	onTriggerAssociated	server	0	1														effect_bilu								1														
effect_bilu	住宅-壁炉	onLightOnFire	server	0	1				click.effect	0#0.2#0									g2052_torch_fire.effect	1.5	1	small_fire_point	30																		
box_cooking	住宅-烹饪	onFurnitureInteract	server	0													cooking		g2052_skill_cooking#0#0#0#0#0#0																						
luzao_switch	住宅-炉灶-开关	onTriggerAssociated	server	0	1				click.effect	-0.1#-0.1#0.0									effect_luzhao																						
house_menling	住宅-门铃	onTriggerAssociated	server	0	1				click.effect	0.1#0.0#0.2							menling																								
house_suo	住宅-锁	operatePartInteractLock	server	0	1				click.effect	0.1#0.0#0.2									box_house_door#box_house2_door#box_house3_door#box_house4_door#box_house9_door#box_house5_door1#box_house5_door2#box_house7_door1#box_house7_door2#box_house10_door#box_house13_door02#box_hoouse13_boli#box_house12_door	house	asset/house/mesh/2052_lock02.mesh	asset/house/mesh/2052_lock01.mesh																			
box_house_door	住宅-门-触发	onTriggerAssociated	server	0	2#3														house_door#house_door_2#house_door_3#house_door_4#house_door_5#house_door_6	2	3																				
house_door_2	住宅-大门	operationPartRotate	server	0													door_mumen	door_mumen	90	0#1#0	1.0#0.0#0.0			6																	
house_door_5	住宅-室内门	operationPartRotate	server	0													door_mumen	door_mumen	-90	0#1#0	-1.0#0.0#0.0			6																	
box_bath4	住宅-泡澡	onFurnitureInteract	server	0	2												bath		g2052_boy_bath2#0#0#0#0#0#0																						
house_caidao	住宅-菜刀-显隐	onUpdatePartShow	server	0																1																					
house_qiecaiban	住宅-切菜-触发	onTriggerAssociated	server	0	4		set:g2052_interaction_icon.json image:cooking												house_caidao#box_qiechai						1		1														
box_qiechai	住宅-切菜	onFurnitureInteract	server	0													qiecai		g2052_skill_cut#0#0#0#0#0#0																						
cooking_switch	住宅-烹饪-触发	onTriggerAssociated	server	0	4		set:g2052_interaction_icon.json image:cooking										cooking		cooking_effect#house_pingdiguo#box_cooking						1																
cooking_effect	新住宅_烟火	onUpdateChildEffect	server	0															EffectPart																						
house_pingdiguo	住宅-平底锅-显隐	onUpdatePartShow	server	0																1																					
house_weibolu_door	住宅-微波炉门	operationPartRotate	server	0	1				click.effect	-0.1#0#0							dianqimen	dianqimen	-90	0#1#0	0#0.0#-0.4			6																	
house_bingxiang_men	住宅-单冰箱门	operationPartRotate	server	0	1												dianqimen	dianqimen	90	0#1#0	0.6#0.0#0			6																	
house_door	住宅-平滑门	operationPartMove	server	0													door_pinghua	door_pinghua	2#0#0			1	6																		
kafeiji	咖啡机	onPickProp	server	0	1														1511																						
house_door_3	住宅-平滑门-小	operationPartMove	server	0													door_pinghua	door_pinghua	-1.4#0#0			1	6																		
house_guizi_door_2	住宅-单柜门_左	operationPartRotate	server	0	1												door_yigui	door_yigui	-90	0#1#0	-0.33#0.0#0.0			10																	
house_door_4	住宅-平滑门-大	operationPartMove	server	0													door_pinghua	door_pinghua	-2.4#0#0			1	6																		
shuiguopan	水果盘	onPickProp	server	0	1				click.effect	0#0.2#0									1413																						
kafeihu	咖啡壶	onPickProp	server	0	1				click.effect	0#0.1#0.2									1511																						
box_house2_door	住宅2-门-触发	onTriggerAssociated	server	0	2#3														house2_door#house2_door_1#house2_door_2#house2_door_3#house2_door_4	2	3																				
house2_door	住宅2-大门	operationPartRotate	server	0													door_mumen	door_mumen	90	0#1#0	1.0#0.0#0.0			6																	
house2_door_2	住宅2-室内门	operationPartRotate	server	0													door_mumen	door_mumen	-90	0#1#0	-1.0#0.0#0.0			6																	
house2_door_4	住宅2-平滑门-大	operationPartMove	server	0													door_pinghua	door_pinghua	-2.4#0#0			1	6																		
house2_door_3	住宅2-平滑门-中	operationPartMove	server	0													door_pinghua	door_pinghua	2.3#0#0			1	6																		
house2_door_1	住宅2-平滑门-小	operationPartMove	server	0													door_pinghua	door_pinghua	1.6#0#0			1	6																		
house2_bingxiangmen_l	住宅-双冰箱门-左	operationPartRotate	server	0	1												dianqimen	dianqimen	-90	0#1#0	0#0.0#-0.4			6																	
house2_bingxiangmen_r	住宅-双冰箱门-右	operationPartRotate	server	0	1												dianqimen	dianqimen	90	0#1#0	0#0.0#0.4			6																	
house_kaoxiangmen	住宅-烤箱门	operationPartRotate	server	0	1												dianqimen	dianqimen	70	1#0#0	0#-0.3#0			6																	
house2_langan_r	住宅2-车库门-右	operationPartRotate	server	0															-90	0#1#0	1.6#0.0#0.0			20																	
house2_langan_l	住宅2-车库门-左	operationPartRotate	server	0															90	0#1#0	1.6#0.0#0.0			20																	
house_gui_chouti	住宅-抽屉	operationPartMove	server	0	1												door_chouti		0#0#0.4				5																		
house_guizi_l	住宅-柜门_左	operationPartRotate	server	0	1												door_yigui	door_yigui	-90	0#1#0	-0.6#0.0#0.0			10																	
house_guizi_r	住宅-柜门_右	operationPartRotate	server	0	1												door_yigui	door_yigui	90	0#1#0	0.6#0.0#0.0			10																	
house2_gui_chouti	住宅2-抽屉	operationPartMove	server	0	1												door_chouti		0#0#0.25				5																		
house_baoxianxiang_door	住宅-保险柜门	operationPartRotate	server	0	1				click.effect	0#0#0.1	4						door_baoxiangui	door_baoxiangui	-90	0#1#0	-0.4#0#0			6			1														
house3_gui_chouti	住宅3-抽屉	operationPartMove	server	0	1												door_chouti		0#0#-0.4				5																		
house3_guizi_r	住宅3-镜子门-右	operationPartRotate	server	0	1												door_yigui	door_yigui	90	0#1#0	0#0.0#0.36			10																	
