s_dec	功能负责人	s_func	s_sync	s_triggers	s_precondition	s_bindRelation	s_nextInteract	s_p1	s_p2	s_p3	s_p4	s_p5	s_p6	s_p7	s_p8
描述		对应回调	同步类型	触发时机 零件相关需要 1 点击 2碰撞 3结束碰撞 4交互UI 5零件之间碰撞开始 6零件直接碰撞结束 7时刻触发，8零件生成时	触发条件（1手持某物 2某种身份 3零件碰撞 4宅主本人 5消耗某物）	零件名#零件名#零件名 同组下的零件绑定关系，绑定后同时只能一个人交互	触发下个交互事件 （延时#事件#当前零件交互的启动CD)	参数1	参数2	参数3	参数4	参数5	参数6	参数7	参数8
申请房屋	罗心铭	onApplyHouse	server												
拾取物品	罗心铭	onPickProp	server	2				1001#50;1002#30 ---  物品id#权重;物品id#权重 物品id与props 关联 	是否移除交互的零件： 1 是，默认0否	拾取物品后的初始buff 序号： 默认1					
拾取物品并隐藏	何洛鸣	onPrintPaperInteract	server	1#4				交互获得的物品id：2014							
生成物品并作位移	何洛鸣	onPrinterInteract	server	1#4				创建打印纸资源名：myplugin/paper	打印纸相对打印机创建的偏移量：0#0.6#0.1	打印纸相对打印机打印结束的偏移量：0.8#0.6#0.1	打印纸移动的时间（帧）：40	打印背景音效：dayinji			
游泳区域	孟浩	onTouchWater	server	2#3											
攀爬区域	孟浩	onTouchLadder	server	2#3				角度	速度						
人物换装	黄建浩	onDressUp	server					appearance表id	部位id#部位id(如果需要生效随机部位,第一个参数要去掉)						
人物职业更新	何洛鸣	onChangeProfession	server	4				职业ID							
家具类交互	何洛鸣	onFurnitureInteract	server	1				第一个位置的动作#x#y#z上车偏移量#x#y#z下车偏移量x_y_z>sit1#0.6#-0.5#0#0.6#-0.5#0	1#1#1  体型偏移x#y#z,增大为正数						
家具类交互-乘骑带置换	何洛鸣	onVehicleToOnePart	server	2				jiguangchuang_m 被当载具的零件名	sleep1#0#0#0#-90#90#0 乘坐后的动作、位置、旋转	0#0#0 下车的位置偏移					
家具类交互-可控制旋转	罗心铭	rideFixedPointVehicle	server					1#1#1   挂点偏移 不需要就不填 2同理	1#1#1 初始旋转	30 最大旋转角度	1 速率放大 1为默认值 大于1加快 小于1减慢 不为负数	 动作名	z   旋转轴默认z  只有 x y z 三种参数有效		
传送	罗心铭	onEnterPortal	server	2				map001#0#100#0  ---  地图name#x#y#z#yaw							
旋转	罗心铭	operationPartRotate	server	1				-90     旋转角度	0#0#1     旋转轴	0#0#-0.5  基点偏移 初始是几何中心	1=任意内容不循环 	20 单位帧 还原时间	20 单位帧 平滑移动时间	结束回调fun	crash 旋转时碰撞
位移	罗心铭	operationPartMove	server	1				1#0#0    位移方向	1= 任意内容不循环 	20 单位帧 还原时间	1  任意内容同级零件一起移动	20 单位帧 平滑移动时间			
循环-停顿位移	覃健才	operationPartMoveLoop	server	1				1#0#0    位移方向	平滑时间帧	停顿时间 帧					
开关控制	罗心铭	onTriggerAssociated	server	1				key1#key2#key3   触发key partName	1  打开时 s_triggers 类型	1  关闭时 s_triggers 类型  不写默认点击	未触发时mesh	触发时mesh	附带fun（非part交互）	是否是一对一的零件交互 1是 默认0 否	默认1（不填） 向上多少层的父节点
多零件开关控制	何洛鸣	onCascadeState	server	0				box_sleep1#box_sleep2 可以控制当前零件的零件名	bedshow#box_show2 当前零件可以控制的零件						
播放特效	黄建浩	playEffectOnPart	server	1				g2052_small_fire.effect 特效名字	0#0#0 位置偏移	1 scale	0 yaw	特效消亡时间(即特效生成后多久时间消失)，单位帧		reset 是否消亡	延迟 帧
播放有条件限制特效	覃健才	playLimitEffectOnPart	server	1				g2052_small_fire.effect 特效名字	0#0#0 位置偏移	1 scale	0 yaw	特效消亡时间(即特效生成后多久时间消失)，单位帧	特效重生时间（即消亡后多久时间再次重生）单位帧	手持道具Id	
主要区域	罗心铭	onAreaMonitoring	server	2#3				1  是否上报	soundKey						
房子区域	罗心铭	onHouseAreaMonitoring	server	2#3				1  是否上报	soundKey						
3d音效区域	罗心铭	onControlArea3dSound	server	2#3				soundKey  	偏移量 0#1.5#0     不填以区域中心为目标放置	持续时间  不填 离开区域去除  填 在区域内过时间去除					
警察局直升机刷新区域	何洛鸣	onHelicopterMonitoring	server	2#3				1  是否上报	soundKey						
滑滑梯触发部件	覃健才	onSlideLadderInteract	server	2				对用entity配置	对应entity位置偏移量，x#y#z#yaw	滑梯动作时长	对应滑滑梯的partId，格式为id:XXXXXX				
秋千触发部件	覃健才	onSwingInteract	server	2				第一个位置的动作#x#y#z上车偏移量#x#y#z下车偏移量>sit1#0.6#-0.5#0#0.6#-0.5#0	第二个位置的参数						
(特定)炸弹	黄建浩	onExplodeBarrier	server					myplugin/detonate_bomb_skill							
(特定)秘境黑板事件	覃健才	OnSecretBlackboard	server					partId#partId,黑板显示的零件Id	Id:partId, 满足条件后显示的零件id，如秘境传送门	满足条件后（传送门开启之后）多久恢复原始状态（单位帧）	满足条件后传送坐标，如map001#174#20#-226#-116				
(特定)许愿币碰撞	何洛鸣	onGoldCoinEffect	server	5				特效名：g2021_chest_15.effect	特效偏移量：0#1.5#0	特效缩放倍数：2	有碰撞效果的零件名：pengquan_w#xxx#xxx				
零件改名	罗心铭	switchPartName	server					需要改名的 零件名    name1#name2   当是name1时会改成name2 反之亦然							
零件变色	罗心铭	changePartColor	server					238,184,90,1   rgba	0.5  零件本身的透明度，不改变则不填	1 是否改变辉光开关 1是 0否默认0					
零件显示隐藏	何洛鸣	onUpdatePartShow	server	1#2#7				key1#key2   触发key partName，控制其他零件显示隐藏，控制自己则不填	自己的初始显示状态（1显示 0隐藏）						
更换零件部件	何洛鸣	onChangePartMesh	server	1				roadblock_a.mesh#floorlamp.mesh  可更换的零件mesh							
点火零件	黄建浩	onLightOnFire	server	1				特效名（支持多个特效切换）：g2052_small_fire.effect#g2030_ranshao.effect	1 scale	2 引发大火索引，不填则默认只要触发都会引发大火	如果不是触发火灾的话触发交互事件的名字	触发延迟时间	音效名和音量（需要跟特效数量一致）：house_fire.mp3,1#house_fire.mp3,2		
打开监控视角	黄建浩	openMonitorView	client	1				监视器组id（monitor表） 1002							
住宅锁	罗心铭	operatePartInteractLock	server	1				house_damen_l#house_damen_r#box_house_damen  涉及到的零件同组下	house  如果是住宅填这个不是就不填	asset/house/mesh/2052_lock01.mesh  正常状态	asset/house/mesh/2052_lock02.mesh    锁状态				
触发密码开关	黄建浩	triggerPasswordInput	server	1				正确密码	密码正确触发的零件名字						
电视屏幕（单张）	罗心铭	onWatchTelevision	server	4				图片名 #分割 2052_tiehua01.png#2052_tiehua02.png	1  设置为1 则有换台ui						
电视屏幕（多张）	罗心铭	operationTelevision	server	1				图片名 #分割 2052_tiehua01.png#2052_tiehua02.png	left_btn#right_btn  同个打组的控制开关name						
电视控制按钮	罗心铭	operatingInTaiwan	server					图片切换操作方式1减 2加 3随机 							
切换贴花内容	罗心铭	onTogglesDecalContent	server					图片名 #分割 2052_tiehua01.png#2052_tiehua02.png	1 初始内容 不填就是没有						
UI-点击招标公示栏-编辑器	何洛鸣	onClickBiddingNoticeBoard	server	0											
UI-点击招标公示栏-排行榜	何洛鸣	onClickBiddingNoticeRank	server	0											
UI-点击打开蛋蛋屋传送界面	何洛鸣	onOpenTenderingTransfer	client	1											
UI-点击告示牌打开日报界面	何洛鸣	openAnnouncementUI	client	1											
弹簧床	罗心铭	triggerSpringBed	client	2				0.5 系数           起跳速度=系数*高度	1 最小高度	10 最大高度					
编辑墙-文本	何洛鸣	onEditPartContentShow	server	0				-5#-5#0   3DUI相对零件的位置偏移	0#90#0 3DUI旋转	20  3DUI可视距离	400#800  3DUI的宽高	g2052.gui.part.content.init  3DUI的初始文本	FF0000  3DUI的文本初始颜色	FFFF00 3DUI的背景初始颜色不填则无背景色	
