n_id	n_jumpSpeed	n_gravity	n_floatGravity	n_fallGravity	n_moveSpeed	n_floatTime	n_fallTime	n_maxOffset	n_beginSpeed	n_endSpeed	n_keepTime	n_isResetOffset	n_isResetKeepTime	n_delayTime	s_effectBuffList
0	#	#	#	0.1	0.5	#	#	#	#	#	#	#	#	#	#
1	1.8	0.3	0.01	0.1	0.5	150	500	0	0	0	0	0	1	0	nil,nil,nil
2	2	0.2	0.01	0.1	0.5	1000	500	4	0.009	0.005	1000	0	1	0	nil,jump_effect_01_01,jump_effect_02
3	2.4	0.2	0.01	0.1	0.5	1000	500	4	0.009	0.005	1000	0	1	0	nil,jump_effect_01_02,jump_effect_02
4	2.6	0.2	0.01	0.1	0.5	1000	500	4	0.009	0.005	1000	0	1	0	nil,jump_effect_01_03,jump_effect_02
5	2.6	0.2	0.01	0.1	0.5	1000	500	4	0.009	0.005	1000	0	1	0	nil,jump_effect_01_04,jump_effect_02
6	2.6	0.2	0.01	0.1	0.5	1000	500	4	0.009	0.005	1000	0	1	0	nil,jump_effect_01_05,jump_effect_02
7	2.6	0.2	0.01	0.1	0.5	1000	500	4	0.009	0.005	1000	0	1	0	nil,jump_effect_01_06,jump_effect_02
8	2.6	0.2	0.01	0.1	0.5	1000	500	4	0.009	0.005	1000	0	1	0	nil,jump_effect_01_07,jump_effect_02
9	2.6	0.2	0.01	0.1	0.5	1000	500	4	0.009	0.005	1000	0	1	0	nil,jump_effect_01_08,jump_effect_02
10	2.6	0.2	0.01	0.1	0.5	1000	500	4	0.009	0.005	1000	0	1	0	nil,jump_effect_01_09,jump_effect_02
11	2.6	0.2	0.01	0.1	0.5	1000	500	4	0.009	0.005	1000	0	1	0	nil,jump_effect_01_10,jump_effect_02
12	2.6	0.2	0.01	0.1	0.5	1000	500	4	0.009	0.005	1000	0	1	0	nil,jump_effect_01_11,jump_effect_02
13	2.6	0.2	0.01	0.1	0.5	1000	500	4	0.009	0.005	1000	0	1	0	nil,jump_effect_01_12,jump_effect_02
14	2.6	0.2	0.01	0.1	0.5	1000	500	4	0.009	0.005	1000	0	1	0	nil,jump_effect_01_13,jump_effect_02
15	2.6	0.2	0.01	0.1	0.5	1000	500	4	0.009	0.005	1000	0	1	0	nil,jump_effect_01_14,jump_effect_02
16	2.6	0.2	0.01	0.1	0.5	1000	500	4	0.009	0.005	1000	0	1	0	nil,jump_effect_01_15,jump_effect_02
17	2.6	0.2	0.01	0.1	0.5	1000	500	4	0.009	0.005	1000	0	1	0	nil,jump_effect_01_16,jump_effect_02
18	2.6	0.2	0.01	0.1	0.5	1000	500	4	0.009	0.005	1000	0	1	0	nil,jump_effect_01_17,jump_effect_02
19	2.6	0.2	0.01	0.1	0.5	1000	500	4	0.009	0.005	1000	0	1	0	nil,jump_effect_01_18,jump_effect_02
20	2.6	0.2	0.01	0.1	0.5	1000	500	4	0.009	0.005	1000	0	1	0	nil,jump_effect_01_19,jump_effect_02
21	2.6	0.2	0.01	0.1	0.5	1000	500	4	0.009	0.005	1000	0	1	0	nil,jump_effect_01_20,jump_effect_02
22	2.6	0.2	0.01	0.1	0.5	1000	500	4	0.009	0.005	1000	0	1	0	nil,jump_effect_01_21,jump_effect_02
9000	#	#	#	#	#	#	#	1.5	0.009	0.005	999999	0	1	0	
9001	#	#	#	#	#	#	#	1.5	0.009	0.006	0	0	1	0	
10001	4	0.15	0.01	0.1	0.5	150	500	0	0	0	0	0	1	0	
10002	3.6	0.1	0.01	0.1	0.5	150	500	0	0	0	0	0	1	0	
