n_id	s_remark	n_white	s_icon	s_text	n_showTime	n_broadcast	n_level	n_pushCD	n_checkPlayerCD	s_p1
序号	备注	是否使用白底	图标	文本多语言	持续秒数	是否广播	优先级	推送cd	是否收玩家发送cd限制	参数1
1	银行警报		set:g2052_message.json image:icon_0_message01	message.notice.name1	7	1	2	5		2
2	金库门即将关闭		set:g2052_message.json image:icon_0_message02	message.notice.name2	7	1	2	5		
3	金库门已经关闭		set:g2052_message.json image:icon_0_message02	message.notice.name3	7	1	2	5		
4	住宅失火了		set:g2052_message.json image:icon_0_message02	message.notice.name4	5	1	1	5	10	
5	保险柜已经失窃		set:g2052_message.json image:icon_0_message02	message.notice.name5	5	1	1	5		
6	正在请求帮助		set:g2052_message.json image:icon_0_message02	message.notice.name6	5	1	1	5	10	
7	恶劣天气警报(雷暴雨)	1	set:g2052_message.json image:icon_0_message02	message.notice.bad.weather_4	10	1	3			
8	恶劣天气警报(高温)	1	set:g2052_message.json image:icon_0_message02	message.notice.bad.weather_5	10	1	3			
9	恶劣天气警报(雪天)	1	set:g2052_message.json image:icon_0_message02	message.notice.bad.weather_6	10	1	3			
10	恶劣天气警报(沙暴)	1	set:g2052_message.json image:icon_0_message02	message.notice.bad.weather_7	10	1	3			
11	恶劣天气警报(雾天)	1	set:g2052_message.json image:icon_0_message02	message.notice.bad.weather_8	10	1	3			
12	玩家触发恶劣天气警报(雾天)	1	set:g2052_message.json image:icon_0_message02	message.notice.bad.weather_9	10	1	3			
13	舞池开放	1	set:g2052_message.json image:icon_0_message02	message.notice.name7	7	1	2	5		
14	舞池关闭	1	set:g2052_message.json image:icon_0_message02	message.notice.name8	7	1	2	5		
15	越狱		set:g2052_message.json image:icon_0_message02	message.notice.name9	7	1	2	5		
16	大汉堡出现	1	set:g2052_message.json image:icon_0_message02	message.notice.name10	7	1	2	5		
17	食用大汉堡	1	set:g2052_message.json image:icon_0_message02	message.notice.name11	7	1	2	5		
