n_id	s_path	s_icon	n_attribute
id	贴图路径	图标路径	属性
1	asset/mobile_editor/image/part_001.tga	set:g2052_mobile_editor_material_texture.json image:part_001	
2	asset/mobile_editor/image/part_002.tga	set:g2052_mobile_editor_material_texture.json image:part_002	1
3	asset/mobile_editor/image/part_003.tga	set:g2052_mobile_editor_material_texture.json image:part_003	2
4	asset/mobile_editor/image/part_004.tga	set:g2052_mobile_editor_material_texture.json image:part_004	
5	asset/mobile_editor/image/part_005.tga	set:g2052_mobile_editor_material_texture.json image:part_005	
6	asset/mobile_editor/image/part_006.tga	set:g2052_mobile_editor_material_texture.json image:part_006	
7	asset/mobile_editor/image/part_007.tga	set:g2052_mobile_editor_material_texture.json image:part_007	
8	asset/mobile_editor/image/part_008.tga	set:g2052_mobile_editor_material_texture.json image:part_008	
9	asset/mobile_editor/image/part_009.tga	set:g2052_mobile_editor_material_texture.json image:part_009	
10	asset/mobile_editor/image/part_010.tga	set:g2052_mobile_editor_material_texture.json image:part_010	
11	asset/mobile_editor/image/part_011.tga	set:g2052_mobile_editor_material_texture.json image:part_011	
12	asset/mobile_editor/image/part_012.tga	set:g2052_mobile_editor_material_texture.json image:part_012	
13	asset/mobile_editor/image/part_013.tga	set:g2052_mobile_editor_material_texture.json image:part_013	
14	asset/mobile_editor/image/part_014.tga	set:g2052_mobile_editor_material_texture.json image:part_014	
15	asset/mobile_editor/image/part_015.tga	set:g2052_mobile_editor_material_texture.json image:part_015	
16	asset/mobile_editor/image/part_016.tga	set:g2052_mobile_editor_material_texture.json image:part_016	
17	asset/mobile_editor/image/part_017.tga	set:g2052_mobile_editor_material_texture.json image:part_017	
18	asset/mobile_editor/image/part_018.tga	set:g2052_mobile_editor_material_texture.json image:part_018	
19	asset/mobile_editor/image/part_019.tga	set:g2052_mobile_editor_material_texture.json image:part_019	
20	asset/mobile_editor/image/part_020.tga	set:g2052_mobile_editor_material_texture.json image:part_020	
21	asset/mobile_editor/image/part_021.tga	set:g2052_mobile_editor_material_texture.json image:part_021	
22	asset/mobile_editor/image/part_022.tga	set:g2052_mobile_editor_material_texture.json image:part_022	
23	asset/mobile_editor/image/part_023.tga	set:g2052_mobile_editor_material_texture.json image:part_023	
24	asset/mobile_editor/image/part_024.tga	set:g2052_mobile_editor_material_texture.json image:part_024	
25	asset/mobile_editor/image/part_025.tga	set:g2052_mobile_editor_material_texture.json image:part_025	
26	asset/mobile_editor/image/part_026.tga	set:g2052_mobile_editor_material_texture.json image:part_026	
27	asset/mobile_editor/image/part_027.tga	set:g2052_mobile_editor_material_texture.json image:part_027	
28	asset/mobile_editor/image/part_028.tga	set:g2052_mobile_editor_material_texture.json image:part_028	
29	asset/mobile_editor/image/part_029.tga	set:g2052_mobile_editor_material_texture.json image:part_029	
30	asset/mobile_editor/image/part_030.tga	set:g2052_mobile_editor_material_texture.json image:part_030	
31	asset/mobile_editor/image/part_031.tga	set:g2052_mobile_editor_material_texture.json image:part_031	
32	asset/mobile_editor/image/part_032.tga	set:g2052_mobile_editor_material_texture.json image:part_032	
33	asset/mobile_editor/image/part_033.tga	set:g2052_mobile_editor_material_texture.json image:part_033	
34	asset/mobile_editor/image/part_034.tga	set:g2052_mobile_editor_material_texture.json image:part_034	
35	asset/mobile_editor/image/part_035.tga	set:g2052_mobile_editor_material_texture.json image:part_035	
36	asset/mobile_editor/image/part_036.tga	set:g2052_mobile_editor_material_texture.json image:part_036	
37	asset/mobile_editor/image/part_037.tga	set:g2052_mobile_editor_material_texture.json image:part_037	
38	asset/mobile_editor/image/part_038.tga	set:g2052_mobile_editor_material_texture.json image:part_038	
39	asset/mobile_editor/image/part_039.tga	set:g2052_mobile_editor_material_texture.json image:part_039	
40	asset/mobile_editor/image/part_040.tga	set:g2052_mobile_editor_material_texture.json image:part_040	
41	asset/mobile_editor/image/part_041.tga	set:g2052_mobile_editor_material_texture.json image:part_041	
