id		modType	icon	name	cfgName
id		类型	图标	显示名称	配置名称
10001	室外	outdoor	set:g2052_mobile_editor_prop_icon.json image:firehydrant		scene_01
10002	室外	outdoor	set:g2052_mobile_editor_prop_icon.json image:floorlamp		scene_02
10003	室外	outdoor	set:g2052_mobile_editor_prop_icon.json image:streetlamp02		scene_03
10004	室外	outdoor	set:g2052_mobile_editor_prop_icon.json image:2052_police_lanqiujia		scene_04
10005	室外	outdoor	set:g2052_mobile_editor_prop_icon.json image:g2052_jinggai01a		zb_scene_01
10006	室外	outdoor	set:g2052_mobile_editor_prop_icon.json image:chimney_01		zb_scene_02
10007	室外	outdoor	set:g2052_mobile_editor_prop_icon.json image:g0520_chengsizhe_a		zb_scene_03
10008	室外	outdoor	set:g2052_mobile_editor_prop_icon.json image:Trashcan_01		zb_scene_04
10009	室外	outdoor	set:g2052_mobile_editor_prop_icon.json image:2052_shoumaiji		zb_scene_05
10010	室外	outdoor	set:g2052_mobile_editor_prop_icon.json image:g2052_xinxiang		zb_scene_06
10101	门	outdoor	set:g2052_mobile_editor_prop_icon.json image:bank_gdoor		zb_door_01
10102	门	outdoor	set:g2052_mobile_editor_prop_icon.json image:bk6men		zb_door_02
10103	门	outdoor	set:g2052_mobile_editor_prop_icon.json image:jiaotang_l		zb_door_03
10104	门	outdoor	set:g2052_mobile_editor_prop_icon.json image:g2052_wodian_door		zb_door_04
10105	门	outdoor	set:g2052_mobile_editor_prop_icon.json image:g2052_square_men05		zb_door_05
10106	门	outdoor	set:g2052_mobile_editor_prop_icon.json image:g2052_police_men		zb_door_06
10107	门	outdoor	set:g2052_mobile_editor_prop_icon.json image:g2052_police_laofang_men_1		zb_door_07
10108	门	outdoor	set:g2052_mobile_editor_prop_icon.json image:g2052_damen1		zb_door_08
10109	门	outdoor	set:g2052_mobile_editor_prop_icon.json image:g2052_houmen1		zb_door_09
12201	桌子	indoor	set:g2052_mobile_editor_prop_icon.json image:bangongzhuo		table_01
12202	桌子	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_daoju_18		table_02
12203	桌子	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_house001_zhuozi_02		table_03
12204	桌子	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_house001_zhuozi_03		table_04
12205	桌子	indoor	set:g2052_mobile_editor_prop_icon.json image:bangongzhuo01		zb_table_01
12206	桌子	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_police_bangongzhuozi		zb_table_02
12207	桌子	indoor	set:g2052_mobile_editor_prop_icon.json image:kanhu_xiaozhuo01		zb_table_03
12208	桌子	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_julebu_jiaju04		zb_table_04
12209	桌子	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_xiaofang_zhuozi_02		zb_table_05
12210	桌子	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_hospitalwj_013		zb_table_06
12211	桌子	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_xiaofang_zhuozi_01		zb_table_07
12301	椅子	indoor	set:g2052_mobile_editor_prop_icon.json image:bangongyizi02		chair_01
12302	椅子	indoor	set:g2052_mobile_editor_prop_icon.json image:bank_shafa		chair_02
12303	椅子	indoor	set:g2052_mobile_editor_prop_icon.json image:chair01		chair_03
12304	椅子	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_yizi		chair_04
12305	椅子	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_house001_yizi_02		chair_05
12306	椅子	indoor	set:g2052_mobile_editor_prop_icon.json image:dabanyi		chair_06
12307	椅子	indoor	set:g2052_mobile_editor_prop_icon.json image:2052_bayi		zb_yizi_01
12308	椅子	indoor	set:g2052_mobile_editor_prop_icon.json image:bangongyizi01		zb_yizi_02
12309	椅子	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_daoju_08		zb_yizi_03
12310	椅子	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_square_yizi		zb_yizi_04
12311	椅子	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_police_laofang_yizi_1		zb_yizi_05
12312	椅子	indoor	set:g2052_mobile_editor_prop_icon.json image:kanhu_yaoyi01		zb_yizi_06
12313	椅子	indoor	set:g2052_mobile_editor_prop_icon.json image:kanhu_yaoyi02		zb_yizi_07
12314	椅子	indoor	set:g2052_mobile_editor_prop_icon.json image:kanhu_yizi01		zb_yizi_08
12315	椅子	indoor	set:g2052_mobile_editor_prop_icon.json image:g2025_house_bar03_1		zb_yizi_09
12316	椅子	indoor	set:g2052_mobile_editor_prop_icon.json image:bayi		zb_yizi_10
12317	椅子	indoor	set:g2052_mobile_editor_prop_icon.json image:pcyizi		zb_yizi_11
12318	椅子	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_house001_yizi_01		zb_yizi_12
12319	椅子	indoor	set:g2052_mobile_editor_prop_icon.json image:kanhu_muma		zb_yizi_13
12320	椅子	indoor	set:g2052_mobile_editor_prop_icon.json image:kanhu_xiaozhuo02		zb_yizi_14
12321	椅子	indoor	set:g2052_mobile_editor_prop_icon.json image:chair_b		zb_yizi_15
12322	椅子	indoor	set:g2052_mobile_editor_prop_icon.json image:bank_qiantai		zb_yizi_16
12323	椅子	indoor	set:g2052_mobile_editor_prop_icon.json image:jiaotang_yizi		zb_yizi_17
12324	椅子	indoor	set:g2052_mobile_editor_prop_icon.json image:gongyizi		zb_yizi_18
12325	椅子	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_xiaofang_yizi		zb_yizi_19
12326	椅子	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_hospitalwj_014		zb_yizi_20
12401	沙发	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_julebu_jiaju03		zb_shafa_01
12402	沙发	indoor	set:g2052_mobile_editor_prop_icon.json image:lshafa01		zb_shafa_02
12403	沙发	indoor	set:g2052_mobile_editor_prop_icon.json image:lshafa02		zb_shafa_03
12404	沙发	indoor	set:g2052_mobile_editor_prop_icon.json image:lshafa03		zb_shafa_04
12405	沙发	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_house001_yizi_03		zb_shafa_05
12406	沙发	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_daoju_13		zb_shafa_06
12407	沙发	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_shafa		zb_shafa_07
12408	沙发	indoor	set:g2052_mobile_editor_prop_icon.json image:2052_sf_02		zb_shafa_08
12409	沙发	indoor	set:g2052_mobile_editor_prop_icon.json image:2052_sf_03		zb_shafa_09
12410	沙发	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_house001_yizi_04		zb_shafa_10
12411	沙发	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_fuzhuangdian_jiaju05		zb_shafa_11
12412	沙发	indoor	set:g2052_mobile_editor_prop_icon.json image:yinhangshafa		zb_shafa_12
12501	柜子	indoor	set:g2052_mobile_editor_prop_icon.json image:shuigui		cabinet_01
12502	柜子	indoor	set:g2052_mobile_editor_prop_icon.json image:house02_bingxiang		cabinet_02
12503	柜子	indoor	set:g2052_mobile_editor_prop_icon.json image:wenjianguizi		zb_guizi_01
12504	柜子	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_police_wenjiangui		zb_guizi_02
12505	柜子	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_police_danangui		zb_guizi_03
12506	柜子	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_house001_guizi_01		zb_guizi_04
12507	柜子	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_house001_guizi_02		zb_guizi_05
12508	柜子	indoor	set:g2052_mobile_editor_prop_icon.json image:g2025_house_bar01		zb_guizi_06
12509	柜子	indoor	set:g2052_mobile_editor_prop_icon.json image:g2025_house_bar02		zb_guizi_07
12510	柜子	indoor	set:g2052_mobile_editor_prop_icon.json image:g2025_house_bar03		zb_guizi_08
12511	柜子	indoor	set:g2052_mobile_editor_prop_icon.json image:g2025_house_bar04		zb_guizi_09
12512	柜子	indoor	set:g2052_mobile_editor_prop_icon.json image:house_chugui01		zb_guizi_10
12513	柜子	indoor	set:g2052_mobile_editor_prop_icon.json image:kanhu_guizi01		zb_guizi_11
12101	装饰	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_square_hua02		zb_zhuangshi_01
12102	装饰	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_square_hua03		zb_zhuangshi_02
12103	装饰	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_square_hua04		zb_zhuangshi_03
12104	装饰	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_square_hua05		zb_zhuangshi_04
12105	装饰	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_house001_xiangpian_01		zb_zhuangshi_05
12106	装饰	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_house001_xiangpian_02		zb_zhuangshi_06
12107	装饰	indoor	set:g2052_mobile_editor_prop_icon.json image:2052_dt_01		zb_zhuangshi_07
12108	装饰	indoor	set:g2052_mobile_editor_prop_icon.json image:2052_dt_02		zb_zhuangshi_08
12109	装饰	indoor	set:g2052_mobile_editor_prop_icon.json image:2052_dt_03		zb_zhuangshi_09
12110	装饰	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_house001_ditan_01		zb_zhuangshi_10
12111	装饰	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_house001_ditan_02		zb_zhuangshi_11
12112	装饰	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_house001_ditan_03		zb_zhuangshi_12
12701	床具	indoor	set:g2052_mobile_editor_prop_icon.json image:house_02_chuang		bed_01
12702	床具	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_house001_chuang_02		bed_02
12703	床具	indoor	set:g2052_mobile_editor_prop_icon.json image:cd_qc_c		bed_03
12704	床具	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_police_laofang_chuang_1		bed_04
12705	床具	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_house001_chuang_01		zb_bed_01
12706	床具	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_chuang		zb_bed_02
12707	床具	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_fangzi05_woshichuang		zb_bed_03
12708	床具	indoor	set:g2052_mobile_editor_prop_icon.json image:kanhu_chuang01		zb_bed_04
12801	灯具/窗帘	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_house001_chuanglian_01		lamp_01
12802	灯具/窗帘	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_house001_deng_01		lamp_02
12803	灯具/窗帘	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_luodideng		zb_lamp_01
12804	灯具/窗帘	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_house001_deng_02		zb_lamp_02
12805	显示器	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_gasstation_diannao		zb_equipment_01
12806	饮水机	indoor	set:g2052_mobile_editor_prop_icon.json image:yinshuiji		zb_equipment_02
12807	打印机	indoor	set:g2052_mobile_editor_prop_icon.json image:dayinji		zb_equipment_03
12808	浴缸	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_house001_yugang_01		zb_equipment_04
12809	衣架	indoor	set:g2052_mobile_editor_prop_icon.json image:yijia		zb_equipment_05
12810	马桶	indoor	set:g2052_mobile_editor_prop_icon.json image:g2052_hospitalwj_02		zb_equipment_06
12490	植物	plant	set:g2052_mobile_editor_prop_icon.json image:2052_shu_01		landscape_01
12491	植物	plant	set:g2052_mobile_editor_prop_icon.json image:tree02		landscape_02
12492	植物	plant	set:g2052_mobile_editor_prop_icon.json image:2052_shu_03		landscape_03
12493	植物	plant	set:g2052_mobile_editor_prop_icon.json image:tree01		landscape_04
12494	植物	plant	set:g2052_mobile_editor_prop_icon.json image:house_shu		landscape_05
12495	植物	plant	set:g2052_mobile_editor_prop_icon.json image:g2052_huatan_a		landscape_06
12496	植物	plant	set:g2052_mobile_editor_prop_icon.json image:Plant_01		zb_landscape_01
12497	植物	plant	set:g2052_mobile_editor_prop_icon.json image:2052_shu_02		zb_landscape_02
12498	植物	plant	set:g2052_mobile_editor_prop_icon.json image:greenplant_c		zb_landscape_03
12900	杂项	props	set:g2052_mobile_editor_prop_icon.json image:g2052_hamburgercar_san		zb_zhuangshi_13
12901	杂项	props	set:g2052_mobile_editor_prop_icon.json image:g2052_jiangbei01		zb_zhuangshi_14
12902	杂项	props	set:g2052_mobile_editor_prop_icon.json image:g2052_jiangbei02		zb_zhuangshi_15
