n_id	n_index	s_partName	s_lang
监控组	监控序号	监控零件名	监控地点多语言
1005	1	cam_bank_01	
1005	2	cam_bianlidian_02	
1005	3	cam_yiyuan_03	
1006	1	cam_police_01	
1006	2	cam_police_02	
1006	3	cam_police_03	
1007	1	bank_jiankongtou01	
1007	2	bank_jiankongtou02	
1007	3	bank_jiankongtou03	
201	1	cam001	
101	1	cam001	
101	2	cam002	
101	3	cam003	
102	1	cam001	
102	2	cam002	
102	3	cam003	
103	1	cam001	
103	2	cam002	
103	3	cam003	
104	1	cam001	
104	2	cam002	
104	3	cam003	
105	1	cam001	
105	2	cam002	
105	3	cam003	
106	1	cam001	
106	2	cam002	
106	3	cam003	
107	1	cam001	
107	2	cam002	
107	3	cam003	
108	1	cam001	
108	2	cam002	
108	3	cam003	
109	1	cam001	
109	2	cam002	
109	3	cam003	
110	1	cam001	
110	2	cam002	
110	3	cam003	
111	1	cam001	
111	2	cam002	
111	3	cam003	
112	1	cam001	
112	2	cam002	
112	3	cam003	
113	1	cam001	
113	2	cam002	
113	3	cam003	
