n_id	s_cfgName		n_type	n_sort	s_icon	s_actor_name	n_isWatchAd	n_needBuy	n_lockState	n_needReceive	s_lockTips	s_feedFood	n_foodFrontDis	s_feedOffset	s_happyAction	n_foodSpeed	s_speedUpBuff	n_speedUpTime	n_speedUpCD
序号	配置	备注	1宠物2坐骑3巨兽	宠物排序	展示图标	actor名	是否广告	需要购买，1需要 默认0不需要	需要解锁，1需要 默认0不需要 1招标 2vip 3PeakDay	需要领取才能可见，1需要 默认0不需要	未解锁提示多语言	创建食物的零件名字	在宠物正前方多少距离创建	宠物喂食目标点相对玩家偏移x#y#z	高兴动作列表#隔开	宠物移动速率 每帧	宠物骑乘加速buff	宠物骑乘加速持续时间	宠物骑乘加速CD
1001	myplugin/pet_101	猫	1	20	set:g2052_children_icon.json image:g2052_pet_101	g2052_pet_1.actor						myplugin/hanbao_pet	0.6	2#0#0	happy	0.1			
1002	myplugin/pet_102	柯基	1	2	set:g2052_children_icon.json image:g2052_pet_102	g2052_pet_2.actor						myplugin/hanbao_pet	0.6	2#0#0	happy	0.1			
1003	myplugin/pet_103	奶牛	1	10	set:g2052_children_icon.json image:g2052_pet_103	g2052_pet_3.actor						myplugin/hanbao_pet	0.6	2#0#0	happy	0.1			
1004	myplugin/pet_104	彩虹马小	1	21	set:g2052_children_icon.json image:g2052_pet_104	g2052_pet_4.actor						myplugin/hanbao_pet	0.6	2#0#0	happy	0.1			
1005	myplugin/pet_01	小孩蓝色	0	22	set:g2052_children_icon.json image:g2052_icon_baby_01	g2052_baby_01.actor						myplugin/hanbao_pet	0.6	2#0#0		0.1			
1006	myplugin/pet_02	小孩红色	0	23	set:g2052_children_icon.json image:g2052_icon_baby_03	g2052_baby_02.actor						myplugin/hanbao_pet	0.6	2#0#0		0.1			
1007	myplugin/pet_03	小孩黄色	0	24	set:g2052_children_icon.json image:g2052_icon_baby_02	g2052_baby_03.actor						myplugin/hanbao_pet	0.6	2#0#0		0.1			
1008	myplugin/pet_04	警犬	1	6	set:g2052_children_icon.json image:g2052_pet_04	g2052_baby_04.actor						myplugin/hanbao_pet	0.6	2#0#0		0.1			
1009	myplugin/pet_05	消防犬	1	19	set:g2052_children_icon.json image:g2052_pet_05	g2052_baby_05.actor						myplugin/hanbao_pet	0.6	2#0#0		0.1			
