n_id	n_sortId	s_sceneIcon	s_careerName	n_isHideCareer	n_isNoCall		
职业id	排序id	职业图标	职业名多语言	是否隐藏职业	是否禁止手机呼叫		
				0否1是，默认0	0否1禁止 默认0		
1	1	asset/effect/image/g2052_icon_job_002.png	g2052.gui.profession.career_name1				警察
12	2	asset/effect/image/g2052_icon_job_012.png	g2052.gui.profession.career_name12				特警
2	3	asset/effect/image/g2052_icon_job_003.png	g2052.gui.profession.career_name2				保安
15	4	asset/effect/image/g2052_icon_job_015.png	g2052.gui.profession.career_name15				消防员
64	5	asset/effect/image/g2052_icon_job_064.png	g2052.gui.profession.career_name64				军人
3	6	asset/effect/image/g2052_icon_job_001.png	g2052.gui.profession.career_name3	1	1		罪犯
71	7	asset/effect/image/g2052_icon_job_071.png	g2052.gui.profession.career_name71		1		囚犯
70	8	asset/effect/image/g2052_icon_job_070.png	g2052.gui.profession.career_name70		1		匪帮
9	9	asset/effect/image/g2052_icon_job_009.png	g2052.gui.profession.career_name9		1		DJ
8	10	asset/effect/image/g2052_icon_job_008.png	g2052.gui.profession.career_name8		1		音乐家
7	11	asset/effect/image/g2052_icon_job_007.png	g2052.gui.profession.career_name7		1		歌手
4	12	asset/effect/image/g2052_icon_job_004.png	g2052.gui.profession.career_name4		1		商店店员
6	13	asset/effect/image/g2052_icon_job_006.png	g2052.gui.profession.career_name6		1		汉堡店员
11	14	asset/effect/image/g2052_icon_job_011.png	g2052.gui.profession.career_name11		1		雪糕店员
32	15	asset/effect/image/g2052_icon_job_032.png	g2052.gui.profession.career_name32		1		披萨店员
33	16	asset/effect/image/g2052_icon_job_033.png	g2052.gui.profession.career_name33		1		咖啡店员
16	17	asset/effect/image/g2052_icon_job_016.png	g2052.gui.profession.career_name16		1		服装店员
25	18	asset/effect/image/g2052_icon_job_025.png	g2052.gui.profession.career_name25		1		理发店员
30	19	asset/effect/image/g2052_icon_job_030.png	g2052.gui.profession.career_name30		1		飞行员
39	20	asset/effect/image/g2052_icon_job_039.png	g2052.gui.profession.career_name39		1		宇航员
13	21	asset/effect/image/g2052_icon_job_013.png	g2052.gui.profession.career_name13				医生
41	22	asset/effect/image/g2052_icon_job_041.png	g2052.gui.profession.career_name41				外科医生
21	23	asset/effect/image/g2052_icon_job_021.png	g2052.gui.profession.career_name21				宠物医生
23	24	asset/effect/image/g2052_icon_job_023.png	g2052.gui.profession.career_name23				护士
14	25	asset/effect/image/g2052_icon_job_014.png	g2052.gui.profession.career_name14		1		病人
24	26	asset/effect/image/g2052_icon_job_024.png	g2052.gui.profession.career_name24		1		小孩
46	27	asset/effect/image/g2052_icon_job_046.png	g2052.gui.profession.career_name46		1		学生
40	28	asset/effect/image/g2052_icon_job_040.png	g2052.gui.profession.career_name40		1		教师
10	29	asset/effect/image/g2052_icon_job_010.png	g2052.gui.profession.career_name10		1		教授
47	30	asset/effect/image/g2052_icon_job_047.png	g2052.gui.profession.career_name47		1		校长
26	31	asset/effect/image/g2052_icon_job_026.png	g2052.gui.profession.career_name26				司机
52	32	asset/effect/image/g2052_icon_job_052.png	g2052.gui.profession.career_name52				出租车司机
63	33	asset/effect/image/g2052_icon_job_063.png	g2052.gui.profession.career_name63				公交司机
35	34	asset/effect/image/g2052_icon_job_035.png	g2052.gui.profession.career_name35		1		剑术大师
36	35	asset/effect/image/g2052_icon_job_036.png	g2052.gui.profession.career_name36		1		弓箭射手
37	36	asset/effect/image/g2052_icon_job_037.png	g2052.gui.profession.career_name37		1		跆拳道馆长
