n_id	s_remark	n_totalNum	n_recommendType1	n_recommendId1	n_recommendType2	n_recommendId2	n_recommendType3	n_recommendId3	n_recommendType4	n_recommendId4	n_recommendType5	n_recommendId5
职业id	备注	推荐总数	推荐类型1（1=衣服，2=道具，3=载具，4=宠物）	推荐id1	推荐类型2（1=衣服，2=道具，3=载具，4=宠物）	推荐id2	推荐类型3（1=衣服，2=道具，3=载具，4=宠物）	推荐id3	推荐类型4（1=衣服，2=道具，3=载具，4=宠物）	推荐id4	推荐类型5（1=衣服，2=道具，3=载具，4=宠物）	推荐id5
1	警察	5	1	11001	2	1603	2	1613	3	2001	4	1008
12	特警	3	1	12006	2	1607	2	1605				
2	保安	3	1	11004	2	1604	4	1010				
15	消防员	4	1	11009	2	1021	3	2006	4	1009		
64	军人	3	1	12025	1	13003	2	1615				
3	罪犯	2	2	1601	2	1616						
71	囚犯	2	1	11002	2	1629						
70	匪帮	3	1	11003	2	1611	2	1621				
13	医生	1	1	11011								
8	音乐家	1	2	1331								
40	教师	1	2	1019								
46	学生	2	1	12029	2	1019						
