n_id	unname1	n_isNew	n_type	n_order	n_unlock_type	n_can_give	s_icon	s_skin	s_action_map1	s_action_map2	s_action_map3	s_sound	s_skill	n_isThrowObj	n_throwTrigger	n_throwActionIndex	n_rideOnPlayerIndex	s_throwPos	s_throwCfgName	n_throwMaxNum	s_dynamic_part	s_buff_params	s_prop_params	s_buff_params 字段说明
序号	备注	新东西	分类	排序	1 默认解锁 2可以解锁 3不能解锁	是否能赠送 1可以	图标	模式1部件$模式2部件	动作映射			音效key	技能路径	object类型（1载具, 2足球, 3梯子, 4篮球, 5许愿币, 6炸弹, 7汉堡, 8告示牌）	投放时机：1-使用时；2-点击屏幕；3-技能；4-动作索引	动作索引编号	骑在玩家身上索引位置	投放位置：dis#x#y#z	投放物plugin配置	放置数量，默认0不限制	购物栏配置(prop_id.part:res#prop_id.part:res)	buff额外参数 1#param$2#param 	爆炸特效	loseControlGlassesUI Set失控玩家眼镜UI
1001	手机		1	105	1	1	set:g2052_props_icon.json image:g2052_icon_prop_shouji	gun:g2052_prop_shouji	idle:g2052_skill_phone1	idle:g2052_skill_phone2	idle:g2052_skill_phone3													telescopeLikeCamera 望远镜参数表:fovAngle 视场角，firstViewActor第一人称模型
1002	拳头		1	325	1		set:g2052_props_icon.json image:g2052_icon_prop_quantou	gun:g2052_prop_none	idle:g2052_rp_boxing	idle:g2052_rp_boxing01														gravity 重力 
1003	打火机		1	412	1	1	set:g2052_props_icon.json image:g2052_icon_prop_dahuoji	gun:g2052_prop_dahuoji	idle:g2052_hand#run:g2052_hold_run#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint				myplugin/skill_dianhuo	7	3				myplugin/part/small_fire_point	1				
1004	望远镜		2	509	1	1	set:g2052_props_icon.json image:g2052_icon_prop_wangyuanjing	gun01:g2052_prop_telescope	idle:g2052_hold	idle:g2052_skill_telescope												2#”telescopeUI”:1,”telescopeLikeCamera”:{“fovAngle”:50,”firstViewActor”:””}		
1005	雨伞-黑		1	401	1	1	set:g2052_props_icon.json image:g2052_icon_prop_yushan01	gun:g2052_prop_yushan_a$gun:g2052_prop_yushan_b	idle:g2052_hand#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint	idle:g2052_hand#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint														
1006	手电		1	402	1	1	set:g2052_props_icon.json image:g2052_icon_prop_shoudian	gun:g2052_prop_shoudian$gun:g2052_prop_shoudian1	idle:g2052_hand#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint	idle:g2052_hand#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint		kaiguan$kaiguan												
1007	电脑		1	106	1	1	set:g2052_props_icon.json image:g2052_prop_bjb	gun:g2052_prop_bjb	idle:g2052_rp_diannao	idle:g2052_rp_diannao1														
1008	鬼魂探测器		2	510	1	1	set:g2052_props_icon.json image:g2052_icon_prop_tanceqi	gun:g2052_prop_tanceqi$gun:g2052_prop_tanceqi1	idle:g2052_hand#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint	idle:g2052_hand#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint		none$event_tance												
1016	行李箱		1	407	1	1	set:g2052_props_icon.json image:g2052_prop_xingli	gun:g2052_prop_xingli	idle:g2052_rp_xinglixiang															
