event	event_ch_name	event_description	key1	key2	key3	key4	key5	key6	key7	key8	key9	key10	key11	key12	key13	key14	key15	key16	key17	key18	key19	key20	key21	key22	key23	key24	key25	key26	key27	key28	key29	key30	key31
上报时机	中文名	描述	属性1	属性2	属性3	属性4	属性5	属性6	属性7	属性8	属性9	属性10	属性11	属性12	属性13	属性14	属性15	属性16	属性17	属性18	属性19	属性20	属性21	属性22	属性23	属性24	属性25	属性26	属性27	属性28	属性29	属性30	属性31
action_play	动作_使用	触发玩家动作	action_id	player_active	player_sex																												
car_drive	载具_驾驶	骑上载具	car_id	player_active	player_sex	is_Ad_free																											
car_drive_cancel	载具_取消驾驶	取消载具骑乘	car_id	car_time	player_active	is_Ad_free																											
car_ride	载具_搭乘	搭乘上载具	car_id	player_active	player_sex	is_Ad_free																											
car_ride_cancel	载具_取消搭乘	取消载具搭乘	car_id	car_time	player_active	is_Ad_free																											
chat_text	聊天_文字	玩家发送成功聊天文字时	player_area	chat_type	player_active	job_id	player_sex																										
g2052_child_create_new	领养_创建	玩家创建宠物时	child_id	player_active	player_sex	is_Ad_free																											
child_call	领养_改变	玩家切换、解散幼童，亦或者退出游戏时	child_id	child_time	player_active	player_sex	is_Ad_free																										
child_event	领养_交互	玩家交互宠物时候	child_event_type	player_active	player_sex																												
create_house	住宅_改变	玩家切换、关闭房屋，亦或者退出游戏时	house_id	house_time	player_active	player_sex	is_Ad_free																										
g2052_house_create_new	住宅_创建	玩家切换、创建房屋	house_id	player_active	player_sex	is_Ad_free																											
engine_fps	帧数_上报	帧数上报	fps	minute_jank	player_active	client_memory																											
enter_area	区域_进入	玩家进入特定区域	area_name	player_active	job_id	player_sex																											
event_call	交互_场景	成功与场景中的零件模型产生交互时	event_name	player_active	job_id	player_sex																											
event_ride_end	交互_乘骑	椅子 跷跷板等 结束时	event_name	event_time	player_active	player_sex																											
first_action	每局首次_使用动作	玩家每局首次使用动作时	action_id	online_time	player_active	player_sex																											
first_appearance	每局首次_主动装扮	玩家每局首次主动装扮时	appearance_id	online_time	player_active	player_sex	is_Ad_free																										
first_area	每局首次_进入区域	玩家每局首次进入区域时	area_name	online_time	player_active	player_sex																											
first_child	每局首次_领养	玩家每局首次领养时	child_id	online_time	player_active	player_sex	is_Ad_free																										
first_house	每局首次_创建房屋	玩家每局首次创建房屋时	house_id	online_time	player_active	player_sex	is_Ad_free																										
first_item	每局首次_使用道具	玩家每局首次使用道具时	item_id	online_time	player_active	player_sex																											
first_job	每局首次_获得职业	玩家每局首次获得职业时	job_id	online_time	player_active	player_area	player_sex																										
friend_add	好友_申请	成功发送好友添加请求时	player_area	friend_add_way	player_active	job_id	player_sex																										
friend_invite	好友_邀请游玩	邀请好友游玩时	player_active	player_sex																													
friend_respond	好友_申请处理	处理好友申请时	friend_respond_result	player_active	player_sex																												
game_btn_click	游戏_按钮点击	游戏按钮点击时	game_btn_name	player_active																													
house_visit_leave	拜访_被房主请离	被房主请离时	player_active	player_sex																													
house_visit_off	拜访_限制他人访问住宅	限制他人访问时	player_active	player_sex																													
house_visit_on	拜访_取消他人限制	取消他人限制时	player_active	player_sex																													
item_use	物品_使用	玩家切换、关闭动作，亦或者退出游戏时	item_id	item_time	player_active	player_sex																											
item_give	物品_给予	玩家给予另一玩家道具时	item_id	player_active	player_sex																												
item_get	物品_收取	玩家收取另一玩家给予的道具时	item_id	player_active	player_sex																												
job_call	职业_改变	玩家切换、关闭职业，亦或者退出游戏时	job_id	job_time	player_active	player_area	player_sex																										
leave_area	区域_离开	玩家离开特定区域	area_name	area_sojourn_time	player_active																												
on_appearance	换装_改变	任意部位主动改变时	appearance_id	player_active	player_sex	is_Ad_free																											
player_in	游戏_进入	玩家进入游戏时	player_active	player_sex																													
player_out	游戏_退出	玩家退出游戏时	online_time	player_area	suit_id	coat_id	pants_id	shoes_id	wing_id	belt_id	hat_id	hairstyle_id	face_id	phiz_id	platform_friends_num	game_friends_num	item_id	appearance_count	house_count	car_count	job_count	item_count	action_count	child_count	chat_count	player_active	a_fps	far_clip_level					
uiClose	界面_关闭	玩家关闭界面时	name	time	player_active																												
uiOpen	界面_打开	玩家打开界面时	name	player_active																													
use_new_land	住宅_使用新地块	使用新地块时	land_id	player_active																													
video_press	录像_按钮点击	每次按下录像模式相关按钮时	entrance	filter	hideUI	pull	push	exit	hideSetting																								
video_time	录像_时长	点击退出录像模式按钮时	stayVideoTime																														
video_select	录像_特效选择	点击选择滤镜/天气/特效时	videoSelectId																														
video_start	录像_录制按钮点击事件	每次按下录制视频按钮时上报1次																															
video_end	录像_结束录制事件	结束录制时上报																															
error_not_available	录像_手机不支持录屏	每次进入录像模式时上报																															
error_storage	录像_内存空间不足	中断录制时上报																															
error_time	录像_录屏时间到达上限	中断录制时上报																															
video_start_time	录像_录制时长	结束录制时上报，包括非正常结束	videoRecordTime																														
follow_watch:g2052	跟随	引擎遗留不写报错																															
news_ui_open	更新公告_界面显示	显示更新公告时	news_ui_time																														
guide_ui_open	新手引导_打开界面	打开了某个新手引导说明界面时	guide_ui_name	guide_ui_time																													
phone_ui_open	手机_打开呼叫界面	玩家打开呼叫界面时																															
phone_call	手机_拨打	玩家使用手机道具的呼叫功能时	job_id	player_sex	player_active																												
phone_call_respond	手机_回应呼叫	被呼叫者成功接近呼叫者时	job_id	player_sex	player_active																												
role_reset	人物_重置	点击设置界面重置人物按钮时																															
doubleAction_send	双人交互_发起请求	双人交互_发起请求	double_interact_id	player_sex	player_active																												
doubleAction_accept	双人交互_接收请求	双人交互_接收请求	double_interact_id	player_sex	player_active																												
peakday_openUI	peakday活动	主动打开界面																															
peakday_get	peakday活动 	领取奖励	peakday_get_id																														
