id	remark	key	sound	loop	volume
id	备注	对应Key值	音频文件 (放在myplugin/sound/文件夹内)	是否循环播放（0为否，1为是）	音量大小（1,2,3,4,5音量递增）
1	初始入场BGM	bgm_born	/sound/g2052_bgm_born.mp3	0	1
2	全天境音BGM	bgm_day	/g2052_bgm_day.mp3	1	1
3	恐怖便利店区域BGM	bgm_shop	/g2052_bgm_shop.mp3	1	1
4	恐怖卫生间区域BGM	bgm_toilet	/g2052_bgm_toilet.mp3	1	1
5	海边区域BGM	bgm_seaside	/g2052_bgm_seaside.mp3	1	1
6	游戏机房	bgm_play	/bgm_play.mp3	1	1
7	迷雾派对BGM	bgm_fog	/g2052_bgm_fog.mp3	1	1
8	失重派对BGM	bgm_space	/g2052_bgm_space.mp3	1	1
51	小雨声	rain_small	/rain_small.mp3	1	1
52	大雨声	rain_big	/rain_big.mp3	1	1
53	打雷声	lightning	/sound/rain_big.mp3	0	1
61	音乐播放器1	bgm1	/bgm1.mp3	1	1
63	音乐播放器3	bgm3	/bgm3.mp3	1	1
64	音乐播放器4	bgm4	/bgm4.mp3	1	1
65	音乐播放器5	bgm5	/bgm5.mp3	1	1
66	车载播放器1	car_bgm1	/sound/bgm_ae86.mp3	1	1
102	电动门	door_diandong	/sound/g2052_door_diandong.mp3	0	1
103	平滑门	door_pinghua	/sound/g2052_door_pinghua.mp3	0	1
104	大木门	door_damen	/sound/g2052_door_damen.mp3	0	1
105	小木门	door_mumen	/sound/g2052_door_mumen.mp3	0	1
106	衣柜	door_yigui	/sound/g2052_door_yigui.mp3	0	1
107	抽屉	door_chouti	/sound/g2052_door_chouti.mp3	0	1
108	大金库门	door_tiemen	/sound/g2052_door_tiemen.mp3	0	1
109	保险柜	door_baoxiangui	/sound/g2052_door_baoxiangui.mp3	0	1
110	敲键盘	work	/sound/g2052_work.mp3	1	1
111	收银	shouyin	/sound/g2052_shouyin.mp3	1	1
112	水龙头声	wash	/sound/g2052_wash.mp3	1	1
113	马桶声	toilet	/sound/g2052_toilet.mp3	0	1
114	洗澡声	bath	/sound/g2052_bath.mp3	1	1
115	灯开关	switch	/sound/g2052_switch.mp3	0	1
116	喷泉	penquan	/sound/g2052_penquan.mp3	1	1
117	烹饪	cooking	/sound/g2052_cooking.mp3	1	1
118	记录	boy_record	/sound/jilu.mp3	1	1
119	手电筒	boy_flashlight	/sound/g2052_boy_flashlight.mp3	0	1
120	门铃声	menling	/sound/g2052_menling.mp3	0	1
121	警报声	door_anjianmen	/sound/g2052_jingbao2.mp3	0	1
122	警报声	door_jinbaodeng	/sound/g2052_jingbao3.mp3	0	1
123	泡澡泡泡	paopao	/sound/g2052_paopao.mp3	1	1
124	风扇吹风	fengshan	/sound/g2052_fengshan.mp3	1	1
125	微波炉	weibolu	/sound/g2052_paopao.mp3	1	1
126	切菜	qiecai	/sound/g2052_qiecai.mp3	1	1
127	收银2	shouyin2	/sound/g2052_shouyin2.mp3	1	1
128	吃汉堡升级	party_shengji	/sound/g2052_party_eat_hanbao.mp3	0	1
129	骨架动作	gujia	/sound/g2052_gujia.mp3	0	1
151	烟花燃放1	fireworks	/sound/g2052_fireworks.mp3	0	1
152	金库门锁	jingkumensuo	/sound/jinkudamendianzisuo.mp3	0	1
153	窗帘	chuanglian	/sound/chuanglian.mp3	0	1
154	跳舞机	tiaowuji	/sound/tiaowuji.mp3	1	1
155	摩托机	motuoyouxiji	/sound/motuoyouxiji.mp3	1	1
201	X光机	xray 	/sound/g2052_xray.mp3	0	1
210	炸弹爆炸	explode	/sound/g2052_c4_boom.mp3	0	1
211	闪光弹爆炸	shanguangdan	/sound/shanguangdan.mp3	0	1
212	烟雾弹	yanwudan	/sound/yanwudan.mp3	0	1
301	舞台-鼓	bgm_drum	/sound/g2052_bgm_drum.mp3	1	1
302	舞台-键盘	bgm_piano	/sound/g2052_bgm_piano.mp3	1	1
303	舞台-dj	bgm_dj	/sound/g2052_bgm_dj.mp3	1	1
304	舞台-吉他	bgm_jita	/sound/g2052_bgm_jita.mp3	1	1
305	钢琴曲	gangqin	/sound/g2052_bgm_gangqin.mp3	1	1
306	教堂敲钟	qiaozhong	/sound/g2052_qiaozhong.mp3	0	1
307	学校烧杯	shaobei	/sound/g2052_school_shaobei.mp3	1	1
400	吹头发	chuitou	/sound/g2052_boy_chuitoufa.mp3	1	1
401	剪头发	jiantou	/sound/g2052_boy_jiantoufa.mp3	1	1
418	打印机	dayinji	/sound/dayingji_work.mp3	0	1
402	翻书	book	/sound/g2052_boy_book.mp3	0	1
403	剪头发	jianfa	/sound/g2052_boy_jianfa.mp3	1	1
404	喷雾声	penwu	/sound/penwu_use.mp3	0	1
405	扫地声	saodi	/sound/g2052_boy_saodi.mp3	1	1
406	手推车移动	shoutuiche	/sound/shoutuiche_run.mp3	1	1
407	玩手机声	phone	/sound/g2052_boy_phone.mp3	1	1
408	自行车骑行	zixingche	/sound/zixingche.mp3	1	1
409	梳子梳头	shutou	/sound/shutou.mp3	1	1
412	直升机	zhishengji	/sound/helicopter_fly.mp3	1	1
413	电闸关	dianzhakai	/sound/dianzhaguan.mp3	0	1
414	电闸开	dianzhaguan	/sound/dianzhakai.mp3	0	1
415	电椅电流	dianliu	/sound/dianliu.mp3	1	1
416	电闸电流	dianliu2	/sound/dianliu2.mp3	0	1
417	开关	kaiguan	/sound/g2052_kaiguan.mp3	0	1
500	轿车idle	car_idle	/sound/g2052_car_idle.mp3	1	2
501	轿车run	car_run	/sound/g2052_car_run2.mp3	1	2
502	轿车喇叭	car_horn	/sound/g2052_car_horn.mp3	0	1
503	双闪灯	car_light	/sound/g2052_car_light.mp3	1	1
504	警报灯	car_jingbao	/sound/g2052_car_jingbao.mp3	1	0.4
505	警报灯-救护车	car_jiuhujingbao	/sound/g2052_car_jiuhujingbao.mp3	1	1
506	赛车run	car_f1run	/sound/g2052_car_f1run.mp3	1	1
507	校车run	car_xiaocherun	/sound/g2052_car_xiaocherun.mp3	1	1
601	来电铃声	receive_call	/sound/receive_call.mp3	0	1
602	拨打铃声	send_call	/sound/send_call.mp3	0	1
603	换衣服	huanzhuang	/sound/g2052_huanzhuang.mp3	0	1
604	卷帘门	door_juanlian	/sound/g2052_juanlianmen.mp3	0	1
605	跳床	tiaochuang	/sound/g2052_tiaochuang.mp3	0	1
606	丢垃圾	laji	/sound/g2052_laji.mp3	0	1
607	栏杆	langan	/sound/g2052_langan.mp3	0	1
608	自动贩卖机	fanmaiji	/sound/g2052_fanmaiji.mp3	0	1
609	火焰音效	fire	/sound/house_fire.mp3	1	1
610	调酒	tiaojiu	/sound/g2052_tiaojiu.mp3	1	1
611	电视机	dianshi	/sound/g2052_dianshi.mp3	1	1
612	电器门	dianqimen	/sound/g2052_dianqi_door.mp3	0	1
613	住宅跳板	tiaoban	/sound/g2052_house_tiaoban.mp3	0	1
701	住宅事件火灾	event_fire	/sound/event_fire.mp3	1	1
702	住宅事件雷暴	event_leibao	/sound/event_leibao.mp3	1	1
703	住宅事件龙卷	event_longjuan	/sound/event_longjuan.mp3	1	1
704	住宅事件燃烧	event_ranshao	/sound/event_ranshao.mp3	1	1
705	住宅事件水灾	event_water	/sound/event_water.mp3	1	1
706	住宅事件鬼魂	event_ghost	/sound/event_ghost.mp3	1	1
707	住宅事件地震	event_dizhen	/sound/event_dizhen.mp3	1	1
