n_id	s_landName	s_buildName	n_regionId	n_bidId	s_initialBuildings	s_curBuildings	s_posOffset	s_rotateOffset	s_billboardOffset	s_billboardRotate	n_billboardRange	s_signOffset	s_signRotate	n_takeInCloths	n_takeInPet	n_winClothes	s_winTxt	s_winColor	s_publicOffset	s_publicRotate	n_publicRange	s_screenShot	s_landIcon	s_landMapPos	s_landAwardIcon	s_landAwardLang	s_landAwardType	s_landAwardItem
序号	地块名	建筑名称（例：图书馆）	区号	投标id	初始建筑	当前建筑	坐标偏移量	旋转偏移	3dui位移偏移量	3dui旋转偏移	3dui可视距离	告示牌位移偏移量	告示牌旋转偏移	参与者永久套装id	参与者永久宠物id	获标者套装id	获标者称号多语言	获标者名称颜色	署名3dui位移偏移量	署名3dui旋转偏移	署名3dui可视距离	编辑器截图摄像机位置 x#y#z#yaw#pitch	地块展示icon	地块跳转:地图#x#y#z#yaw	地块奖励图标#隔开	地块奖励多语言#隔开	地块奖励获得类型#隔开，1参与2竞标成功	地块奖励物品类型#和$隔开，pet$1001#cloth$1001#normal
1	zhaobiao	g2052.gui.tendering.block_name.block1	1001	10001	myplugin/fuhuojie_danwu		-0.43#-0.2#0.38	0#-90#0	-21.3#3.5#3	0#90#0	30	-20#3#4	0#-90#0			11014	g2052.gui.tendering.award.police_chief1	38ffa4	-19.05#1.5#1.5	0#90#0	30	0#40#-26#0#57	set:g2052_tender.json image:zhaobiao1_bg	map001#-160#38#-90#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming#set:g2052_suit_icon.json image:g2052_clothing_suits_14	g2052.gui.tendering.block_name.block01#g2052.gui.tendering.block_name.block01#g2052.gui.tendering.block_name.block01	1#1#1	normal#pet$2#cloth$11009
2	zhaopai01	g2052.gui.tendering.block_name.block01	1001	10002			0#0#0	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0	11009	2		g2052.gui.tendering.award.police_chief01	38ffa4	6.8#4.6#-0.6	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-99.5#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming	g2052.gui.tendering.block_name.block05#g2052.gui.tendering.block_name.block05	1#1	pet$3#cloth$11010
3	zhaopai02	g2052.gui.tendering.block_name.block02	1001	10003			0#0#0	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief02	38ffa4	6.8#4.6#-0.6	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-88#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
4	zhaopai03	g2052.gui.tendering.block_name.block03	1001	10004			0.5#0#0.3	0#-92#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief03	38ffa4	6.8#4.6#0	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-76#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
5	zhaopai04	g2052.gui.tendering.block_name.block04	1001	10005			0#0#0	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief04	38ffa4	6.8#4.6#0	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-64#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
6	zhaopai05	g2052.gui.tendering.block_name.block05	1001	10006			0#0#0	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief05	38ffa4	6.8#4.6#0	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-52#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
7	zhaopai06	g2052.gui.tendering.block_name.block06	1001	10007			0#0#0	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief06	38ffa4	6.8#4.6#0	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-40#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
8	zhaopai07	g2052.gui.tendering.block_name.block07	1001	10008			0#0#0	0#-90#0	-11.3#3.5#-1	0#90#0	30	-10#3#0	0#-90#0				g2052.gui.tendering.award.police_chief07	38ffa4	-6.6#4.6#0.1	0#90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#18#38#-40#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
9	zhaopai08	g2052.gui.tendering.block_name.block08	1001	10009			0#0#0	0#-90#0	-11.3#3.5#-1	0#90#0	30	-10#3#0	0#-90#0				g2052.gui.tendering.award.police_chief08	38ffa4	-6.6#4.6#0	0#90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#18#38#-52#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
