n_tabId	n_sortIndex	s_icon	s_titleLang	s_eventType	s_param
所属菜单		icon图集	多语言描述	事件类型	参数
1	1	set:g2052_video.json image:list_filter_old	g2052.gui.video.handle.type101	FilterLut	lut_old.png
1	2	set:g2052_video.json image:list_filter_gray	g2052.gui.video.handle.type102	FilterLut	lut_gray.png
1	3	set:g2052_video.json image:list_filter_contrast	g2052.gui.video.handle.type103	FilterLut	lut_highcontrast.png
1	4	set:g2052_video.json image:list_filter_syber	g2052.gui.video.handle.type104	FilterLut	lut_cyberpunk.png
1	5	set:g2052_video.json image:list_filter_brightness	g2052.gui.video.handle.type105	FilterLightBlur	
2	1	set:g2052_video.json image:list_weather_sunny	g2052.gui.video.handle.type201	Weather	sunny
2	4	set:g2052_video.json image:list_weather_star	g2052.gui.video.handle.type204	Weather	star
2	5	set:g2052_video.json image:list_weather_sunset	g2052.gui.video.handle.type205	Weather	sunset
3	1	set:g2052_video.json image:list_eff_movie	g2052.gui.video.handle.type301	EffectMovie	
3	2	set:g2052_video.json image:list_eff_flashlight	g2052.gui.video.handle.type302	EffectTorch	
3	3	set:g2052_video.json image:list_eff_speed	g2052.gui.video.handle.type303	EffectSpeed	
3	4	set:g2052_video.json image:list_eff_star	g2052.gui.video.handle.type304	UiEffect	camera_effect_white_star.effect
3	5	set:g2052_video.json image:list_eff_butterfly	g2052.gui.video.handle.type305	UiEffect	camera_effect_white_butterfly.effect
3	6	set:g2052_video.json image:list_eff_colordots	g2052.gui.video.handle.type306	UiEffect	camera_effect_warm_dots.effect
