s_mapName	n_id	n_message	n_playerMsg	n_weight	s_duration	s_rainEffect	s_bgm	s_lightEffect	s_lightSound	n_lightFrequency	n_lightRate	s_lightPosX	n_lightPosY	s_lightPosZ	s_skyBox	n_randomList
map name	天气索引：1—晴天，2—阴天；3-小雨天；4-雷暴雨；5高温；6雪天；7沙暴；8雾天；9剧本迷雾	警报	玩家触发警报	权重	持续时间:min#max（h）	雨特效	对应bgm soundKey	雷闪电特效	雷闪电音效	雷闪电出现的频率，单位s	到了雷闪电时间时，闪电出现的概率	闪电位置X轴（相机视野左右）区间min#max	闪电位置高度	闪电位置Z轴（相机视野前后距离区间）区间min#max	天空盒	进入随机天气列表
map001	1			60	0#0		bgm_day									1
map001	2			10	1#3		bgm_day								cloudy	1
map001	3			10	2#3	g2052_weather_rain_1.effect	rain_small								cloudy	1
map001	4	7	12	0	0#0	g2052_weather_bigrain_1.effect	rain_big								cloudy	1
map001	5	8	12	0	0#0		bgm_day									1
map001	6	9	12	0	0#0	g2052_weather_snowhard.effect	bgm_day								cloudy	1
map001	7	10	12	0	0#0	g2052_weather_misted.effect	weather_longjuan								cloudy	1
map001	8	11	12	0	0#0	g2052_weather_fog.effect									cloudy	1
map001	9						bgm_fog								cloudy	
map001	10						bgm_space								space	
