n_id	s_path	n_volume	n_distance	s_name	s_image
序号	路径	音量	距离	名字	图片
1	Media/Sound/voice_pack/1_SrPedro.mp3	1	12	lang.npc1.voice	gameres|asset/imageset/main:btn_0_fast01
2	Media/Sound/voice_pack/2_TylerBanks.mp3	1	12	lang.npc2.voice	gameres|asset/imageset/main:btn_0_fast01
3	Media/Sound/voice_pack/5_PuteriPo.mp3	1	12	lang.npc5.voice	gameres|asset/imageset/main:btn_0_fast01
4	Media/Sound/voice_pack/6_Yummy.mp3	1	12	lang.npc6.voice	gameres|asset/imageset/main:btn_0_fast01
5	Media/Sound/voice_pack/7_Kh4ngg.mp3	1	12	lang.npc7.voice	gameres|asset/imageset/main:btn_0_fast01
6	Media/Sound/voice_pack/8_AmaanBG.mp3	1	12	lang.npc8.voice	gameres|asset/imageset/main:btn_0_fast01
7	Media/Sound/voice_pack/9_MIUMA.mp3	1	12	lang.npc9.voice	gameres|asset/imageset/main:btn_0_fast01
8	Media/Sound/voice_pack/10_MissaSinfonia.mp3	1	12	lang.npc10.voice	gameres|asset/imageset/main:btn_0_fast01
9	Media/Sound/voice_pack/12_MaferRocha.mp3	1	12	lang.npc12.voice	gameres|asset/imageset/main:btn_0_fast01
10	Media/Sound/voice_pack/14_MIB.mp3	1	12	lang.npc14.voice	gameres|asset/imageset/main:btn_0_fast01
11	Media/Sound/voice_pack/16_LAZLO.mp3	1	12	lang.npc16.voice	gameres|asset/imageset/main:btn_0_fast01
12	Media/Sound/voice_pack/19_SiroBMG.mp3	1	12	lang.npc19.voice	gameres|asset/imageset/main:btn_0_fast01
13	Media/Sound/voice_pack/20_RifBG.mp3	1	12	lang.npc20.voice	gameres|asset/imageset/main:btn_0_fast01
14	Media/Sound/voice_pack/23_FiawKungChannel.mp3	1	12	lang.npc23.voice	gameres|asset/imageset/main:btn_0_fast01
15	Media/Sound/voice_pack/24_KristianPH.mp3	1	12	lang.npc24.voice	gameres|asset/imageset/main:btn_0_fast01
